tse_id,NM_UE,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
PE-04600/2020,RECIFE,https://noticias.uol.com.br/eleicoes/2020/11/25/ibope-no-recife-joao-campos-43-marilia-arraes-41.htm,1,P,1,,,JOAO CAMPOS,43,MARILIA ARRAES,41,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-06935/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-07313/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-07920/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-08731/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-08407/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00772/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-02424/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-02620/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-04070/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-06009/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-06907/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-07504/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-05158/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-02155/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-07457/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-08221/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-09049/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-02617/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-07207/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-09178/2020,CAMPOS,https://www.campos24horas.com.br/noticia/pesquisa-ibope-em-campos-wladimir-com-14-pontos-de-vantagem,1,P,1,,,WLADIMIR GAROTINHO,57,CAIO VIANNA,43,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-02837/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-06158/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-05103/2020,SÃO GONÇALO,https://plantaoenfoco.com.br/politica/dimas-dispara-na-lideranca-na-reta-final-em-sao-goncalo/,1,P,1,,,DIMAS GADELHA,43,CAPITAO NELSON,27,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-00397/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-05243/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-05393/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-01824/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-02253/2020,RIO DE JANEIRO,https://www.sbtnews.com.br/noticia/eleicoes/154928-ibope-no-rio-crivella-sobe-mas-segue-25-pontos-atras-de-paes,1,P,1,,,CRIVELLA,28,EDUARDO PAES,53,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-03172/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-03404/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-06444/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-06817/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-07737/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-03897/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-05953/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-01607/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO-08407/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO-09943/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR-00451/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR-01963/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR-04465/2020,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
