tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
PE-07000/2020,https://blogs.ne10.uol.com.br/jamildo/2020/08/26/com-cinco-candidatos-embolados-disputa-pela-prefeitura-do-recife-permanece-em-aberto/,PE,RECIFE,Prefeito,1,P,1,,,JOAO CAMPOS,14,DANIEL COELHO,13,MARILIA ARRAES,13,MENDONÇA FILHO,13,DELEGADA PATRICIA DOMINGOS,11,TULIO GADELHA,3,MARCO AURELIO,2,ALBERTO FEITOSA,2,,,,,,,,,,,,,,
BA-01315/2020,http://sertaobaiano.com.br/noticia/pesquisa-mostra-vantagem-de-marcio-messias-em-lapao,BA,LAPÃO,Prefeito,1,P,1,,,MARCIO MESSIAS,"57,5",DIOGO MENDONÇA,32,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-05955/2020,https://www.pbagora.com.br/noticia/politica/pb-agora-datavox-ze-mangueira-lidera-pesquisa-pela-prefeitura-de-triunfo-pb-com-528-das-intencoes-de-voto/,PB,TRIUNFO,Prefeito,1,P,1,,,JOSE MANGUEIRA,"52,8",EXPEDITO FILHO,"32,6",,,,,,,,,,,,,,,,,,,,,,,,,,
PB-09491/2020,https://www.oblogdepianco.com.br/2020/08/pb-agoradatavox-daniel-galdino-lidera.html,PB,PIANCÓ,Prefeito,1,P,1,,,DANIEL GALDINO,"54,3",SALES LIMA,"19,5",EDVALDO JUNIOR,11,MARINES PAULA,1,,,,,,,,,,,,,,,,,,,,,,
PB-09491/2020,https://www.pbagora.com.br/noticia/paraiba/pbagora-datavox-confira-a-pesquisa-completa-com-todos-os-cenarios/,PB,PIANCÓ,Prefeito,1,P,0,,,DANIEL GALDINO,48,SALES LIMA,"16,1",EDVALDO JUNIOR,"9,3",,,,,,,,,,,,,,,,,,,,,,,,
AM-06914/2020,https://www.fatoamazonico.com/pesquisa-ipen-aponta-amazonino-como-o-melhor-avaliado-na-disputa-pela-prefeitura-de-manaus/,AM,MANAUS,Prefeito,1,P,1,,,AMAZONINO MENDES,"28,8",DAVID ALMEIDA,13,CAP. ALBERTO,"8,6",JOSE RICARDO,"5,9",ALFREDO NASCIMENTO,5,JOSUE NETO,"3,6",MARCOS ROTTA,"3,4",CEL ALFREDO MENEZES,"2,6",DEL DEBORA MAFRA,"2,4",RICARDO NICOLAU,2,ROMERO REIS,"1,6",CHICO PRETO,"1,3",,,,,,
RS-00626/2020,http://abcdados.com.br/wp-content/uploads/2020/08/Pesquisa-ABC-Dados_Gravata%C3%AD_2020_08.pdf,RS,GRAVATAÍ,Prefeito,1,P,1,,,DIMAS,30,ANABEL,17,LUIZ ZAFALLON,8,JAIRO CARNEIRO,3,TAMIRES PAVEGLIO,2,CLAITON MANFRO,1,,,,,,,,,,,,,,,,,,
RS-00626/2020,http://abcdados.com.br/wp-content/uploads/2020/08/Pesquisa-ABC-Dados_Gravata%C3%AD_2020_08.pdf,RS,GRAVATAÍ,Prefeito,1,P,0,,,DIMAS,"8,2",MARCO ALBA,"7,3",ANABEL,"3,7",LUIZ ZAFALLON,"3,7",DANIEL BORDIGNON,1,,,,,,,,,,,,,,,,,,,,
SP-03679/2020,https://www.saocarlosagora.com.br/eleicoes-2020/pesquisa-pop-fm-aponta-a-lideranca-de-airton-garcia-na-disputa-a/128830/,SP,SÃO CARLOS,Prefeito,1,P,1,,,AIRTON GARCIA,"27,54",JULIO CESAR,"10,95",LEANDRO GUERREIRO,"6,73",SERGIO FERRAO,"4,85",NETTO DONATO,"4,23",MARINA MELLO,"2,82",TAROBA,"2,66",DEONIR TOFOLLO,"2,5",CHICO LOCO,"2,03",ERICK SILVA,"1,88",SERGIO ROCHA,"1,41",ANTONIO SASSO,"1,24",,,,,,
ES-05166/2020,https://www.portal27.com.br/estimulada-segundo-cenario-mostra-disputa-apertada-pelo-primeiro-lugar-em-guarapari/,ES,GUARAPARI,Prefeito,1,P,1,,,CARLOS VON,"22,83",DANTAS,"1,57",DITO XAREU,"1,37",EDSON MAGALHAES,"24,21",FERNANDA MAZELLI,"4,33",GEDSON MERIZIO,"7,08",OZIEL DE SOUZA,"3,54",DR. ROGERIO ZANON,"6,1",,,,,,,,,,,,,,
ES-05166/2020,https://www.portal27.com.br/pesquisa-primeiro-cenario-aponta-disputa-acirrada-em-guarapari/,ES,GUARAPARI,Prefeito,1,P,0,,,CARLOS VON,"10,03",EDSON MAGALHAES,"13,97",GEDSON MERIZIO,"2,95",OZIEL DE SOUZA,"1,57",DR. ROGÉRIO ZANON,"1,77",,,,,,,,,,,,,,,,,,,,
BA-07844/2020,https://www.culturaerealidade.com.br/pesquisa-aponta-favoritismo-de-edimario-boaventura-em-mulungu-do-morro/,BA,MULUNGU DO MORRO,Prefeito,1,P,1,,,EDIMARIO BOAVENTURA,"57,33",ACACIO TELES,"38,13",,,,,,,,,,,,,,,,,,,,,,,,,,
PI-02644/2020,https://cidadeverde.com/noticias/330199/pesquisa-opinar-psdb-dr-pessoa-lidera-seguido-por-fabio-abreu-e-montezuma,PI,TERESINA,Prefeito,1,P,1,,,DR. PESSOA,35,FABIO ABREU,"19,25",KLEBER MONTEZUMA,"13,5",FABIO NOVO,"4,25",,,,,,,,,,,,,,,,,,,,,,
SC-01165/2020,https://ndmais.com.br/politica-sc/eleicoes-municipais/pesquisa-mostra-disputa-eleitoral-para-prefeitura-de-chapeco/,SC,CHAPECÓ,Prefeito,1,P,1,,,JOAO RODRIGUES,"32,4",PEDRO UCZAI,"12,9",CLEITON FOSSA,"11,3",CLAUDIO VIGNATTI,"10,1",MARCIO SANDER,"6,3",CAROLINE DE TONI,"4,9",ANTONIO REBELATTO,"3,8",LEO GRANZOTTO,"1,2",,,,,,,,,,,,,,
RN-05927/2020,https://www.radarapodiense.com.br/2020/08/caraubas-em-pesquisa-juninho-alves-tem.html,RN,CARAÚBAS,Prefeito,1,P,1,,,JUNINHO ALVES,"59,4",EDU LICURGO,"17,2",DR. CANINDE DE FREITAS,"2,8",JR. GURGEL,"1,4",,,,,,,,,,,,,,,,,,,,,,
RN-04997/2020,https://www.blogdojoaomarcolino.com/2020/08/pesquisa-sao-goncalo-paulinho-tem-3745.html?m=0,RN,SÃO GONÇALO DO AMARANTE,Prefeito,1,P,1,,,PAULINHO,"37,45",POTI NETO,"17,8",JUNIOR DO DEPOSITO,"1,58",AILTON FAGUNDES,"2,39",,,,,,,,,,,,,,,,,,,,,,
RN-04997/2020,https://blogdorafaelmello.blogspot.com/2020/08/pesquisa-setasao-goncaloprefeitoesponta.html,RN,SÃO GONÇALO DO AMARANTE,Prefeito,1,P,0,,,PAULINHO,"28,91",POTI NETO,"14,65",JAIME CALADO,"8,93",AILTON FAGUNDES,"1,79",,,,,,,,,,,,,,,,,,,,,,
RN-05256/2020,https://www.blogdomatheusperes.com/2020/08/pesquisa-setabg-confira-lista-dos-nomes.html,RN,NATAL,Prefeito,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-05256/2020,https://paduacampos.com.br/2012/2020/08/17/alvaro-dias-lidera-em-pesquisa-seta-blog-do-bg/,RN,NATAL,Prefeito,1,P,1,,,ALVARO DIAS,"28,5",KELPS LIMA,"3,5",HERMANO MORAIS,"1,6",,,,,,,,,,,,,,,,,,,,,,,,
MG-09628/2020,https://www.diariocidade.com/noticias/pesquisa-eleitoral/pesquisa-eleitoral-ibope-uberlandia-agosto-2020/,MG,UBERLÂNDIA,Prefeito,1,P,1,,,ODELMO LEAO,47,FELIPE ATTIE,10,ADRIANO ZAGO,6,THIAGO FERNANDES,6,LOURIVAL SANTOS,5,CHICO HUMBERTO,3,GILBERTO ADENIE,1,IVAN PEREIRA,1,,,,,,,,,,,,,,
MG-09628/2020,https://www.diariocidade.com/noticias/pesquisa-eleitoral/pesquisa-eleitoral-ibope-uberlandia-agosto-2020/,MG,UBERLÂNDIA,Prefeito,1,P,0,,,ODELMO LEAO,33,THIAGO FERNANDES,3,FELIPE ATTIE,3,CHICO HUMBERTO,2,ADRIANO ZAGO,2,LOURIVAL SANTOS,1,GILMAR MACHADO,1,,,,,,,,,,,,,,,,
PR-07543/2020,https://portaloregional.com/alex-cavalcante-lidera-pesquisa-para-prefeito-de-brasilandia-com-53/,PR,BRASILÂNDIA DO SUL,Prefeito,1,P,1,,,ALEX CAVALCANTE,53,ROBERTO KIMIO,24,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-02160/2020,https://www.todahoraweb.com/wp-content/uploads/2020/09/PESQUISA-NOVO-GAMA-PUBLICACAO-EXATA_GO.pdf,GO,NOVO GAMA,Prefeito,1,P,0,,,CARLINHOS MANGAO,"15,49",SONIA,"11,29",B. B.,"5,25",CRISTOVAO,"2,62",,,,,,,,,,,,,,,,,,,,,,
GO-02160/2020,https://www.todahoraweb.com/wp-content/uploads/2020/09/PESQUISA-NOVO-GAMA-PUBLICACAO-EXATA_GO.pdf,GO,NOVO GAMA,Prefeito,1,P,1,,,CRISTOVAO,"7,87",B. B. ,"8,4",SONIA,"18,9",CARLINHOS MANGAO,"26,25",,,,,,,,,,,,,,,,,,,,,,
MA-08464/2020,https://oimparcial.com.br/noticias/2020/08/nova-pesquisa-prever-braide-cai-duarte-e-neto-sobem/,MA,SÃO LUÍS,Prefeito,1,P,1,,,EDUARDO BRAIDE,41,DUARTE JR.,"11,4",NETO EVANGELISTA,"7,9",WELLINGTON DO CURSO,"7,5",BIRA DO PANDARE,"4,6",ADRIANO SARNEY,"4,3",CARLOS MADEIRA,"3,1",DETINHA,"2,4",JEISAEL MARX,"2,2",RUBENS JUNIOR,"1,5",,,,,,,,,,
MA-08464/2020,https://oimparcial.com.br/noticias/2020/08/nova-pesquisa-prever-braide-cai-duarte-e-neto-sobem/,MA,SÃO LUÍS,Prefeito,1,P,0,,,EDUARDO BRAIDE,"16,7",DUARTE JR.,"4,9",NETO EVANGELISTA,"3,8",WELLINGTON DO CURSO,"2,7",DETINHA,"1,4",BIRA DO PANDARE,"1,4",JEISAEL MARX,"1,1",RUBENS JUNIOR,1,,,,,,,,,,,,,,
GO-07831/2020,https://www.emaisgoias.com.br/pesquisa-serpes-aponta-para-vitoria-de-veronice-coelho-em-mara-rosa/,GO,MARA ROSA,Prefeito,1,P,1,,,VERONICE,"45,5",FLAVIO MOURA,"31,6",OTON,"12,6",,,,,,,,,,,,,,,,,,,,,,,,
GO-07831/2020,https://www.emaisgoias.com.br/pesquisa-serpes-aponta-para-vitoria-de-veronice-coelho-em-mara-rosa/,GO,MARA ROSA,Prefeito,1,P,0,,,VERONICE,"38,5",FLAVIO MOURA,"24,3",OTON,"3,3",,,,,,,,,,,,,,,,,,,,,,,,
SC-09075/2020,https://novoriodasostrasrj.blogspot.com/2020/08/adriano-silva-esta-em-segundo-lugar-na.html,SC,JOINVILLE,Prefeito,1,P,,,,FERNANDO KRELLING,12,ADRIANO SILVA,11,DARCI DE MATOS,11,TANIA ELBERHARDT,6,IVANDRO DE SOUZA,5,RODRIGO FACHINI,4,,,,,,,,,,,,,,,,,,
