tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
MG-08214/2020,https://folhauberaba.com.br/noticias/em-nova-pesquisa-crescimento-de-candidata-surpreende,UBERABA,1,P,1,,,TONY CARLOS,31,HELI GRILO,25,ELISA,15,THIAGO MARISCAL,6,LERIN,6,PATRICIA,1,MARIA SANDRA,1,,,,,,,,,,,,,,,,
MG-07636/2020,https://pousoalegre.net/noticia/2020/11/rafael-simoes-lidera-com-folga-intencoes-de-voto-e-tem-a-menor-rejeicao-em-pouso-alegre-aponta-pesquisa-eleitoral/,POUSO ALEGRE,1,P,0,,,RAFAEL SIMOES,"51,8",ANDRE PRADO,"2,8",SARGENTO SILVEIRA,"2,3",,,,,,,,,,,,,,,,,,,,,,,,
MG-02471/2020,https://www.ondapocos.com.br/eleicoes-em-pocos-sergio-azevedo-sobe-para-303-seguido-por-geraldo-thadeu-com-142-e-dr-eloisio-lourenco-com-138-diz-a-segunda-pesquisa-mda-onda-pocos/,POÇOS DE CALDAS,1,P,0,,,SERGIO AZEVEDO,"22,3",ELOISIO LOURENÇO,"5,5",FLAVIO FARIA,"5,2",GERALDO THADEU,"4,7",YULA MEROLA,4,EDUARDO JUNQUEIRA,"2,7",ERCULES TASSINARI,"1,5",,,,,,,,,,,,,,,,
MG-00099/2020,https://patosnoticias.com.br/divulgada-a-2a-pesquisa-de-intencao-de-voto-para-prefeito-em-patos-de-minas/,PATOS DE MINAS,1,P,0,,,BEIA SAVASSI,23,FALCAO,14,ARNALDO QUEIROZ,12,JOSE EUSTAQUIO,3,PEDRO LUCAS,1,HERMANO CAIXETA,1,FREDERICO GALVAO,1,AGUIDA HELENA,1,,,,,,,,,,,,,,
MG-03404/2020,http://edicaodobrasil.com.br/2020/11/02/celso-cota-arranca-na-frente-em-mariana-com-4357-dos-votos/,MARIANA,1,P,0,,,CELSO COTA,"37,2",NEWTON GODOY,"9,2",BRUNO MOL,"7,8",ROBERTO RODRIGUES,"6,1",,,,,,,,,,,,,,,,,,,,,,
MG-04033/2020,https://www.asemanaagora.com.br/public/index.php/post/piedade-edinilson-lidera-com-44-de-intencao-de-votos,PIEDADE DE CARATINGA,1,P,0,,,EDINILSON LOPES,"42,5",ADOLFO BENTO,31,EVERALDO DA FARMACIA,"5,5",PATRICIA DO SALAO,"1,5",,,,,,,,,,,,,,,,,,,,,,
MA-04858/2020,https://luiscardoso.com.br/pesquisa/2020/10/pesquisa-divulgada-pelo-jornal-pequeno-aponta-mais-uma-vez-lideranca-de-didima-coelho-em-vitoria-do-mearim/,VITÓRIA DO MEARIM,1,P,0,,,DIDIMA COELHO,27,NATO DA NORDESTINA,22,DORIS RIOS,15,MARIANO COSTA,1,CARLOS RIBEIRO,1,,,,,,,,,,,,,,,,,,,,
MA-04858/2020,https://luiscardoso.com.br/pesquisa/2020/10/pesquisa-divulgada-pelo-jornal-pequeno-aponta-mais-uma-vez-lideranca-de-didima-coelho-em-vitoria-do-mearim/,VITÓRIA DO MEARIM,1,P,1,,,DIDIMA COELHO,33,NATO DA NORDESTINA,27,DORIS RIOS,24,MARIANO COSTA,3,CARLOS RIBEIRO,2,,,,,,,,,,,,,,,,,,,,
MG-06041/2020,https://www.otempo.com.br/hotsites/eleicoes-2020/eleicoes-em-bh-kalil-tem-63-6-e-cenario-e-de-estabilidade-diz-datatempo-cp2-1.2407046,BELO HORIZONTE,1,P,1,,,KALIL,"63,6",JOAO VITOR XAVIER,"5,5",BRUNO ENGLER,"3,4",AUREA CAROLINA,3,NILMARIO MIRANDA,"2,4",RODRIGO PAIVA,"1,4",WENDEL MESQUITA,"1,4",,,,,,,,,,,,,,,,
MG-06041/2020,https://www.otempo.com.br/hotsites/eleicoes-2020/eleicoes-em-bh-kalil-tem-63-6-e-cenario-e-de-estabilidade-diz-datatempo-cp2-1.2407046,BELO HORIZONTE,1,P,0,,,KALIL,"58,9",JOAO VITOR XAVIER,"2,7",AUREA CAROLINA,"1,9",BRUNO ENGLER,"1,9",NILMARIO MIRANDA,"1,3",,,,,,,,,,,,,,,,,,,,
MG-04033/2020,https://www.asemanaagora.com.br/public/index.php/post/piedade-edinilson-lidera-com-44-de-intencao-de-votos,PIEDADE DE CARATINGA,1,P,1,,,EDINILSON LOPES,44,ADOLFO BENTO,34,EVERALDO DA FARMACIA,"8,5",PATRICIA DO SALAO,3,,,,,,,,,,,,,,,,,,,,,,
MG-08317/2020,https://multidadospesquisa.com.br/p/cambui-mg-25-a-28-de-outubro-de-2020/,CAMBUÍ,1,P,1,,,ALES TADEU,59,JAIRAO DO POVAO,20,ELVIS BUENO,7,ANDERSON ALMEIDA,3,,,,,,,,,,,,,,,,,,,,,,
MG-02220/2020,https://www.facebook.com/opiniaopopularbr/,CAMPOS GERAIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-03887/2020,https://drd.com.br/pesquisa-aponta-empate-tecnico-entre-dois-candidatos-a-prefeito-de-ipatinga/,IPATINGA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-03404/2020,http://edicaodobrasil.com.br/2020/11/02/celso-cota-arranca-na-frente-em-mariana-com-4357-dos-votos/,MARIANA,1,P,1,,,CELSO COTA,"43,57",NEWTON GODOY,"12,66",BRUNO MOL,"10,34",ROBERTO RODRIGUES,"7,54",,,,,,,,,,,,,,,,,,,,,,
MG-00099/2020,https://patosnoticias.com.br/divulgada-a-2a-pesquisa-de-intencao-de-voto-para-prefeito-em-patos-de-minas/,PATOS DE MINAS,1,P,1,,,BEIA SAVASSI,36,ARNALDO QUEIROZ,21,FALCAO,20,PEDRO LUCAS,4,AGUIDA HELENA,1,HERMANO CAIXETA,1,FREDERICO GALVAO,1,,,,,,,,,,,,,,,,
