id_pesq,info_muni,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
MG-03860/2020,UBERLÂNDIA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-07192/2020,ARARIPINA,http://penoticias.com.br/blog/justica-eleitoral-fecha-o-cerco-e-proibe-mais-uma-pesquisa-da-potencial-desta-vez-em-araripina/,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-04103/2020,PETROLINA,http://afogadosonline.com.br/wp/index.php/2020/09/01/pesquisa-feita-em-petrolina-e-suspensa-pela-justica-eleitoral/,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-07691/2020,CUIABÁ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-04983/2020,JOÃO LISBOA,https://oinformante.blog.br/notas/liminar-da-justica-eleitoral-impede-divulgacao-de-pesquisa/,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01195/2020,GUARUJÁ,http://www.badracomunicacao.com.br/publico/include/download.php?file=32,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01195/2020,GUARUJÁ,http://www.badracomunicacao.com.br/publico/include/download.php?file=32,1,P,1,,,VALTER SUMAN,"48,1",GILBERTO BENZI,"3,8",EDILSON DIAS,"3,4",MAGAIVER,"3,1",DEDE DO ADELIA,"2,9",MIGUEL CALMON,"2,5",PROF VALTER BATISTA,"2,1",RODRIGO BARBOSA,"1,1",,,,,,,,,,,,,,
SP-01195/2020,GUARUJÁ,http://www.badracomunicacao.com.br/publico/include/download.php?file=32,1,P,0,,,VALTER SUMAN,"32,9",FARID MADI,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01039/2020,MONGAGUÁ,https://www.santaportal.com.br/noticia/62583-confira-os-resultados-da-pesquisa-em-mongagua,1,P,0,,,MARCIO CABEÇA,"19,4",RODRIGO CASABRANCA,"15,2",RENATO DONATO,"3,5",,,,,,,,,,,,,,,,,,,,,,,,
SP-01039/2020,MONGAGUÁ,https://www.santaportal.com.br/noticia/62583-confira-os-resultados-da-pesquisa-em-mongagua,1,P,1,,,RODRIGO CASABRANCA,"33,6",MARCIO CABEÇA,"29,9",RENATO DONATO,"11,4",TIMOTEO,"2,1",MARCELO CONCEIÇÃO,"1,3",,,,,,,,,,,,,,,,,,,,
SP-08962/2020,ITANHAÉM,https://www.santaportal.com.br/noticia/63475-confira-os-resultados-da-pesquisa-santa-cecilia-badra-para-itanhaem,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
