unnamed: 0,tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
,AM-02727/2020,https://portalmanaos.com.br/2020/04/01/pesquisas-eleicoes-2020-mario-abrahim-lidera-a-disputa-pela-prefeitura-de-itacoatiara/,AM,ITACOATIARA,"Prefeito, Vereador",1.0,P,1.0,,,MARIO ABRAHIM,"30,8",MAMOUD AMED,"18,3",CABO MACIEL,"12,8",ANTONIO PEIXOTO,"5,3",DON MARQUES,"3,6",CASTRO ALVES,"3,1",,,,,,,,,,,,,,,,,,
,AM-03482/2020,https://para.deamazonia.com.br/?q=278-conteudo-171520-prefeito-do-careiro-da-varzea-aparece-em-ultimo-lugar-na-pesquisa-luis-augusto-lidera,AM,CAREIRO DA VÁRZEA,"Prefeito, Vereador",1.0,P,1.0,,,LUIS AUGUSTO SILVA,"27,1",PEDRO GUEDES,"22,5",KEDSON ARAUJO,"15,2",RAMIRO,9,,,,,,,,,,,,,,,,,,,,,,
,AM-03771/2020,https://s3.amazonaws.com/img.portalmarcossantos.com.br/wp-content/uploads/2020/03/23081311/pesquisa-action-prefeito.pdf,AM,MANAUS,Prefeito,1.0,P,1.0,,,AMAZONINO MENDES,"30,7",DAVID ALMEIDA,"15,3",CAPITAO ALBERTO NETO,"6,4",JOSE RICARDO,"4,8",MARCOS ROTTA,"4,7",CONCEIÇÃO SAMPAIO,4,ALFREDO NASCIMENTO,"3,3",JOSUE NETO,"2,2",CHICO PRETO,2,RICARDO NICOLAU,"1,6",BOSCO SARAIVA,"1,6",VANESSA GRAZZIOTIN,"1,6",HISSA ABRAHAO,"1,1",CARLOS ALMEIDA,1,,
,AM-03771/2020,https://s3.amazonaws.com/img.portalmarcossantos.com.br/wp-content/uploads/2020/03/23081311/pesquisa-action-prefeito.pdf,AM,MANAUS,Prefeito,1.0,P,0.0,,,AMAZONINO MENDES,"17,4",DAVID ALMEIDA,"7,5",CAPITAO ALBERTO NETO,"1,3",JOSE RICARDO,"1,3",JOSUE NETO,"1,1",,,,,,,,,,,,,,,,,,,,
,AM-04122/2020,https://www.conexaoamazonas.com/noticia/em-nova-pesquisa-amazonino-lidera-com-26-contra-15-de-david-almeida,AM,MANAUS,Prefeito,1.0,P,1.0,,,AMAZONINO MENDES,26,DAVID ALMEIDA,15,EDUARDO BRAGA,6,JOSE RICARDO,6,SERAFIM CORREA,5,ALBERTO NETO,4,JOSUE NETO,4,CONCEIÇÃO SAMPAIO,3,MARCOS ROTTA,3,ALFREDO NASCIMENTO,2,ROMERO REIS,2,HISSA,2,CHICO PRETO,1,FELIPE SOUZA,1,,
,AM-05602/2020,https://www.fatoamazonico.com/nathan-macena-lidera-pesquisa-no-careiro-castanho-com-434/,AM,CAREIRO,"Prefeito, Vereador",1.0,P,1.0,,,NATHAN MACENA,"43,4",JOEL LOBO,"17,3",NENEM DO IGAPO,"8,8",NELSINHO,"6,3",DOUGLAS PIU PIU,"5,5",TAY LIRA,"4,8",PROF. JERRIMAR,"2,6",,,,,,,,,,,,,,,,
,AM-09360/2020,https://portalunico.com/amazonino-amplia-vantagem-e-aparece-com-292-contra-148-de-david-almeida/,AM,MANAUS,"Prefeito, Vereador",1.0,P,1.0,,,AMAZONINO MENDES,"29,2",DAVID ALMEIDA,"14,8",JOSE RICARDO,"6,3",ALBERTO NETO,5,MARCOS ROTTA,"4,2",ALFREDO NASCIMENTO,"3,7",SERAFIM CORREA,"3,5",JOSUE NETO,"3,4",HISSA ABRAHAO,"2,6",CONCEIÇÃO SAMPAIO,"2,5",VANESSA GRAZZIOTIN,"2,2",,,,,,,,
,BA-00074/2020,https://opovonews.com.br/ubaldino-junior-lidera-pesquisa-para-prefeito-em-porto-seguro/,BA,PORTO SEGURO,Prefeito,1.0,P,1.0,,,UBALDINO JUNIOR,"28,33",JANIO NATAL,"17,83",LIVIA BITENCOURT,"6,18",BETO AXE MOI,"3,33",MAURICIO PEDROSA,"2,67",CHICO CANCELA,"1,83",PAULINHO TOA TOA,"1,33",,,,,,,,,,,,,,,,
,BA-00074/2020,https://opovonews.com.br/ubaldino-junior-lidera-pesquisa-para-prefeito-em-porto-seguro/,BA,PORTO SEGURO,Prefeito,1.0,P,0.0,,,UBALDINO JUNIOR,"23,5",JANIO NATAL,"16,84",LIVIA BITENCOURT,5,MAURICIO PEDROSA,"2,33",BETO AXE MOI,"1,83",PAULINHO TOA TOA,"1,33",CHICO CANCELA,1,,,,,,,,,,,,,,,,
,BA-00617/2020,https://oecojornal.com.br/prefeito-djalma-lidera-com-614-as-intencoes-de-voto-como-pre-candidato-em-novo-horizonte/,BA,NOVO HORIZONTE,"Prefeito, Vereador",1.0,P,1.0,,,DJALMA,"61,4",DINEI,"15,2",ITAMAR,3,,,,,,,,,,,,,,,,,,,,,,,,
,BA-00804/2020,https://www.youtube.com/watch?v=dT0BnxLJ8CQ,BA,SÍTIO DO MATO,Prefeito,1.0,P,1.0,,,GLAUCIA NUNES,"49,8",MARCINHA,"34,6",,,,,,,,,,,,,,,,,,,,,,,,,,
,BA-00804/2020,https://www.youtube.com/watch?v=dT0BnxLJ8CQ,BA,SÍTIO DO MATO,Prefeito,1.0,P,1.0,,,MARCINHA,"43,5",CASSIO CURSINO,"39,4",,,,,,,,,,,,,,,,,,,,,,,,,,
,BA-05270/2020,https://www.bahianoticias.com.br/noticia/246198-bn-seculus-thiancle-lidera-intencoes-de-voto-em-todos-os-cenarios-em-castro-alves.html,BA,CASTRO ALVES,Prefeito,1.0,P,0.0,,,THIANCLE,"63,1",GLEISON,"5,9",CLOVES,"1,48",,,,,,,,,,,,,,,,,,,,,,,,
,BA-05270/2020,https://www.bahianoticias.com.br/noticia/246198-bn-seculus-thiancle-lidera-intencoes-de-voto-em-todos-os-cenarios-em-castro-alves.html,BA,CASTRO ALVES,Prefeito,1.0,P,1.0,,,THIANCLE,"68,63",GLEISON,"5,9",CLOVES,"5,9",,,,,,,,,,,,,,,,,,,,,,,,
,BA-05444/2020,https://www.paranapesquisas.com.br/pesquisas/pesquisa-camacari-eleicoes-municipais-de-2020-e-avaliacao-das-administracoes-municipal-estadual-e-federal-e-avaliacao-da-crise-do-coronavirus-junho-2-020/,BA,CAMAÇARI,Prefeito,1.0,P,1.0,,,ELINALDO,"42,6",IVONEIDE CAETANO,"19,6",OZIEL,"5,4",FABIO LIMA,4,ANTONIO CARLOS SOARES,"2,8",SOCRATES,"2,1",PEDRINHO DE PEDRAO,"1,8",,,,,,,,,,,,,,,,
,BA-05444/2020,https://www.paranapesquisas.com.br/pesquisas/pesquisa-camacari-eleicoes-municipais-de-2020-e-avaliacao-das-administracoes-municipal-estadual-e-federal-e-avaliacao-da-crise-do-coronavirus-junho-2-020/,BA,CAMAÇARI,Prefeito,1.0,P,0.0,,,ELINALDO,"22,9",IVONEIDE CAETANO,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,BA-05770/2020,https://bahialigada.com.br/nova-pesquisa-confirma-vantagem-de-elinaldo-em-camacari/,BA,CAMAÇARI,Prefeito,1.0,P,1.0,,,ELINALDO,39,IVONEIDE CAETANO,19,FABIO LIMA,6,,,,,,,,,,,,,,,,,,,,,,,,
,BA-05770/2020,https://bahialigada.com.br/nova-pesquisa-confirma-vantagem-de-elinaldo-em-camacari/,BA,CAMAÇARI,Prefeito,1.0,P,0.0,,,ELINALDO,24,IVONEIDE CAETANO,8,FABIO LIMA,1,,,,,,,,,,,,,,,,,,,,,,,,
