"ANO_ELEICAO","NUM_TURNO","COD_MUN_TSE","SIGLA_UE","CODIGO_CARGO","NUMERO_CANDIDATO","QTDE_VOTOS"
"2016","1","04634","04634","11","55","6585"
"2016","1","05371","05371","11","12","2484"
"2016","1","45896","45896","11","22","6117"
"2016","1","56138","56138","11","45","1153"
"2016","1","55018","55018","11","14","71"
"2016","1","05797","05797","11","65","751"
"2016","1","41696","41696","11","36","2593"
"2016","1","57053","57053","11","50","5668"
"2016","1","91030","91030","11","13","422"
"2016","1","04324","04324","11","25","5169"
"2016","1","43435","43435","11","55","1117"
"2016","1","57150","57150","11","70","15"
"2016","1","90611","90611","11","14","1343"
"2016","1","04502","04502","11","45","2059"
"2016","1","42315","42315","11","20","6148"
"2016","1","56936","56936","11","10","2096"
"2016","1","91880","91880","11","15","5423"
"2016","1","04170","04170","11","25","12083"
"2016","1","50539","50539","11","45","3283"
"2016","1","56537","56537","11","77","4434"
"2016","1","91030","91030","11","14","1483"
"2016","1","04430","04430","11","20","4138"
"2016","1","48755","48755","11","22","2820"
"2016","1","03069","03069","11","17","1918"
"2016","1","90891","90891","11","45","6699"
"2016","1","05495","05495","11","22","468"
"2016","1","43354","43354","11","13","1568"
"2016","1","03018","03018","11","50","1160"
"2016","1","57096","57096","11","43","558"
"2016","1","04553","04553","11","14","770"
"2016","1","46710","46710","11","55","642"
"2012","1","03093","03093","11","17","4698"
"2016","1","56120","56120","11","45","7080"
"2016","1","05410","05410","11","22","3776"
"2016","1","47015","47015","11","15","10922"
"2012","1","03158","03158","11","11","2005"
"2016","1","56510","56510","11","15","3655"
"2016","1","05339","05339","11","45","2458"
"2016","1","48534","48534","11","14","6509"
"2012","1","03077","03077","11","43","531"
"2016","1","56170","56170","11","13","15313"
"2016","1","04065","04065","11","22","2009"
"2016","1","41815","41815","11","12","1834"
"2012","1","32336","32336","11","23","3076"
"2016","1","57991","57991","11","15","2647"
"2016","1","91901","91901","11","15","2389"
"2016","1","49859","49859","11","15","11446"
"2012","1","31771","31771","11","10","3592"
"2016","1","56472","56472","11","50","794"
"2016","1","90190","90190","11","25","1582"
"2016","1","46876","46876","11","13","631"
"2012","1","32018","32018","11","55","2916"
"2016","1","56189","56189","11","20","552"
"2016","1","91731","91731","11","51","3731"
"2016","1","49611","49611","11","14","4855"
"2012","1","31615","31615","11","23","252"
"2012","1","31933","31933","11","33","39"
"2016","1","90557","90557","11","45","6518"
"2016","1","45357","45357","11","70","1539"
"2012","1","32131","32131","11","20","9658"
"2012","1","32476","32476","11","50","379"
"2016","1","55069","55069","11","14","1007"
"2016","1","50792","50792","11","90","2290"
"2012","1","31917","31917","11","12","5630"
"2012","1","31070","31070","11","21","41"
"2016","1","90514","90514","11","27","200"
"2016","1","50091","50091","11","12","3359"
"2012","1","32093","32093","11","20","6342"
"2012","1","31739","31739","11","55","2425"
"2016","1","90638","90638","11","23","6185"
"2016","1","43834","43834","11","15","3436"
"2012","1","31976","31976","11","20","5245"
"2012","1","32298","32298","11","23","1655"
"2016","1","56693","56693","11","25","7167"
"2016","1","50113","50113","11","15","1682"
"2012","1","32514","32514","11","12","6904"
"2012","1","31615","31615","11","25","1551"
"2016","1","57150","57150","11","25","3382"
"2016","1","40843","40843","11","77","304"
"2016","1","02593","02593","11","55","2013"
"2012","1","31038","31038","11","15","6229"
"2016","1","56634","56634","11","23","2605"
"2016","1","47155","47155","11","45","7172"
"2016","1","02291","02291","11","90","7618"
"2012","1","31135","31135","11","20","843"
"2016","1","57037","57037","11","50","3876"
"2016","1","40851","40851","11","22","3331"
"2016","1","02690","02690","11","12","3598"
"2016","1","02232","02232","11","31","3599"
"2016","1","56081","56081","11","40","2497"
"2016","1","54399","54399","11","15","1882"
"2016","1","02046","02046","11","55","5530"
"2016","1","02399","02399","11","45","4308"
"2016","1","56570","56570","11","44","4667"
"2016","1","48496","48496","11","15","626"
"2016","1","98477","98477","11","27","6215"
"2016","1","02658","02658","11","25","405"
"2016","1","56278","56278","11","44","650"
"2016","1","51772","51772","11","25","2891"
"2016","1","02755","02755","11","55","4722"
"2012","1","02690","02690","11","50","63"
"2016","1","56472","56472","11","18","464"
"2016","1","42218","42218","11","12","975"
"2016","1","02020","02020","11","22","2292"
"2012","1","98396","98396","11","15","4722"
"2012","1","31674","31674","11","43","56"
"2016","1","42005","42005","11","10","1461"
"2016","1","02739","02739","11","55","5744"
"2012","1","02992","02992","11","10","1756"
"2012","1","31003","31003","11","20","2592"
"2016","1","42269","42269","11","90","2504"
"2016","1","02178","02178","11","22","1134"
"2012","1","02453","02453","11","25","948"
"2012","1","31410","31410","11","36","11103"
"2016","1","42226","42226","11","25","2713"
"2016","1","02119","02119","11","77","2578"
"2012","1","02372","02372","11","12","1525"
"2012","1","31470","31470","11","40","858"
"2016","1","42102","42102","11","13","3250"
"2012","1","02976","02976","11","28","32"
"2012","1","02003","02003","11","25","2441"
"2012","1","31810","31810","11","20","3466"
"2016","1","40703","40703","11","40","424"
"2012","1","02275","02275","11","15","1731"
"2012","1","02739","02739","11","15","6033"
"2012","1","31712","31712","11","15","8497"
"2016","1","42838","42838","11","13","1704"
"2012","1","02674","02674","11","43","2819"
"2016","1","27596","27596","11","55","3381"
"2012","1","31852","31852","11","12","3101"
"2016","1","43796","43796","11","12","899"
"2012","1","02810","02810","11","12","7160"
"2016","1","28754","28754","11","15","7664"
"2012","1","31798","31798","11","40","4317"
"2016","1","47015","47015","11","23","1336"
"2012","1","02003","02003","11","65","2228"
"2016","1","28797","28797","11","43","320"
"2016","1","98477","98477","11","55","9908"
"2016","1","41653","41653","11","15","158"
"2012","1","02836","02836","11","14","3733"
"2016","1","28711","28711","11","25","14158"
"2016","1","02119","02119","11","55","2255"
"2016","1","03026",,"11","95","67"
"2012","1","02259","02259","11","44","15271"
"2016","1","28797","28797","11","33","1255"
"2016","1","02810","02810","11","25","449"
"2016","1","03085",,"11","95","129"
"2012","1","02410","02410","11","15","10887"
"2016","1","28479","28479","11","45","3407"
"2016","1","98493","98493","11","15","2146"
"2016","1","03131","03131","11","20","183"
"2016","1","28193","28193","11","23","3500"
"2016","1","27634","27634","11","20","3999"
"2016","1","02976","02976","11","45","2371"
"2012","1","03077","03077","11","19","1909"
"2016","1","28657","28657","11","15","7419"
"2016","1","93858","93858","11","40","20640"
"2016","1","02674","02674","11","55","3016"
"2016","1","06092",,"11","95","237"
"2016","1","27138","27138","11","25","4027"
"2016","1","96156","96156","11","23","1292"
"2016","1","02950","02950","11","55","2904"
"2016","1","06041",,"11","95","23"
"2016","1","28096","28096","11","15","8493"
"2016","1","93114","93114","11","13","6892"
"2016","1","02534","02534","11","13","5899"
"2016","1","06084",,"11","95","44"
"2016","1","28436","28436","11","10","163"
"2016","1","73407","73407","11","40","1369"
"2016","1","02810","02810","11","15","6819"
"2016","1","06130",,"11","95","269"
"2016","1","27693","27693","11","15","1322"
"2016","1","73300","73300","11","55","1321"
"2016","1","02917","02917","11","19","1952"
"2016","1","06092","06092","11","43","3507"
"2016","1","27090","27090","11","40","294"
"2016","1","73520","73520","11","22","1292"
"2012","1","02518","02518","11","27","495"
"2016","1","06033","06033","11","18","1701"
"2016","1","27570","27570","11","77","28"
"2016","1","73504","73504","11","55","997"
"2012","1","98450","98450","11","13","1482"
"2012","1","06025","06025","11","12","2359"
"2012","1","56596","56596","11","20","3307"
"2016","1","95214","95214","11","55","1851"
"2012","1","02879","02879","11","17","284"
"2012","1","06076","06076","11","13","1757"
"2012","1","56308","56308","11","12","3484"
"2016","1","95532","95532","11","45","1087"
"2012","1","02690","02690","11","43","104"
"2012","1","00795","00795","11","15","714"
"2012","1","56413","56413","11","55","6628"
"2016","1","73172","73172","11","55","884"
"2012","1","02070","02070","11","25","3472"
"2012","1","00655","00655","11","13","1343"
"2012","1","57037","57037","11","22","77468"
"2016","1","93556","93556","11","19","382"
"2012","1","02178","02178","11","55","8181"
"2012","1","00337","00337","11","55","2620"
"2012","1","56537","56537","11","70","3491"
"2016","1","73270","73270","11","19","650"
"2012","1","02690","02690","11","55","21087"
"2012","1","00035","00035","11","50","12330"
"2012","1","56570","56570","11","13","4738"
"2016","1","92134","92134","11","15","2450"
"2012","1","02550","02550","11","65","189861"
"2012","1","00736","00736","11","15","2844"
"2012","1","56170","56170","11","55","12131"
"2016","1","73610","73610","11","45","1070"
"2012","1","02615","02615","11","15","4634"
"2016","1","32310",,"11","95","125"
"2012","1","56332","56332","11","40","4686"
"2012","1","57053","57053","11","23","73757"
"2016","1","27413","27413","11","15","4880"
"2016","1","32310",,"11","96","386"
"2012","1","56057","56057","11","40","5615"
"2012","1","56251","56251","11","43","7925"
"2016","1","27553","27553","11","11","3776"
"2016","1","31992",,"11","96","136"
"2016","1","96199","96199","11","25","1266"
"2012","1","56618","56618","11","45","3644"
"2016","1","28835","28835","11","45","6572"
"2016","1","31372",,"11","96","115"
"2016","1","73172","73172","11","15","903"
"2012","1","56057","56057","11","55","3215"
"2016","1","27499","27499","11","55","3006"
"2016","1","31917",,"11","95","376"
"2016","1","96296","96296","11","55","945"
"2012","1","56162","56162","11","13","3811"
"2016","1","28592","28592","11","28","67"
"2016","1","31194",,"11","96","558"
"2016","1","94099","94099","11","51","5"
"2012","1","56871","56871","11","15","4341"
"2016","1","28690","28690","11","31","103"
"2016","1","31577",,"11","96","2756"
