tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""SE-03699/2022""",SE,SERGIPE,"Governador, Senador, Deputado Federal, Deputado Estadual",1,https://xodonews.com.br/noticia/61326/lula-valmir-e-amorim-lideram-intencoes-de-voto-em-sergipe,SE,s,1,,,Valadares Filho,"14,03",Eduardo Amorim,"29,16",Danielle Garcia,"20,17",Laércio Oliveira,"7,25",Henri Clay,"1,74",Airton Costa,"0,55",Heraldo Goes,"0,32",,,,,,,,,,
"""SE-03699/2022""",SE,SERGIPE,"Governador, Senador, Deputado Federal, Deputado Estadual",1,https://xodonews.com.br/noticia/61326/lula-valmir-e-amorim-lideram-intencoes-de-voto-em-sergipe,SE,g,0,,,Valmir de Francisquinho,"37,76",Fábio Mitidieri,"11,01",Rogério Carvalho,"8,28",Alessandro Vieira,"3,09",Niully Campos,"0,75",Aroldo Félix,"0,2",Antonio Cláudio,"0,55",Elinos Sabino,"0,2",,,,,,,,
"""SE-03699/2022""",SE,SERGIPE,"Governador, Senador, Deputado Federal, Deputado Estadual",1,https://xodonews.com.br/noticia/61326/lula-valmir-e-amorim-lideram-intencoes-de-voto-em-sergipe,SE,g,1,,,Valmir de Francisquinho,"44,33",Fábio Mitidieri,"16,84",Rogério Carvalho,"11,69",Alessandro Vieira,"5,55",Niully Campos,"1,35",Aroldo Félix,"0,4",Antonio Cláudio,"0,95",Elinos Sabino,"0,63",,,,,,,,
"""SE-03839/2022""",SE,SERGIPE,"Governador, Senador, Deputado Federal, Deputado Estadual",1,https://www.nenoticias.com.br/exclusivo-pesquisa-de-intencao-de-voto-em-sergipe/,SE,g,0,,,Valmir de Francisquinho,"16,65",Fábio Mitidieri,"7,27",Rogério Carvalho,"4,14",Alessandro Vieira,"1,72",Edvaldo Nogueira,"0,4",,,,,,,,,,,,,,
"""SE-03839/2022""",SE,SERGIPE,"Governador, Senador, Deputado Federal, Deputado Estadual",1,https://www.nenoticias.com.br/exclusivo-pesquisa-de-intencao-de-voto-em-sergipe/,SE,g,1,,,Valmir de Francisquinho,"41,88",Fábio Mitidieri,"14,23",Rogério Carvalho,"15,74",Alessandro Vieira,"7,16",Niully Campos,"1,21",Aroldo Félix,"0,91",Antonio Cláudio,"0,81",Elinos Sabino,"0,5",,,,,,,,
"""SE-03839/2022""",SE,SERGIPE,"Governador, Senador, Deputado Federal, Deputado Estadual",1,https://www.fmjuventude.com.br/noticia/966/exclusivo-instituto-de-pesquisa-e-ensino-divulga-numeros-de-pesquisa-para-governo-e-senado/,SE,s,1,,,Valadares Filho,"30,17",Eduardo Amorim,"16,25",Danielle Garcia,"10,49",Laércio Oliveira,"8,36",Henri Clay,"4,94",Airton Costa,"1,21",,,,,,,,,,,,
"""SE-08915/2022""",SE,SERGIPE,"Governador, Senador",1,https://www.nenoticias.com.br/pesquisa-governador-de-sergipe/,SE,g,1,,,Valmir de Francisquinho,"32,9",Fábio Mitidieri,"16,5",Rogério Carvalho,"20,3",Alessandro Vieira,"9,3",Niully Campos,"2,1",Aroldo Félix,"0,4",Antonio Cláudio,"0,5",Elinos Sabino,"0,1",Jorge Alberto,"0,5",,,,,,
"""SE-08915/2022""",SE,SERGIPE,"Governador, Senador",1,https://www.nenoticias.com.br/pesquisa-governador-de-sergipe/,SE,g,1,,,Valadares Filho,14,Eduardo Amorim,"13,2",Danielle Garcia,"22,8",Laércio Oliveira,"6,9",Henri Clay,"8,4",Airton Costa,"0,6",Heraldo Goes,"0,3",,,,,,,,,,
"""SP-00761/2022""",SP,SÃO PAULO,"Governador, Senador",1,https://valor.globo.com/politica/eleicoes-2022/noticia/2022/08/30/haddad-tem-32percent-e-tarcisio-17percent-para-governo-de-sp-apura-ipec.ghtml,SP,g,1,,,Fernando Hadddad,32,Tarcísio de Freitas,17,Rodrigo Garcia,10,Carol Vigliar,2,Antonio Jorge,1,Elvis Cezar,1,Altino Júnior,1,Vinicius Poit,1,Gabriel Colombo,1,Edson Dorta,0,,,,
"""SP-03036/2022""",SP,SÃO PAULO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SP-04760/2022""",SP,SÃO PAULO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SP-04920/2022""",SP,SÃO PAULO,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SP-04954/2022""",SP,SÃO PAULO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SP-09068/2022""",SP,SÃO PAULO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TO-00513/2022""",TO,TOCANTINS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TO-03546/2022""",TO,TOCANTINS,"Governador, Senador, Deputado Federal",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TO-04812/2022""",TO,TOCANTINS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TO-09677/2022""",TO,TOCANTINS,"Governador, Senador",1,https://www.primeirapagina.to/noticias/k%C3%A1tia-abreu-cai-tr%C3%AAs-pontos-passa-de-25-para-22-mas-ainda-lidera-para-o-senado-na-quarta-rodada-do-vopejornal-primeira-p%C3%A1gina/,TO,S,1,,,Kátia Abreu,22,Professora Dorinha,19,Ataídes Oliveira,16,Mauro Carlesse,10,Carlos Amastha,8,Pastor Claudermir Lopes,2,Vilela do PT,2,,,,,,,,,,
