tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""BA-03595/2022""",BA,BAHIA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BA-06630/2022""",BA,BAHIA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BA-08907/2022""",BA,BAHIA,"Governador, Senador",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BA-08907/2022""",BA,BAHIA,"Governador, Senador",1,https://jornaldachapada.com.br/2022/09/08/eleicoes2022-otto-alencar-continua-em-vantagem-para-senado-com-25-das-intencoes-de-voto/,BA,s,1,,,Otto Alencar,25,Cacá,"13,97",Raíssa,"8,71",Tâmara,"1,44",,,,,,,,,,,,,,,,
"""BA-08907/2022""",BA,BAHIA,"Governador, Senador",1,https://jornaldachapada.com.br/2022/09/08/eleicoes2022-otto-alencar-continua-em-vantagem-para-senado-com-25-das-intencoes-de-voto/,BA,s,0,,,Otto Alencar,"17,98",Cacá,"7,89",Raíssa,"5,45",Tâmara,"0,81",,,,,,,,,,,,,,,,
"""BA-08907/2022""",BA,BAHIA,"Governador, Senador",1,https://www.correio24horas.com.br/noticia/nid/pesquisa-seculus-acm-neto-mantem-lideranca-com-5739-e-venceria-no-1o-turno/,BA,g,0,,,ACM neto,"41,98",Jerônimo,"15,35",João Roma,"5,89",Rui Costa,"0,44",Kleber Rosa,"0,38",Marcelo Millet,"0,19",Damico,"0,13",,,,,,,,,,
"""BA-08907/2022""",BA,BAHIA,"Governador, Senador",1,https://www.correio24horas.com.br/noticia/nid/pesquisa-seculus-acm-neto-mantem-lideranca-com-5739-e-venceria-no-1o-turno/,BA,g,1,,,ACM neto,"57,39",Jerônimo,"18,36",João Roma,"6,89",Kleber Rosa,"0,69",Damico,"0,38",Marcelo Millet,"0,31",,,,,,,,,,,,
"""BR-00474/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00807/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/pesquisas/lula-tem-44-contra-34-de-bolsonaro-no-1o-turno-diz-quaest/,BR,pr,1,,,lula,44,bolsonaro,34,ciro gomes,7,simone tebet,4,felipe d'avila,1,soraya thronicke,1,,,,,,,,,,,,
"""BR-00934/2022""",BR,BRASIL,Presidente,1,https://blogdobarreto.com.br/lula-volta-a-subir-e-ter-vantagem-superior-a-21-pontos-sobre-bolsonaro-no-rn-na-pesquisa-bramane/,RN,pr,1,,,lula,"52,5",jair bolsonaro,"30,9",ciro gomes,"7,9",simone tebet,"1,6",,,,,,,,,,,,,,,,
"""BR-00934/2022""",BR,BRASIL,Presidente,1,https://blogdobarreto.com.br/lula-volta-a-subir-e-ter-vantagem-superior-a-21-pontos-sobre-bolsonaro-no-rn-na-pesquisa-bramane/,RN,pr,0,,,lula,"47,2",jair bolsonaro,"27,8",ciro gomes,"7,7",simone tebet,"1,5",,,,,,,,,,,,,,,,
"""BR-01060/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01391/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02216/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02223/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02431/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02442/2022""",BR,BRASIL,Presidente,1,"https://www.em.com.br/app/noticia/politica/2022/09/06/interna_politica,1391777/pesquisa-ipec-em-minas-lula-tem-46-bolsonaro-30.shtml",RJ,pr,1,,,bolsonaro,39,lula,38,ciro gomes,6,simone tebet,4,soraya thronicke,1,,,,,,,,,,,,,,
"""BR-02618/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02752/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02910/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02953/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03104/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03151/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03348/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03614/2022""",BR,BRASIL,Presidente,1,https://novoextra.com.br/noticias/eleicoes-2022/2022/09/82232-lula-lidera-disputa-presidencial-em-alagoas-bolsonaro-aparece-em-segundo,AL,pr,1,,,lula,54,jair bolsonaro,32,ciro gomes,4,simone tebet,1,,,,,,,,,,,,,,,,
"""BR-03734/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03760/2022""",BR,BRASIL,Presidente,1,https://www.band.uol.com.br/eleicoes/noticias/poderdata-lula-lidera-com-43-dos-votos-contra-37-de-bolsonaro-16533079,BR,pr,1,,,lula,43,bolsonaro,37,ciro gomes,8,simone tebet,5,,,,,,,,,,,,,,,,
"""BR-03892/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03927/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-04109/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-04375/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-04931/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-04946/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05392/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05452/2022""",BR,BRASIL,Presidente,1,https://valor.globo.com/noticia/2022/09/08/quaestgenial-entre-eleitores-de-sp-bolsonaro-tem-37-pontos-percentuais-no-1-turno-e-lula-36.ghtml,SP,pr,1,,,bolsonaro,37,lula,37,ciro gomes,9,simone tebet,6,vera lucia,1,,,,,,,,,,,,,,
