tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""BR-02099/2022""",BR,BRASIL,Presidente,1,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-no-estado-de-santa-catarina-registro-tse-n-o-br-02099-2022-situacao-eleitoral-para-o-executivo-estadual-legislativo-federal-e-avaliacao-da-administ/,pr,SC,0,,,Bolsonaro,"31,2",Lula,"18,3",Ciro,"1,2",,,,,,,,,,,,,,,,,,
"""BR-02099/2022""",BR,BRASIL,Presidente,1,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-no-estado-de-santa-catarina-registro-tse-n-o-br-02099-2022-situacao-eleitoral-para-o-executivo-estadual-legislativo-federal-e-avaliacao-da-administ/,pr,SC,1,,,Bolsonaro,"45,1",Lula,29,Ciro,"6,2",Vera Lúcia,"1,6",Simone Tebet,"1,4",,,,,,,,,,,,,,
"""BR-02283/2022""",BR,BRASIL,Presidente,1,https://www.uol.com.br/eleicoes/2022/05/18/pesquisa-genial-quaest-bahia-presidencial-18-de-maio.htm,pr,BA,1,,,Lula,63,Bolsonaro,17,Ciro,5,Doria,2,Janones,2,Tebet,1,,,,,,,,,,,,
"""BR-02283/2022""",BR,BRASIL,Presidente,1,https://www.uol.com.br/eleicoes/2022/05/18/pesquisa-genial-quaest-bahia-presidencial-18-de-maio.htm,pr,BA,0,,,Lula,45,Bolsonaro,13,Ciro,1,,,,,,,,,,,,,,,,,,
"""BR-02343/2022""",BR,BRASIL,Presidente,1,https://98fmnatal.com.br/ultimas/lula-tem-533-contra-31-de-bolsonaro-no-rn-indica-pesquisa-bramane/,pr,RN,1,,,Lula,"53,3",Bolsonaro,31,Ciro,"5,1",,,,,,,,,,,,,,,,,,
"""BR-02364/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02473/2022""",BR,BRASIL,Presidente,1,https://ojacare.com.br/2022/06/24/lula-e-bolsonaro-sobem-mas-petista-reduz-vantagem-do-presidente-em-ms-revela-ibp/,pr,MS,1,,,Bolsonaro,"36,3",Lula,"34,1",Tebet,4,Ciro Gomes,"3,2",,,,,,,,,,,,,,,,
"""BR-02473/2022""",BR,BRASIL,Presidente,1,https://ojacare.com.br/2022/06/24/lula-e-bolsonaro-sobem-mas-petista-reduz-vantagem-do-presidente-em-ms-revela-ibp/,pr,MS,0,,,Bolsonaro,30,Lula,"28,5",Tebet,"1,6",Ciro,"1,2",,,,,,,,,,,,,,,,
"""BR-02603/2022""",BR,BRASIL,Presidente,1,https://cdn.brasildefato.com.br/documents/0ecf2315ecc9d9d44479c8b297cbbbf4.pdf,pr,BR,1,,,Lula,44,Bolsonaro,32,Ciro Gomes,8,Doria,3,Janones,2,Tebet,1,,,,,,,,,,,,
"""BR-02603/2022""",BR,BRASIL,Presidente,1,https://cdn.brasildefato.com.br/documents/0ecf2315ecc9d9d44479c8b297cbbbf4.pdf,pr,BR,0,,,Lula,39,Bolsonaro,29,Ciro Gomes,3,Doria,1,Tebet,1,Janones,1,,,,,,,,,,,,
"""BR-02606/2022""",BR,BRASIL,Presidente,1,https://static.poder360.com.br/2022/05/SANTA-CATARINA-Eleic%CC%A7o%CC%83es-Gerais-2022-SC-099022022.pdf,pr,SC,1,,,Janones,"2,2",Ciro Gomes,3,Bolsonaro,"50,7",Doria,2,Lula,"27,5",Sergio Moro,"4,3",,,,,,,,,,,,
"""BR-02606/2022""",BR,BRASIL,Presidente,1,https://static.poder360.com.br/2022/05/SANTA-CATARINA-Eleic%CC%A7o%CC%83es-Gerais-2022-SC-099022022.pdf,pr,SC,0,,,Bolsonaro,"44,2",Lula,"25,3",Ciro Gomes,"1,8",Sergio Moro,"1,3",,,,,,,,,,,,,,,,
"""BR-02808/2022""",BR,BRASIL,Presidente,1,https://www.blognossavoz.com.br/em-nova-pesquisa-lula-tem-54-dos-votos-e-bolsonaro-23-em-pernambuco/,pr,PE,1,,,Lula,"54,2",Bolsonaro,"23,8",Ciro Gomes,"3,5",,,,,,,,,,,,,,,,,,
"""BR-02808/2022""",BR,BRASIL,Presidente,1,https://www.blognossavoz.com.br/em-nova-pesquisa-lula-tem-54-dos-votos-e-bolsonaro-23-em-pernambuco/,pr,PE,0,,,Lula,"47,1",Bolsonaro,"21,4",Ciro Gomes,"1,2",,,,,,,,,,,,,,,,,,
