tse_id,url,info_uf,info_position,util,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
RS-08066/2022,https://www.acheconcursos.com.br/concursos-rio-grande-do-sul/concurso-prefeitura-de-travesseiro-rs-2022-sai-edital-53046,RS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-09826/2022,https://www.diariocidade.com/eleicoes/2022/pesquisas-eleitorais/rs/pesquisa-eleitoral-amostra-governador-rio-grande-do-sul-eleicoes-2022-11abril/,RS,"Governador, Senador",1,g,rs,1,,,onyx,"18,5",beto albuquerque,"14,3",edegar pretto,"12,9",romildo,"8,4",luis carlos,"6,2",ranolfo,"4,4",gabriel souza,"3,1",,,,,,,,,,
SE-03772/2022,https://itnet.com.br/2022/04/09/eleicoes-2022-confira-pesquisa-para-o-cargo-de-senador-de-sergipe/,SE,"Governador, Senador, Deputado Federal, Deputado Estadual",1,s,se,1,,,danielle garcia,"25,58",eduardo amorim,"16,37",jackson barreto,"15,81",laercio oliveira,"5,9",henry clay,"1,59",coronel rocha,"1,35",,,,,,,,,,,,
SE-03772/2022,https://itnet.com.br/2022/04/09/eleicoes-2022-confira-pesquisa-para-o-cargo-de-senador-de-sergipe/,SE,"Governador, Senador, Deputado Federal, Deputado Estadual",1,s,se,0,,,danielle garcia,"12,59",jackson barreto,"10,41",eduardo amorim,"8,80",laercio oliveira,"2,91",,,,,,,,,,,,,,,,
SE-06804/2022,https://www.se.gov.br/noticias/seguranca-publica/boletos_para_licenciamento_2022_serao_enviados_para_enderecos_cadastrados_no_detran_se,SE,"Governador, Deputado Distrital, Deputado Estadual, Deputado Federal, Senador",1,df,se,0,,,andre moura,"1,12",fabio reis,"1,12",,,,,,,,,,,,,,,,,,,,
SP-03189/2022,https://www.uol.com.br/eleicoes/2022/04/07/datafolha-governo-de-sp-abril-haddad-franca.htm,SP,Governador,1,g,sp,1,,,fernando haddad,29,marcio frança,20,tarcisio gomes,10,rodrigo garcia,6,vinicius poit,2,felicio ramuth,2,abraham,1,,,,,,,,,,
BR-00800/2022,https://static.poder360.com.br/2022/04/ipespe-nacional-11abr2022.pdf,BR,Presidente,1,pr,br,1,,,lula,34,bolsonaro,30,ciro gomes,8,joao doria,6,simonete tebet,2,andre janones,1,felipe d'avila,1,vera,1,eymael,1,,,,,,
BR-00800/2022,https://static.poder360.com.br/2022/04/ipespe-nacional-11abr2022.pdf,BR,Presidente,1,pr,br,0,,,lula,29,bolsonaro,28,ciro gomes,6,joao doria,5,sergio moro,2,felipe d'avila,1,andre janones,1,simone tebet,1,,,,,,,,
SP-06962/2022,https://static.poder360.com.br/2022/04/ipespe-nacional-11abr2022.pdf,SP,Governador,1,g,sp,0,,,haddad,29,marcio frança,19,tarcisio de freitas,13,rodrigo garcia,5,felicio ramuth,2,vinicius poit,1,abraham,1,altino junior,1,elvis cezar,1,,,,,,
SP-06962/2022,https://static.poder360.com.br/2022/04/ipespe-nacional-11abr2022.pdf,SP,Governador,1,g,sp,1,,,haddad,10,tarcisio freitas,9,marcio frança,4,joao doria,2,guilherme boulos,1,rodrigo garcia,1,felicio ramuth,1,,,,,,,,,,
