tse_id,url,SG_UF,DS_CARGOS,util,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
RN-05375/2022,https://diariopolitico.com.br/2022/05/06/pesquisa-band-seta-fatima-lidera-com-34-fabio-dantas-10/,RN,"Senador, Governador, Deputado Estadual, Deputado Federal",1,g,RN,1,,,Fátima Bezerra,34,Fábio Dantas,10,Styvenson Valentim,8,Haroldo Azevedo,"3,8",Wesli Garcia,"1,6",Clorisa Linhares,"1,3",,,,,,,,,,,,
RN-07483/2022,https://www.blogdobg.com.br/aprovada-proposta-que-fixa-piso-salarial-de-enfermeiros-em-r-47-mil/,RN,"Senador, Deputado Distrital, Deputado Estadual, Governador, Deputado Federal",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO-09470/2022,https://rondoniaovivo.com/noticia/eleicoes2022/2022/04/27/eleicoes-2022-chrisostomo-e-breno-mendes-lideram-pesquisa-para-deputado-federal.html,RO,"Senador, Governador, Deputado Estadual, Deputado Federal",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR-06836/2022,https://portalopoder.com.br/2022/04/19/rr-teresa-surita-tem-o-dobro-de-votos-de-denarium-diz-instituto-pontual/,RR,"Governador, Senador",1,g,RR,1,,,Teresa Surita,"57,1",Antonio Denarium,"32,3",Fábio Almeida,"3,1",,,,,,,,,,,,,,,,,,
RR-06836/2022,https://bncamazonas.com.br/eleicoes-2022/romero-voltar-senado-pesquisa-roraima/,RR,"Governador, Senador",1,s,RR,1,,,Romero Jucá,43,Hiran Gonçalves,"22,9",Telmário Mota,"21,4",Helder Girão,"6,8",Ozeas Colares,"5,9",,,,,,,,,,,,,,
RS-06633/2022,https://www.cartacapital.com.br/wp-content/uploads/2022/04/RTBD__RS_ABR_21-1.pdf,RS,"Governador, Senador",1,g,RS,0,,,Eduardo Leite,2,Onyx Lorenzoni,2,José Ivo Sartori,2,Edegar Pretto,1,,,,,,,,,,,,,,,,
RS-06633/2022,https://www.cartacapital.com.br/wp-content/uploads/2022/04/RTBD__RS_ABR_21-1.pdf,RS,"Governador, Senador",1,g,RS,1,,,Onyx Lorenzoni,19,Eduardo Leite,13,Romildo Bolzan,6,Beto Albuquerque,5,Edegar Pretto,5,Luiz Carlos Heinze,5,Roberto Argenta,2,Gabriel Souza,,,,,,,,,
RS-06633/2022,https://www.cartacapital.com.br/wp-content/uploads/2022/04/RTBD__RS_ABR_21-1.pdf,RS,"Governador, Senador",1,s,RS,1,,,Manuela D'Ávila,20,Hamilton Mourão,16,Ana Amélia Lemos,12,José Ivo Sartori,10,Nelson Marchezan Jr,4,Romildo Bolzan,4,Lasier Martins,4,,,,,,,,,,
SC-09902/2022,https://www.4oito.com.br/noticia/eleicoes-2022-governador-moises-tem-o-maior-indice-de-rejeicao-entre-os-pre-candidatos-ao-governo-aponta-pesquisa-57154,SC,"Senador, Governador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01220/2022,https://abcreporter.com.br/2022/04/27/pesquisa-badra-exclui-nomes-importantes-da-regiao-em-seu-levantamento/,SP,"Governador, Deputado Estadual, Deputado Federal",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01683/2022,https://veja.abril.com.br/coluna/maquiavel/tarcisio-surge-a-frente-de-haddad-em-pesquisa-espontanea-ao-governo-de-sp/,SP,"Governador, Senador",1,g,SP,0,,,Tarcísio de Freitas,"6,8",Fernando Haddad,"4,1",Márcio França,"2,3",João Doria,"0,5",Rodrigo Garcia,"0,4",Elvis Cezar,"0,1",Vinicius Poit,"0,1",,,,,,,,,,
SP-01683/2022,https://veja.abril.com.br/coluna/maquiavel/haddad-lidera-corrida-ao-governo-de-sp-franca-e-tarcisio-estao-empatados/,SP,"Governador, Senador",1,g,SP,1,,,Fernando Haddad,"29,7",Márcio França,"18,6",Tarcísio de Freitas,"15,2",Rodrigo Garcia,"5,6",Vinicius Poit,"1,8",Felicio Ramuth,1,Abraham Weintraub,"0,7",Elvis Cezar,"0,4",Altimo Júnior,"0,2",,,,,,
SP-01683/2022,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-no-estado-de-sao-paulo-contratada-pela-bgc-liquidez-distribuidora-de-titulos-mobiliarios-ltda-registro-tse-no-sp-01683-2022-situacao-eleitor/,SP,"Governador, Senador",1,s,SP,1,,,Datena,29,Sergio Moro,"21,8",Márcio França,"13,7",Janaina Paschoal,"8,5",Nise Yamaguchi,"2,7",Ricardo Mellão,"0,4",,,,,,,,,,,,
SP-04938/2022,https://www.diariodocentrodomundo.com.br/sp-haddad-segue-na-lideranca-isolada-diz-nova-pesquisa/,SP,Governador,1,g,SP,1,,,Fernando Haddad,26,Márcio França,15,Tarcísio de Freitas,13,Rodrigo Garcia,4,,,,,,,,,,,,,,,,
SP-06919/2022,https://www.brasil247.com/regionais/sudeste/haddad-lidera-pesquisa-para-governo-de-sao-paulo-com-13-pontos-de-vantagem-sobre-franca,SP,"Governador, Deputado Estadual, Deputado Federal",1,g,SP,1,,,Fernando Haddad,"26,04",Márcio França,"13,2",Tarcísio de Freitas,"9,66",Rodrigo Garcia,"3,06",Renata Abreu,"2,32",Felício Ramuth,"1,59",Vinicius Poit,"1,1",Elvis Cezar,"0,86",Abraham Weintraub,"0,49",,,,,,
SP-06919/2022,https://www.brasil247.com/regionais/sudeste/haddad-lidera-pesquisa-para-governo-de-sao-paulo-com-13-pontos-de-vantagem-sobre-franca,SP,"Governador, Deputado Estadual, Deputado Federal",1,g,SP,0,,,Fernando Haddad,"8,92",Tarcísio de Freitas,"5,99",Márcio França,"3,3",João Doria,"1,34",Rodrigo Garcia,"1,1",Eduardo Cury,"0,12",Felício Ramuth,"0,12",Guilherme Boulos,"0,12",Vinicius Poit,"0,12",,,,,,
SP-08288/2022,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-no-municipio-de-sao-jose-dos-campos-sobre-a-avaliacao-das-administracoes-estadual-e-municipal-registro-tse-o-sp-08288-2022-marco-2022/,SP,Governador,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO-06430/2022,https://www.pautanoticias.com.br/wp-content/uploads/2022/05/RTBD_TO_ABR_22.pdf,TO,"Governador, Senador",1,g,TO,0,,,Carlos Amastha,5,Ronaldo Dimas,4,Mauro Carlesse,3,Eduardo Gomes,2,Vanderlei Barbosa,2,Kátia Abreu,1,,,,,,,,,,,,
TO-06430/2022,https://www.pautanoticias.com.br/wp-content/uploads/2022/05/RTBD_TO_ABR_22.pdf,TO,"Governador, Senador",1,g,TO,1,,,Ronaldo Dimas,28,Wanderlei Barbosa,23,Paulo Mourão,8,Laurenz Moreira,7,Osires Damaso,4,,,,,,,,,,,,,,
TO-06430/2022,https://www.pautanoticias.com.br/wp-content/uploads/2022/05/RTBD_TO_ABR_22.pdf,TO,"Governador, Senador",1,s,TO,0,,,Kátia Abreu,7,Professora Dorinha,4,Vicentinho Jr.,3,Marcelo Miranda,3,Vanderlei Luxemburgo,2,Ataídes Oliveira,1,Gaguim,1,Mauro Carlesse,1,,,,,,,,
TO-06430/2022,https://www.pautanoticias.com.br/wp-content/uploads/2022/05/RTBD_TO_ABR_22.pdf,TO,"Governador, Senador",1,s,TO,1,,,Professora Dorinha,26,Kátia Abreu,15,Vanderlei Luxemburgo,13,Marcelo Miranda,7,Ataídes Oliveira,6,Mauro Carlesse,2,,,,,,,,,,,,
