tse_id,url,cidade,estado,util,position,estimulada,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16
CE-00072/2012,https://www.narotadasnoticias.com.br/2012/09/segundo-o-site-do-deputado-welington.html,JARDIM,CE,1,P,,,ANALEDA,57.28,CREMILDA,32.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-00073/2012,https://www.porteirasagora.com.br/2012/09/eleicoes-no-cariri-pesquisa-em-missao.html,,,1,P,,,WASHINGTON,48.18,TARDINY,36.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-00076/2012,https://revistalitoralleste.blogspot.com/2012/10/pesquisa-aponta-vitoria-de-ivonete.html,CASCAVEL,CE,1,P,,,IVONETE QUEIROZ,53.34,TIAGO RIBEIRO,37.15,LIDUINA ESTEVES,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-00090/2012,https://djacireufrasio.blogspot.com/2012/10/valmar-bernardo-lidera-em-todas-as.html,TEJUÇUOCA,CE,1,P,,,VALMAR BERNARDO,54.55,JOAO MOTA,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-00103/2012,https://acopiaranoticias.blogspot.com/2012_10_04_archive.html,VÁRZEA ALEGRE,CE,1,P,1.0,,VANDERLEI,57.0,HOMERO,32.0,CAUBI,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-00159/2012,https://ldeassis.blogspot.com/2012/10/o-judiciario-e-as-pesquisas-eleitorais_5371.html,SENADOR POMPEU,CE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-00045/2012,https://www.scribd.com/document/317664534/Medidor-Powogaz-Js90-1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-00110/2012,https://acampadapatraix.files.wordpress.com/2011/10/acta-bpuc-2012-03-04.pdf,PRESIDENTE KENNEDY,ES,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-01964/2018,https://www.folhadoes.com/noticia/politica-eleicoes-2018/41701/grande-vitoria-vantagem-casagrande-liderar-pesquisa,ESPÍRITO SANTO,ES,1,G,0.0,,RENATO CASAGRANDE,29.34,PAULO HARTUNG,26.56,CORONEL FORESTI,5.56,ROSE DE FREITAS,4.34,ANDRE MOREIRA,0.98,,,,,,,,,,,,,,,,,,,,,,
MA-00008/2014,https://idalgolacerda.blogspot.com/2014/05/lobao-filho-avanca-e-flavio-dino.html,MARANHÃO,MA,1,G,,,FLAVIO DINO,37.26,LOBAO FILHO,24.93,MARCOS SILVA,4.38,ELIZIANE GAMA,5.75,DR HILTON GONÇALO,3.29,,,,,,,,,,,,,,,,,,,,,,
MA-00019/2012,https://jornalpequeno.blog.br/johncutrim/luciano-leitoa-lidera-pesquisa-em-timon-com-63/,TIMON,MA,1,P,1.0,,LUCIANO LEITOA,61.79,ALEXANDRE ALMEIDA,13.2,IRMAO WILLIAM,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00019/2012,https://jornalpequeno.blog.br/johncutrim/luciano-leitoa-lidera-pesquisa-em-timon-com-63/,TIMON,MA,1,P,1.0,,LUCIANO LEITOA,63.2,ALEXANDRE ALMEIDA,14.62,TALES WAQUIM,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00019/2012,https://jornalpequeno.blog.br/johncutrim/luciano-leitoa-lidera-pesquisa-em-timon-com-63/,TIMON,MA,1,P,0.0,,LUCIANO LEITOA,14.76,EDIVAR RIBEIRO,2.14,ALEXANDRE ALMEIDA,0.71,TALES WAQUIM,0.47,,,,,,,,,,,,,,,,,,,,,,,,
