feito_por,obs,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MARICELIA,,RJ-02317/2018,https://blogdobozogandu.blogspot.com/2018/08/romario-lidera-corrida-eleitoral-para.html,RJ,RIO DE JANEIRO,1,G,1.0,,,romario de sousa faria,0.25,eduardo paes,0.19,anthony garotinho,0.17,indio da costa,0.06,marcia tiburi,0.03,tarcisio mota,0.03,pedro fernando,0.03,marcelo trindade,0.02,wilson witzel,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-02317/2018,https://carlosjorgepedagogo.blogspot.com/2018/08/romario-lidera-em-nova-pesquisa-para-o.html,RJ,RIO DE JANEIRO,1,G,0.0,,,romario de sousa faria,0.12,eduardo paes,0.09,anthony garotinho,0.07,indio da costa,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-02317/2018,https://diariodorio.com/pesquisa-aponta-romario-ganhando-no-2o-turno/,RJ,RIO DE JANEIRO,1,S,1.0,,,flavio bolsonaro,0.24,cesar maia,0.15,chico alencar,0.14,lindbergh farias,0.1,eduardo lopes,0.07,miro teixeira,0.05,arolde de oliveira,0.04,aspasia camargo,0.04,pastor everaldo,0.02,ivair dos santos,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-02317/2018,https://pleno.news/brasil/eleicoes-2018/rj-radio-93-fm-realiza-debate-com-candidatos-ao-governo.html,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03255/2018,https://adilsonribeiro.net/2018/10/27/eleicoes-2018-unig-lugar-de-gente-inteligente-informa-diferenca-entre-witzel-e-paes-diminui-clique-na-imagem-e-saiba-mais/,RJ,RIO DE JANEIRO,1,G,1.0,,1.0,wilson witzel,0.54,eduardo paes,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03255/2018,https://adilsonribeiro.net/2018/10/27/eleicoes-2018-unig-lugar-de-gente-inteligente-informa-diferenca-entre-witzel-e-paes-diminui-clique-na-imagem-e-saiba-mais/,RJ,RIO DE JANEIRO,1,G,1.0,,,wilson witzel,0.47,eduardo paes,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03331/2018,https://veja.abril.com.br/blog/radar/enquanto-romario-derrete-paes-amplia-lideranca/,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03549/2018,https://blogdovagnerrosa.com/index.php/2018/08/22/nao-e-mais-romario-agora-e-paes-quem-lidera-corrida-para-o-governo-do-rio/,RJ,RIO DE JANEIRO,1,G,1.0,,,eduardo paes,0.18,romario,0.16,anthony garotinho,0.12,tarcisio mota,0.05,indio da costa,0.05,pedro fernando,0.03,marcia tiburi,0.02,marcelo trindade,0.02,andre monteiro,0.01,dayse oliveira,0.01,wilson witzel,0.01,luiz eugenio,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03549/2018,https://exame.com/brasil/paes-romario-e-garotinho-estao-empatados-em-disputa-no-rio/,RJ,RIO DE JANEIRO,1,S,1.0,,,cesar maia,0.18,flavio bolsonaro,0.18,lindbergh,0.18,chico alencar,0.17,miro teixeira,0.11,pastor everaldo,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-03549/2018,https://oglobo.globo.com/brasil/datafolha-flavio-bolsonaro-psl-cesar-maia-dem-lindbergh-pt-chico-alencar-psol-estao-empatados-23000644,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
