outro id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
,BR-00400/2014,https://canaldenoticiaagora.blogspot.com/2014/09/pesquisa-eleitoral-para-presidente.html,BR,BRASIL,1.0,PR,1.0,,,DILMA ROUSSEFF,"34,2",MARINA SILVA,"28,2",AECIO NEVES,16,PASTOR EVERALDO,"1,3",,,,,,,,,,,,,,,,,,,,,,
,BR-00400/2014,https://issuu.com/cearanews7/docs/relatorio_20sintese_20-_20cnt_20ago,BR,BRASIL,1.0,PR,0.0,,,DILMA ROUSSEFF,"26,4",MARINA SILVA,"18,6",AECIO NEVES,"11,3",,,,,,,,,,,,,,,,,,,,,,,,
,BR-00451/2018,http://docplayer.com.br/75103773-Eleicoes-2018-presidencia.html,BR,BRASIL,1.0,PR,1.0,,,JAIR BOLSONARO,"27,27",MARINA SILVA,"14,93",JOAQUIM BARBOSA,"13,35",CIRO GOMES,"6,5",GERALDO ALCKMIN,"6,3",ALVARO DIAS,"5,53",FERNANDO HADDAD,"1,45",HENRIQUE MEIRELLES,"1,34",,,,,,,,,,,,,,
,BR-00470/2014,https://mococa24horas.com.br/noticias/det/614/geraldo-e-marina-lideram-em-sp-apontam-pesquisas?p=noticias/det/614/geraldo-e-marina-lideram-em-sp-apontam-pesquisas,BR,BRASIL,1.0,PR,0.0,,,MARINA SILVA,28,DILMA ROUSSEFF,20,AECIO NEVES,14,,,,,,,,,,,,,,,,,,,,,,,,
,BR-00470/2014,https://mococa24horas.com.br/noticias/det/614/geraldo-e-marina-lideram-em-sp-apontam-pesquisas?p=noticias/det/614/geraldo-e-marina-lideram-em-sp-apontam-pesquisas,BR,BRASIL,1.0,PR,1.0,,,MARINA SILVA,39,DILMA ROUSSEFF,23,AECIO NEVES,17,,,,,,,,,,,,,,,,,,,,,,,,
,BR-00574/2014,http://bloganoticiaacontece.weebly.com/blog/archives/09-2014,BR,BRASIL,1.0,PR,,,,DILMA ROUSSEFF,"38,1",MARINA SILVA,"33,5",AECIO NEVES,"14,7",PASTOR EVERALDO,1,,,,,,,,,,,,,,,,,,,,,,
,BR-00574/2014,https://issuu.com/diariodoscampos/docs/ed32320,BR,BRASIL,1.0,PR,0.0,,,DILMA ROUSSEFF,"30,9",MARINA SILVA,"25,8",AECIO NEVES,"10,1",,,,,,,,,,,,,,,,,,,,,,,,
ES-00021/2014,BR-00694/2014,http://g1.globo.com/espirito-santo/eleicoes/2014/noticia/2014/09/ao-senado-rose-tem-27-neucimar-17-e-coser-15-diz-futura-no-es.html,BR,BRASIL,1.0,S,0.0,,,ROSE DE FREITAS,15,NEUCIMAR,9,JOAO COSER,6,,,,,,,,,,,,,,,,,,,,,,,,
ES-00021/2014,BR-00694/2014,http://g1.globo.com/espirito-santo/eleicoes/2014/noticia/2014/09/ao-senado-rose-tem-27-neucimar-17-e-coser-15-diz-futura-no-es.html,BR,BRASIL,1.0,S,1.0,,,ROSE DE FREITAS,27,NEUCIMAR,17,JOAO COSER,15,ANDRE MOREIRA,2,,,,,,,,,,,,,,,,,,,,,,
ES-00021/2014,BR-00694/2014,http://g1.globo.com/espirito-santo/eleicoes/2014/noticia/2014/09/hartung-tem-49-e-casagrande-31-diz-futura-no-espirito-santo.html,BR,BRASIL,1.0,G,0.0,,,PAULO HARTUNG,36,CASAGRANDE,22,ROBERTO CARLOS,1,CAMILA VALADAO,1,,,,,,,,,,,,,,,,,,,,,,
ES-00021/2014,BR-00694/2014,http://g1.globo.com/espirito-santo/eleicoes/2014/noticia/2014/09/hartung-tem-49-e-casagrande-31-diz-futura-no-espirito-santo.html,BR,BRASIL,1.0,G,1.0,,,PAULO HARTUNG,49,CASAGRANDE,31,ROBERTO CARLOS,2,CAMILA VALADAO,1,,,,,,,,,,,,,,,,,,,,,,
,BR-00703/2014,https://correiodeminas.com.br/pesquisa-revela-que-lafaiete-nao-deve-eleger-deputado/,BR,BRASIL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-00753/2014,https://blogdojcfilho.blogspot.com/2014/09/,BR,BRASIL,1.0,PR,1.0,,,DILMA ROUSSEFF,36,MARINA SILVA,"27,4",AECIO NEVES,"17,6",,,,,,,,,,,,,,,,,,,,,,,,
,BR-00753/2014,https://www.blogdanoeliabrito.com/2014/09/cnt-sensus-dilma-ultrapassa-marina-em.html,BR,BRASIL,1.0,PR,0.0,,,DILMA ROUSSEFF,"31,4",MARINA SILVA,23,,,,,,,,,,,,,,,,,,,,,,,,,,
