tse_id,url,sg_uf.x,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
SP-01183/2016,https://oglobo.globo.com/brasil/russomanno-segue-na-lideranca-isolada-da-disputa-por-prefeitura-de-sp-diz-datafolha-19997017,SP,SÃO PAULO,1,p,1.0,,,Doria,5.0,Russomano,25.0,Haddad,8.0,Luiza Erundina,10.0,Young,1.0,Major Olimpio,2.0,Levy Fidelix,2.0,Marta Suplicy,16.0,,,,,,,,,,,,,,
SP-01183/2016,https://oglobo.globo.com/brasil/russomanno-segue-na-lideranca-isolada-da-disputa-por-prefeitura-de-sp-diz-datafolha-19997017,SP,SÃO PAULO,1,p,1.0,,,Doria,5.0,Russomano,25.0,Haddad,8.0,Luiza Erundina,10.0,Young,1.0,Major Olimpio,2.0,Levy Fidelix,2.0,Marta Suplicy,16.0,,,,,,,,,,,,,,
SP-01183/2016,https://www.pragmatismopolitico.com.br/2016/08/datafolha-nova-pesquisa-prefeitura-sao-paulo.html,SP,SÃO PAULO,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01183/2016,https://www.pragmatismopolitico.com.br/2016/08/datafolha-nova-pesquisa-prefeitura-sao-paulo.html,SP,SÃO PAULO,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01183/2016,https://www.todapolitica.com/eleicoes-2016/pesquisa-eleitoral-sao-paulo/,SP,SÃO PAULO,1,p,1.0,,,Doria,35.0,Russomano,23.0,Haddad,15.0,Luiza Erundina,5.0,João Bico,1.0,Major Olimpio,1.0,Levy Fidelix,1.0,Marta Suplicy,19.0,,,,,,,,,,,,,,
SP-01183/2016,https://www.todapolitica.com/eleicoes-2016/pesquisa-eleitoral-sao-paulo/,SP,SÃO PAULO,1,p,1.0,,,Doria,35.0,Russomano,23.0,Haddad,15.0,Luiza Erundina,5.0,João Bico,1.0,Major Olimpio,1.0,Levy Fidelix,1.0,Marta Suplicy,19.0,,,,,,,,,,,,,,
SP-01459/2018,https://br.noticias.yahoo.com/datafolha-em-sao-paulo-doria-atinge-26-contra-22-de-skaf-103228387.html,SP,SÃO PAULO,1,G,1.0,,,Doria,26.0,Skaf,22.0,Marcio França,11.0,Luiz Marinho,6.0,,,,,,,,,,,,,,,,,,,,,,
SP-01459/2018,https://br.noticias.yahoo.com/datafolha-em-sao-paulo-doria-atinge-26-contra-22-de-skaf-103228387.html,SP,SÃO PAULO,1,G,1.0,,,Doria,26.0,Skaf,22.0,Marcio França,11.0,Luiz Marinho,6.0,,,,,,,,,,,,,,,,,,,,,,
SP-01459/2018,https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/datafolha/datafolha-suplicy-lidera-corrida-ao-senado-em-sao-paulo-com-31/,SP,SÃO PAULO,1,S,1.0,,,Suplicy,31.0,Gabrilli,14.0,Mario Covas,12.0,Major Olímpio,11.0,Maggi,10.0,Tripoli,8.0,Cidinha,6.0,Antonio Neto,3.0,Jilmar Tatto,3.0,Barbiere,3.0,Ferreira,3.0,Silvia Ferraro,3.0,Diogo da Luz,2.0,Andreoni,2.0,Daniel Cara,2.0
SP-01459/2018,https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/datafolha/datafolha-suplicy-lidera-corrida-ao-senado-em-sao-paulo-com-31/,SP,SÃO PAULO,1,S,1.0,,,Suplicy,31.0,Gabrilli,14.0,Mario Covas,12.0,Major Olímpio,11.0,Maggi,10.0,Tripoli,8.0,Cidinha,6.0,Antonio Neto,3.0,Jilmar Tatto,3.0,Barbiere,3.0,Ferreira,3.0,Silvia Ferraro,3.0,Diogo da Luz,2.0,Andreoni,2.0,Daniel Cara,2.0
SP-01579/2016,http://www.paranapesquisas.com.br/wp-content/uploads/2016/05/S%C3%A3oBernardoCampoMaio16.pdf,SP,SÃO BERNARDO DO CAMPO,1,p,0.0,,,Alex Manente,6.6,Orlando Morando,5.8,Tarcísio Secoli,2.3,Maurício Soares,1.9,Professor Aldo Santos,1.3,,,,,,,,,,,,,,,,,,,,
