tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
PA-00090/2012,https://gv-nanet1.blogspot.com/2012/,PA,MARABÁ,1.0,P,0.0,,,JOAO SALAME,"42,7",TIAO MIRANDA,"38,4",MAURINO MAGALHAES,"6,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00090/2012,https://gv-nanet1.blogspot.com/2012/,PA,MARABÁ,1.0,P,1.0,,,SALAME,"43,5",TIAO MIRANDA,"39,3",MAURINO,"6,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00091/2012,https://www.escavador.com/diarios/354038/TRT-1/A/2016-04-19,PA,OURILÂNDIA DO NORTE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00102/2012,https://docplayer.com.br/81406885-Permanente-de-licitacao-instituida-pelo-ato-da-presidencia-no-22-2011.html,PA,SÃO FÉLIX DO XINGU,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00110/2012,http://www.ronilson.com.br/2012/09/atualizada-dr-macedo-lidera-pesquisa.html,PA,BELTERRA,1.0,P,1.0,,,DR. MACEDO,"35,6",DILMA,24,ULISSES,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00120/2012,https://midiasnaeducacaopara.blogspot.com/2012/09/intencao-de-votos-em-braganca-pesquisa.html,PA,BRAGANÇA,1.0,P,1.0,,,PADRE NELSON,52,DR. AMERICO,"27,4",JOSE DIOGO,"20,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00120/2012,http://www.hiroshibogea.com.br/doxa-padre-nelson-lidera-em-braganca-com-mais-de-50/,PA,BRAGANÇA,1.0,P,0.0,,,PADRE NELSON,"45,8",DR. AMERICO,25,JOSE DIOGO,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00134/2012,https://pjpontes.blogspot.com/2012/09/mais-uma-rodada-de-pesquisas-em-belem.html,PA,BELÉM,1.0,P,1.0,,,EDMILSON RODRIGUES,"44,7",ZENALDO,"14,7",PRIANTE,"12,7",ANIVALDO VALE,7,JEFERSON LIMA,5,JORDY,"3,4",ALFREDO,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00136/2012,https://blogdoluizpereira.blogspot.com/2012/09/normal-0-21-false-false-false-pt-br-x_27.html,PA,CURIONÓPOLIS,1.0,P,,,,CHAMONZINHO,78,ADONEI,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00150/2012,https://ctpbr.blogspot.com/2012/09/,PA,MARABÁ,1.0,P,,,,JOAO,"46,7",TIAO MIRANDA,"38,1",MAURINO,"5,8",CESAR COMERCIO,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00154/2012,https://portaldejuruti.blogspot.com/2012/09/eleicoes-2012_2393.html,PA,JURUTI,1.0,P,0.0,,,MARQUINHO,"43,1",LUCIDIA,"30,8",OTAVIO BARBOSA,"14,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00154/2012,https://portaldejuruti.blogspot.com/2012/09/eleicoes-2012_2393.html,PA,JURUTI,1.0,P,1.0,,,MARQUINHO,"48,9",LUCIDIA,"34,1",OTAVIO BARBOSA,"16,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
