feito_por,obs,tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
CLARA,,BA-04667/2016,https://oecojornal.com.br/pesquisa-de-intencao-de-votos-aponta-lideranca-de-dr-erico-em-erico-cardoso/,8624076000108.0,BA,33090,1.0,P,1.0,,,DR. ERICO,58,ROBERIO NUNES,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-05207/2016,http://www.mandacarudaserra.com.br/arquivo/2016/setembro.html,8624076000108.0,BA,36919,1.0,P,1.0,,,RICARDINHO RIBEIRO,52,EMERSON LEAL,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-05611/2016,https://www.boquiraemacao.com.br/p/quem-somos.html,8624076000108.0,BA,33812,1.0,P,,,,LUCIANO,58,MARCO TULIO,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-05683/2016,http://www.liberdadebomsucesso.com.br/2016/06/ibipitanga-ba-nova-pesquisa-confirma.html,8624076000108.0,BA,35513,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-09866/2016,https://oecojornal.com.br/eleicoes-2016-pesquisa-niltinho-larga-na-frente-nas-intencoes-de-voto-em-ibitiara/,8624076000108.0,BA,35610,1.0,P,1.0,,,NILTON MENESES,50,BETO,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-09950/2016,https://correiomacaubense.wordpress.com/2016/09/30/amelinho-lidera-pesquisa-em-macaubas-com-69-de-intencao-de-votos/,8624076000108.0,BA,36978,1.0,P,,,,AMELINHO,69,NETO NOGUEIRA,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,PR-00583/2012,http://transparencia.mprs.mp.br/publicacao_anual/rol_documentos/desclassificados/2017/3/,9304509000100.0,PR,75647,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,RS-00186/2012,https://www.escavador.com/diarios/21412/TRT-23/J/2013-05-13/19234636/movimentacao-do-trt-da-23-regiao,9304509000100.0,RS,87408,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SC-00201/2012,https://www.jinchutou.com/p-24753735.html,9304509000100.0,SC,80837,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,MG-05023/2016,https://www.facebook.com/markin33/posts,9434008000130.0,MG,42021,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-00367/2012,https://issuu.com/costanorte/docs/jornal_costa_norte_1193/2,9434008000130.0,SP,61280,1.0,P,1.0,,,ORLANDINI,27.6,CAIO MATHEUS,25.7,DR. LAIRTON,21.1,DRA. DEBORA,6.6,KALED,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-00367/2012,https://issuu.com/costanorte/docs/jornal_costa_norte_1193/3,9434008000130.0,SP,61280,1.0,P,0.0,,,ORLANDINI,22.4,CAIO MATHEUS,20.4,DR. LAIRTON,15.1,DRA. DEBORA,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-00462/2012,https://issuu.com/costanorte/docs/jornal_costa_norte_1193,9434008000130.0,SP,71153,1.0,P,0.0,,,ERNANE,26.5,DR. JUAN,22.5,FELIPE AUGUSTO,18.5,FERNANDO PUGA,2,JOAO AMORIM,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-00462/2012,https://issuu.com/costanorte/docs/jornal_costa_norte_1193/4,9434008000130.0,SP,71153,1.0,P,1.0,,,ERNANE,36.2,DR. JUAN,27.2,FELIPE AUGUSTO,19.5,FERNANDO PUGA,2.2,JOAO AMORIM,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-00580/2016,https://issuu.com/costanorte/docs/jornal_costa_norte_1384/6,9434008000130.0,SP,71153,1.0,P,1.0,,,FELIPE AUGUSTO,24,JUAN GARCIA,21.5,WAGNER TEIXEIRA,20.5,DR. ALDO,6,JOAO AMORIM,5.5,LUIZINHO FARIA,2.5,ANGELA COUTO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-00580/2016,https://issuu.com/costanorte/docs/jornal_costa_norte_1384/6,9434008000130.0,SP,71153,1.0,P,0.0,,,FELIPE AUGUSTO,14.5,JUAN GARCIA,11,WAGNER TEIXEIRA,10,JOAO AMORIM,1,GLEIVISON GASPAR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-00851/2012,https://issuu.com/costanorte/docs/jornal_costa_norte_1196,9434008000130.0,SP,71153,1.0,P,1.0,,,ERNANE,39,DR. JUAN,24,FELIPE AUGUSTO,21,FERNANDO PUGA,2,JOAO AMORIM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-00851/2012,https://issuu.com/costanorte/docs/jornal_costa_norte_1196,9434008000130.0,SP,71153,1.0,P,0.0,,,ERNANE,30,DR. JUAN,20,FELIPE AUGUSTO,15,FERNANDO PUGA,2,JOAO AMORIM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-00871/2012,https://www.camara.leg.br/boletimadm/suplementos/2012/SP010312.pdf,9434008000130.0,SP,61280,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-00877/2012,https://issuu.com/ojornaltabatinga/docs/edicao_913-21-09-12/16,9434008000130.0,SP,71552,1.0,P,0.0,,,VALTER CAMARGO,51.5,MARIANGELA,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-01216/2012,https://issuu.com/ojornaltabatinga/docs/edicao_914-28-09-12,9434008000130.0,SP,71552,1.0,P,0.0,,,VALTER CAMARGO,54.2,MARIANGELA,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-01536/2016,https://www.folhadevalinhos.com.br/artigos/valinhos/politica/clayton-abre-11-pontos-de-diferenca-para-o-segundo-lugar,9434008000130.0,SP,69833,1.0,P,1.0,,,CLAYTON MACHADO,32.38,ALEXANDRE TONETTI,21.23,DR. ORESTES PREVITALE,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-01536/2016,https://www.folhadevalinhos.com.br/artigos/valinhos/politica/clayton-abre-11-pontos-de-diferenca-para-o-segundo-lugar,9434008000130.0,SP,69833,1.0,P,0.0,,,CLAYTON MACHADO,27.38,ALEXANDRE TONETTI,18.63,DR. ORESTES PREVITALE,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-01583/2012,https://issuu.com/costanorte/docs/jornal_costa_norte_1199,9434008000130.0,SP,61280,1.0,P,1.0,,,ORLANDINI,45,CAIO MATHEUS,26,DR. LAIRTON,19,DRA. DEBORA,4,KALED,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,SP-01583/2012,https://issuu.com/costanorte/docs/jornal_costa_norte_1199/2,9434008000130.0,SP,61280,1.0,P,0.0,,,ORLANDINI,39,CAIO MATHEUS,17,D,16,DRA. DEBORA,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
