obs,tse_id,url,estado,cidade,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,PI-00189/2014,https://180graus.com/pesquisa-eleitoral/brvoxpiracuruca-traz-robert-rios-e-julio-cesar-liderando-veja-numeros,PI,PIAUÍ,1.0,DF,0.0,,,JULIO CESAR,11.56,REJANE DIAS,9.06,ATILA LIRA,9.06,HUGO NAPOLEAO,7.81,OSMAR JUNIOR,5.31,HERACLITO FORTES,3.12,ASSIS CARVALHO,1.56,FLAVIO NOGUEIRA,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00190/2014,https://180graus.com/pesquisa-eleitoral/brvoxsao-miguel-do-tapuio-hugo-napoleao-e-lizie-coelho-liderando,PI,PIAUÍ,1.0,DE,0.0,,,LIZIE COELHO,19.06,TADEU MAIA,17.5,GEORGIANO NETO,2.5,FLAVIO NOGUEIRA JR,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00190/2014,https://180graus.com/pesquisa-eleitoral/brvoxsao-miguel-do-tapuio-hugo-napoleao-e-lizie-coelho-liderando,PI,PIAUÍ,1.0,DF,0.0,,,HUGO NAPOLEAO,18.75,RODRIGO MARTINS,13.44,JULIO CESAR,4.38,PAES LANDIM,2.81,FLAVIO NOGUEIRA,2.5,ATILA LIRA,1.56,REJANE DIAS,1.25,MARLLOS SAMPAIO,1.25,TADEU MAIA,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00196/2012,https://issuu.com/jornal-o-dia/docs/cago-20,PI,FLORIANO,1.0,P,0.0,,,FLORIANO GILBERTO JUNIOR,48.0,ALMIR REIS,24.5,ENEAS MAIA,11.0,SILAS FREIRE,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00196/2012,https://issuu.com/jornal-o-dia/docs/cago-20,PI,FLORIANO,1.0,P,1.0,,,FLORIANO GILBERTO JUNIOR,57.5,ALMIR REIS,29.75,ENEAS BARROS,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00197/2014,https://www.gp1.com.br/colunistas/instituto-do-maranhao-divulga-pesquisa-realizada-com-eleitores-do-piaui-358347.html,PI,PIAUÍ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00198/2014,http://www.buritinet.com/2014/10/em-nova-pesquisa-no-pi-wellington-vence.html,PI,PIAUÍ,1.0,G,0.0,,,WELLINGTON DIAS,40.57,ZE FILHO,25.7,MAO SANTA,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00198/2014,http://www.buritinet.com/2014/10/em-nova-pesquisa-no-pi-wellington-vence.html,PI,PIAUÍ,1.0,G,1.0,,,WELLINGTON DIAS,49.56,ZE FILHO,30.63,MAO SANTA,7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00198/2014,https://guadalupeagora.blogspot.com/2014/10/data-az-mais-de-dois-tercos-ja-tem-seu.html,PI,PIAUÍ,1.0,DE,0.0,,,EDSON FERREIRA,2.55,WILSON BRANDAO,2.47,BELE MEDEIROS,2.39,HELIO ISAIAS,2.23,BETO REGO,2.23,JULIANA MORAES SOUZA,2.23,MARDEN MENEZES,2.15,GEORGIANO,2.15,GUSTAVO NEIVA,1.99,FABIO NOVO,1.91,ANTONIO FELIX,1.83,FLORA ISABEL,1.83,ROBERT RIOS,1.83,B. SA,1.75,ALUISIO MARTINS,1.59,DR. PESSOA,1.43,FERNANDO MONTEIRO,1.43,ZE SANTANA,1.43,DR. PABLO SANTOS,1.35,NERINHO,1.27,THEMISTOCLES FILHO,1.27,LIZIE COELHO,1.19,LIMA,1.19,HENRIQUE REBELO,1.19,MAURO TAPETY,1.19,SEVERO EULALIO,1.19,JOAO MADISON,1.03,RUBEM MARTINS,1.03,JOEL RODRIGUES,1.03,TERERE,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00198/2014,https://guadalupeagora.blogspot.com/2014/10/data-az-mais-de-dois-tercos-ja-tem-seu.html,PI,PIAUÍ,1.0,DF,0.0,,,REJANE DIAS,7.56,MARCELO CASTRO,7.56,ATILA LIRA,6.36,HUGO NAPOLEAO,4.61,JULIO CESAR,4.38,IRACEMA PORTELLA,4.3,SILAS FREIRE,4.14,MARLLOS SAMPAIO,3.58,MAINHA,3.5,CAPITAO FABIO ABREU,3.42,ASSIS CARVALHO,3.1,HERACLITO FORTES,3.94,PAES LANDIM,2.63,RODRIGO MARTINS,2.07,OSMAR JUNIOR,1.99,FLAVIO NOGUEIRA,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00198/2014,https://portalintegracao.com.br/elmano-abre-vantagem-de-53-pontos-sobre-wilson-na-disputa-pelo-senado/,PI,PIAUÍ,1.0,S,1.0,,,ELMANO FERRER,43.04,WILSON MARTINS,37.71,GUSTAVO HENRIQUE,1.59,GERALDO CARVALHO,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00198/2014,https://tioborges.blogspot.com/2014/10/data-az-elmano-abre-vantagem-de-53.html,PI,PIAUÍ,1.0,S,0.0,,,ELMANO FERRER,40.8,WILSON MARTINS,25.29,GUSTAVO HENRIQUE,3.45,GERALDO CARVALHO,3.45,ALDIR NUNES,1.15,PROFESSOR CLAUDIONOR,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00202/2014,https://180graus.com/pesquisa-eleitoral/pesquisa-brvoxnossa-senhora-dos-remedios-osmar-e-santana-lideram,PI,PIAUÍ,1.0,DE,0.0,,,ZE SANTANA,27.81,JULIO ARCOVERDE,6.25,ROBERT RIOS,4.38,THEMISTOCLES FILHO,2.5,ZE LUIS,2.5,LIMMA,2.19,FLAVIO NOGUEIRA JR.,2.19,FLORA IZABEL,1.88,NIZE REGO,1.56,FERNANDO MONTEIRO,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00202/2014,https://180graus.com/pesquisa-eleitoral/pesquisa-brvoxnossa-senhora-dos-remedios-osmar-e-santana-lideram,PI,PIAUÍ,1.0,DF,0.0,,,OSMAR JUNIOR,24.38,IRACEMA PORTELA,10.31,FLAVIO NOGUEIRA,4.69,REJANE DIAS,3.44,MARLLOS SAMPAIO,3.12,HUGO NAPOLEAO,2.81,RODRIGO MARTINS,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00204/2012,http://www.jornaldaparnaiba.com/2012_08_19_archive.html,PI,PARNAÍBA,1.0,P,0.0,,,MAO SANTA,40.0,FLORENTINO,20.0,JOAOZINHO DA UNIMAGEM,15.0,TERERE,4.25,VINICIUS,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
