tse_id,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MA-00019/2012,https://jornalpequeno.blog.br/johncutrim/luciano-leitoa-lidera-pesquisa-em-timon-com-63/,1,P,1.0,0.0,0.0,LUCIANO LEITOA,"61,79%",ALEXANDRE ALMEIDA,"13,20%",IRMÃO WILLIAM,"4,71%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00019/2012,https://jornalpequeno.blog.br/johncutrim/luciano-leitoa-lidera-pesquisa-em-timon-com-63/,1,P,0.0,0.0,0.0,ALEXANDRE ALMEIDA,"0,71%",CLAUDIA,"0,23%",EDIVAR RIBEIRO,"2,14%",LUCIANO LEITOA,"14,76%",MARCOS,"0,23%",SOCORRO WAQUIM,"0,23%",TALES WAQUIM,"0,47%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00270/2012,https://chapadinhasite.blogspot.com/2012/09/eleicoes-2012-pesquisas-apontam.html,1,P,,0.0,0.0,VANDERLY MONTELES,"42,3%",TINA MONTELES,"32,3%",RAIMUNDO DINIZ,"9,6%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00448/2012,https://www.traffickingmatters.com/wp-content/uploads/2020/02/addressing_human_trafficking_dec2015.pdf,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-00165/2016,https://www.diariodoaco.com.br/noticia/0001240-,1,P,1.0,0.0,0.0,MARCOS VINÍCIUS,0.28,ROSÂNGELA MENDES,0.21,CELINHO DO SINTTROCEL,"18,3%",ADIR MAGNO,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-01721/2016,https://www.diariodoaco.com.br/noticia/0001264-,1,P,1.0,0.0,0.0,SEBASTIÃO QUINTÃO,"44,1%",CECÍLIA FERRAMENTA,"10,7%",ROBERTO CARLOS,"6,2%",DANIEL CHRISTIANO,0.06,EDUARDO FIGUEREDO,0.02,ROBINSON AYRES,"0,8%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-01897/2016,https://www.diariodoaco.com.br/noticia/0001200-,1,P,1.0,0.0,0.0,SÉRGIO MENDES,"22,3%",GERALDO RIBEIRO,0.16,DR. GERALDO HILÁRIO,"14,8%",KEISSON DRUMOND,"9,7%",DOUGLAS WILLKYS,"3,8%",GENTILIN,"0,5%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-02063/2016,http://www.bomdiaonline.com/noticia/27678/lila-lidera-pesquisas-em-antocircnio-dias,1,P,1.0,0.0,0.0,LILA,"56,8%",CARLINHOS,"39,7%",AMARILDO PINTOR,"3,5%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-03700/2016,https://www.diariodoaco.com.br/noticia/0000784-,1,P,0.0,0.0,0.0,SEBASTIÃO QUINTÃO,"33,2%",CECÍLIA FERRAMENTA,"8,3%",DANIEL CRISTIANO,"5,5%",ROBERTO CARLOS,"2,6%",EDUARDO FIGUEREDO,"1,1%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-03700/2016,https://www.diariodoaco.com.br/noticia/0000784-,1,P,1.0,0.0,0.0,SEBASTIÃO QUINTÃO,"40,2%",CECÍLIA FERRAMENTA,0.13,DANIEL CRISTIANO,"8,3%",ROBERTO CARLOS,"4,4%",EDUARDO FIGUEREDO,"1,6%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-04635/2016,https://www.diariodoaco.com.br/noticia/0001090-,1,P,0.0,0.0,0.0,SEBASTIÃO QUINTÃO,"44,6%",CECÍLIA FERRAMENTA,"8,3%",DANIEL CRISTIANO,"6,2%",ROBERTO CARLOS,"3,7%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-04635/2016,https://www.diariodoaco.com.br/noticia/0001090-,1,P,1.0,0.0,0.0,SEBASTIÃO QUINTÃO,0.49,CECÍLIA FERRAMENTA,0.11,DANIEL CRISTIANO,0.09,ROBERTO CARLOS,0.06,EDUARDO FIGUEREDO,0.01,ROBINSON AYRES,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-04674/2016,https://www.diariodoaco.com.br/noticia/0001170-,1,P,,0.0,0.0,HAMILTON RÔMULO DE MENEZES CARVALHO,"50,7%",BRUNO DE ALMEIDA AMARAL,"29,6%",JOSÉ UVIO RIBEIRO JUNIOR,"12,2%",JOÃO PEREIRA DA SILVA,"6,4%",ILCA MARIA DE LIMA VIANA CARVALHO,"1,2%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-08144/2016,https://www.diariodoaco.com.br/noticia/0001218-,1,P,1.0,0.0,0.0,GERALDO DOS REIS NEVES,"37,9%",ZÉ VIEIRA,"22,9%",MARQUINHOS DO ODILON,"15,2%",PASTOR JOÃO BASÍLIO,"3,2%",CIDA ALMEIDA,"1,5%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-00379/2012,https://trt-23.jusbrasil.com.br/jurisprudencia/22107770/recurso-ordinario-trabalhista-ro-379201213123000-mt-0037920121312300-0-trt-23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-00396/2012,https://www.olhardireto.com.br/noticias/exibir.asp?id=282480,1,P,1.0,0.0,0.0,LUCIMAR CAMPOS,"29,6%",WALLACE GUIMARÃES,"27,7%",TIÃO DA ZAELI,"19,6%",MILTÃO,"0,91%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-00396/2012,https://www.olhardireto.com.br/noticias/exibir.asp?id=282480,1,P,0.0,0.0,0.0,LUCIMAR CAMPOS,"26,06%",WALLACE GUIMARÃES,"22,93%",TIÃO DA ZAELI,"18,28%",MILTÃO,"0,61%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-01797/2016,https://www.folhamax.com/politica/advogado-lidera-disputa-com-53-87-das-intencoes-de-voto-em-diamantino/100860,1,P,0.0,0.0,0.0,EDUARDO CAPISTRANO,"45,07%",VALDINEI TEODORO,"16,8%",MÁRCIO MENDES,"2,67%",WAGNER DA SUINOBRAS,"0,27%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-01797/2016,https://www.folhamax.com/politica/advogado-lidera-disputa-com-53-87-das-intencoes-de-voto-em-diamantino/100860,1,P,,0.0,0.0,EDUARDO CAPISTRANO,"53,87%",VALDINEI TEODORO,"19,37%",MÁRCIO MENDES,"4,27%",WAGNER DA SUINOBRAS,"1,07%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-02329/2016,https://matogrossomais.com.br/2016/10/26/pesquisa-mostra-oscilacao-de-emanuel-peemedebista-segue-na-lideranca-do-2o-turno/,1,P,1.0,0.0,0.0,EMANUEL PINHEIRO,"44,8%",WILSON SANTOS,"28,8%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-02329/2016,https://matogrossomais.com.br/2016/10/26/pesquisa-mostra-oscilacao-de-emanuel-peemedebista-segue-na-lideranca-do-2o-turno/,1,P,0.0,0.0,0.0,EMANUEL PINHEIRO,"40,32%",WILSON SANTOS,"26,44%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-04960/2016,https://www.folhamax.com/politica/vereadores-lideram-pesquisa-a-camara-de-cuiaba-168-candidatos-sao-citados/98960,1,V,0.0,0.0,0.0,JUCA DO GUARANÁ,"1,25%",ADEVAIR CABRAL,0.01,RENIVALDO NASCIMENTO,0.01,LILO PINHEIRO,"0,92%",TONINHO DE SOUZA,"0,92%",MARCUS FABRICIO,"0,83%",BAIXINHA,"0,75%",LUECI RAMOS,"0,75%",CARLOS FREDERICK,"0,67%",MÁRIO NADAF,"0,67%",RALF LEITE,"0,67%",CHICO 2000,"0,58%",ELIZEU,"0,58%",JUCA NETO,0.58,MISAEL GALVÃO,"0,58%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
