obs,outro id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,,PA-00249/2012,https://blogdoluizpereira.blogspot.com/2012/10/normal-0-21-false-false-false-pt-br-x_8.html,PA,XINGUARA,1.0,P,1.0,,,OSVALDINHO,46,DR. MOACIR,"25,4",AMARILDO,"12,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00251/2012,https://blogdoluizpereira.blogspot.com/2012/10/normal-0-21-false-false-false-pt-br-x_8.html,PA,SAPUCAIA,1.0,P,1.0,,,MARQUINHOS,"70,2",MANOEL JOSINO,"20,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00253/2012,https://blogdomatheuscardoso.blogspot.com/2012/10/,PA,REDENÇÃO,1.0,P,0.0,,,VANDERLEI COIMBRA,"58,25",WAGNER FONTES,"29,75",JORGE PAULO,"3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00267/2012,https://blogdoluizpereira.blogspot.com/2012/10/normal-0-21-false-false-false-pt-br-x_8.html,PA,BANNACH,1.0,P,,,,VALBER,"68,4",LUCINEIA FERNANDES,"26,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00301/2012,https://blogdoluizpereira.blogspot.com/2012/10/normal-0-21-false-false-false-pt-br-x_8017.html,PA,CONCEIÇÃO DO ARAGUAIA,1.0,P,1.0,,,VALTER PEIXOTO,"35,2",JAIR MARTINS,"24,2",ALBERTO,20,EDUARDO,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00303/2012,https://anajuliacarepa13.blogspot.com/2012/10/pesquisa-aponta-vitoria-de-padre-nelson.html,PA,BRAGANÇA,1.0,P,1.0,,,NELSON MAGALHAES,"49,3",DR. AMÉRICO,32,JOSE DIOGO,"18,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00303/2012,https://anajuliacarepa13.blogspot.com/2012/10/pesquisa-aponta-vitoria-de-padre-nelson.html,PA,BRAGANÇA,1.0,P,0.0,,,NELSON MAGALHAES,"47,5",DR. AMERICO,"30,5",JOSE DIOGO,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00330/2012,https://www.jusbrasil.com.br/diarios/35128176/doerj-justica-do-trabalho-09-03-2012-pg-5,PA,SÃO JOÃO DE PIRABAS,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00724/2016,https://blogdoluizpereira.blogspot.com/2016/09/12092016-pau-d-arcojovem-morre-em.html,PA,OURILÂNDIA DO NORTE,1.0,P,,,,ROMILDO VELOSO,"59,07",MAGUILA,"20,46",ANGELA SANTA ROSA,"4,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-00884/2016,http://www.carajastudodebom.com.br/noticia/jacunda/001481772/,PA,JACUNDÁ,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-01167/2016,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/590055/glasgow_eagle_building.pdf,PA,MOCAJUBA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-01276/2016,https://www.roservalramos.com.br/pesquisa-aponta-renan-lopes-na-lideranca-com-4628-em-agua-azul-do-norte/,PA,ÁGUA AZUL DO NORTE,1.0,P,,,,RENAN LOPES,"46,28",CATIA PATRICIA,"23,94",VANDINHO,"13,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-03085/2016,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/585657/UT_IAC_Hearing_in_Field_House.pdf,PA,IPIXUNA DO PARÁ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-03286/2016,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/581897/hatton_cross.pdf,PA,ANANINDEUA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-05029/2016,https://blogdobranco.com/na-disputa-pelo-palacio-do-morro-dos-2/,PA,PARAUAPEBAS,1.0,P,0.0,,,DARCI,"34,2",VALMIR DA MARIANO,"11,92",MARCELO CATALAO,"10,36",CHICO DAS CORTINAS,"4,15",JOAO DO VERDURAO,"3,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-05029/2016,https://soldocarajas.blogspot.com/2016/06/parauapebas-sai-segunda-pesquisa.html,PA,PARAUAPEBAS,1.0,P,1.0,,,DARCI,"45,34",VALMIR DA MARIANO,"18,65",CATALAO,"10,35",CHICO DAS CORTINAS,"4,15",JOAO DO VERDURAO,"3,37",DR. HIPOLITO REIS,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PA-06260/2016,http://www.roservalramos.com.br/osvaldinho-lidera-disputa-pela-prefeitura-de-xinguara-com-4434/,PA,XINGUARA,1.0,P,1.0,,,OSVALDINHO ASSUNÇÃO,"44,34",AMARILDO PAULINO,"22,65",ARI NASCIMENTO,"18,77",RIBAMAR PINHEIRO,"4,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
