tse_id,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9
SP-00112/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Nogueira-e-Darcy-Vera-dividem-a-preferencia-do-eleitorado-na-disputa-pela-prefeitura-de-Ribeirao-Preto.aspx,1,p,0.0,,,Duarte Nogueira,10,Dárcy Vera,15,,,,,,,,,,,,,,
SP-01824/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Empate-triplo-na-vespera-da-eleicao-traz-indefinicao-sobre-quem-disputara-o-segundo-turno-em-Sao-Paulo.aspx,1,p,,,,Celso Russomanno,22,José Serra,22,Fernando Haddad,22,Gabriel Chalita,11,Soninha,4,,,,,,,,
SP-01847/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Serra-e-Haddad-no-segundo-turno-em-Sao-Paulo.aspx,1,p,,,,José Serra,"27,3",Fernando Haddad,"26,39",Celso Russomanno,"20,93",Gabriel Chalita,"10,92",Soninha,"2,73",,,,,,,,
SP-01935/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Em-Sao-Paulo-Fernando-Haddad-sera-eleito-Prefeito.aspx,1,p,,,,Fernando Haddad,50,José Serra,35,,,,,,,,,,,,,,
SP-01939/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Fernando-Haddad-e-o-novo-Prefeito-de-Sao-Paulo.aspx,1,p,,,,Fernando Haddad,"50,16",José Serra,"37,84",,,,,,,,,,,,,,
SP-01991/2018,http://ibopeinteligencia.com.br/noticias-e-pesquisas/joao-doria-vai-ao-segundo-turno-sem-adversario-definido-major-olimpio-e-eleito-porem-segunda-vaga-e-indefinida/,1,g,,,,João Doria,26,Marcio França,18,Paulo Skaf,17,Luiz Marinho,10,Major Costa e Silva,3,Rogerio Chequer,3,,,,,,
SP-01991/2018,http://ibopeinteligencia.com.br/noticias-e-pesquisas/joao-doria-vai-ao-segundo-turno-sem-adversario-definido-major-olimpio-e-eleito-porem-segunda-vaga-e-indefinida/,1,s,,,,Major Olímpio,34,Mara Gabrilli,25,Eduardo Suplicy,22,Maurren Maggi,12,Tripoli,12,Jilmar Tatto,9,Diogo da Luz,7,Mario Covas Neto,8.0,Professora Silvia Ferraro,3.0
BR-00825/2018,http://ibopeinteligencia.com.br/noticias-e-pesquisas/joao-doria-vai-ao-segundo-turno-sem-adversario-definido-major-olimpio-e-eleito-porem-segunda-vaga-e-indefinida/,1,pr,,,,Lula,26,Jair Bolsonaro,21,Geraldo Alckmin,12,Marina Silva,6,Ciro Gomes,5,Alvaro Dias,2,João Amoedo,2,,,,
BR-00825/2018,http://ibopeinteligencia.com.br/noticias-e-pesquisas/joao-doria-vai-ao-segundo-turno-sem-adversario-definido-major-olimpio-e-eleito-porem-segunda-vaga-e-indefinida/,1,pr,,,,Fernando Haddad,16,Jair Bolsonaro,35,Geraldo Alckmin,12,Ciro Gomes,9,João Amoedo,4,Marina Silva,3,Cabo Daciolo,2,Henrique Meirelles,2.0,,
SP-01930/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Antonieta-sera-reeleita-Prefeita-de-Guaruja-amanha.aspx,1,p,,,,Antonieta,54,Farid Madi,37,,,,,,,,,,,,,,
SP-01937/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Campinas-elege-Jonas-Donizette.aspx,1,p,,,,Jonas Donizette,"42,24",Marcio Pochmann,"36,96",,,,,,,,,,,,,,
RN-00241/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Carlos-Eduardo-sera-eleito-prefeito-de-Natal-amanha.aspx,1,p,,,,Carlos Eduardo,51,Hermano Moraes,32,,,,,,,,,,,,,,
PR-00671/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Curitiba-tera-segundo-turno-entre-Ratinho-Junior-e-Luciano-Ducci.aspx,1,p,,,,Ratinho Jr,"31,96",Luciano Ducci,"27,26",Gustavo Fruet,"22,56",Rafael Greca,"10,34",,,,,,,,,,
PR-00717/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Edgar-Bueno-deve-ser-reeleito-em-Cascavel.aspx,1,p,,,,Edgar Bueno,50,Professor Lemos,39,,,,,,,,,,,,,,
RJ-00241/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Eduardo-Paes-e-reeleito.aspx,1,p,,,,Eduardo Paes,"62,79",Marcelo Freixo,"23,66",Otavio Leite,"1,82",Rodrigo Maia,"1,82",,,,,,,,,,
SP-01844/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Eleicao-de-Jonas-Donizette-hoje-esta-no-limite-da-margem-de-erro.aspx,1,p,,,,Jonas Donizette,"41,83",Marcio Pochmann,"23,14",Pedro Serafim,"18,69",Arlei Medeiros,"1,78",Silvia Ferraro,"1,78",,,,,,,,
SP-01848/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Eleicao-em-Ribeirao-Preto-devera-ser-decidida-apenas-no-segundo-turno.aspx,1,p,,,,Dárcy Vera,"44,59",Duarte Nogueira,"24,57",Gandini,"14,56",Chiarelli,"4,55",Emilson Roveri,"1,82",,,,,,,,
