tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13
ES-00032/2014,https://noticias.r7.com/eleicoes-2014/espirito-santo/hartung-lidera-mas-deve-fazer-2-turno-com-casagrande-no-es-segundo-ibope-03102014,ES,ESPÍRITO SANTO,1,g,,,,Paulo Hartung,42,Renato Casagrande,30,Roberto Carlos,5,Camila Valadão,3.0,Mauro Ribeiro,1.0,,,,,,,,,,,,,,,,
ES-00175/2012,https://oglobo.globo.com/brasil/ibope-luiz-paulo-psdb-lidera-disputa-em-vitoria-com-39-6304861,ES,VITÓRIA,1,p,,,,Luiz Paulo,39,Rezende,27,Iriny Lopes,21,Gustavo de Biase,2.0,Montalvani Lima,1.0,Edson Ribeiro,1.0,,,,,,,,,,,,,,
ES-06092/2018,https://jailtondapenha.blogspot.com/2018/09/pesquisa-ibopees-casagrande-tem-59-das.html,ES,ESPÍRITO SANTO,1,g,,,,Renato Casagrande,59,Rose de Freitas,11,Carlos Manato,6,Aridelmo Teixeira,1.0,André Moreira,1.0,Jackeline Rocha,1.0,,,,,,,,,,,,,,
ES-06092/2018,https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/ibope/ibope-es-magno-malta-e-ricardo-ferraco-lideram-disputa-ao-senado/,ES,ESPÍRITO SANTO,1,s,,,,Magno Malta,48,Ricardo Ferraço,40,Fabiano Contarato,16,Marcos do Val,9.0,Célia Tavares,5.0,Mauro Ribeiro,5.0,Subtenente Assis,4.0,Rogerio Bernardo,2.0,Helder Carnielli,2.0,Ulisses Pincelli,1.0,Liu Katrini,1.0,,,,
GO-00141/2012,"https://www.terra.com.br/noticias/brasil/politica/ibope-aponta-lideranca-de-candidato-do-pt-a-reeleicao-em-goiania,6c48c74d6666b310VgnCLD200000bbcceb0aRCRD.html",GO,GOIÂNIA,1,p,1.0,,,Paulo Garcia,34,Jovair Arantes,8,Elias Júnior,7,Isaura Lemos,6.0,Simeyson Silveira,3.0,Professor Pantaleão,2.0,José Netho,1.0,,,,,,,,,,,,
GO-00141/2012,"https://www.terra.com.br/noticias/brasil/politica/ibope-aponta-lideranca-de-candidato-do-pt-a-reeleicao-em-goiania,6c48c74d6666b310VgnCLD200000bbcceb0aRCRD.html",GO,GOIÂNIA,1,p,0.0,,,Paulo Garcia,28,Jovair Arantes,5,Isaura Lemos,4,Elias Júnior,3.0,José Netho,1.0,Professor Pantaleão,1.0,Simeyson Silveira,1.0,,,,,,,,,,,,
GO-00743/2012,http://g1.globo.com/goias/eleicoes/2012/noticia/2012/10/paulo-tem-54-dos-votos-validos-e-jovair-17-diz-ibope-em-goiania.html,GO,GOIÂNIA,1,p,1.0,,,Paulo Garcia,43,Jovair,13,Elias,9,Isaura,5.0,Simeyzon,5.0,Pantaleão,3.0,José Netho,1.0,,,,,,,,,,,,
GO-06922/2016,http://g1.globo.com/goias/eleicoes/2016/noticia/2016/10/boca-de-urna-ibope-goiania-iris-rezende-58-vanderlan-42.html,GO,GOIÂNIA,1,p,,,1.0,Iris Rezende,58,Vanderlan,42,,,,,,,,,,,,,,,,,,,,,,
MA-00455/2012,http://www.holdenarruda.com.br/2012/10/ibope-confirma-vitoria-de-madeira-em.html,MA,IMPERATRIZ,1,p,,,1.0,Madeira,59,Rosângela Curado,32,,,,,,,,,,,,,,,,,,,,,,
MG-00517/2012,https://francanetocafenews.blogspot.com/2012/09/eleicoes-municipais-pesquisa-eleitoral.html,MG,BOCAIÚVA,1,p,1.0,,,Ricardo Veloso,45,Robertão do PT,20,Salomão,20,,,,,,,,,,,,,,,,,,,,
MG-00517/2012,https://francanetocafenews.blogspot.com/2012/09/eleicoes-municipais-pesquisa-eleitoral.html,MG,BOCAIÚVA,1,p,0.0,,,Ricardo Veloso,41,Salomão,21,Robertão do PT,18,,,,,,,,,,,,,,,,,,,,
MG-01128/2012,http://g1.globo.com/mg/sul-de-minas/eleicoes/2012/noticia/2012/10/perugini-tem-44-eneas-chiarini-34-e-douglas-6-diz-ibope.html,MG,POUSO ALEGRE,1,p,1.0,,,Agnaldo Perugini,44,Enéas Chiarini,34,Douglas Vasconcelos,6,,,,,,,,,,,,,,,,,,,,
MG-01171/2012,https://www.hojeemdia.com.br/acervo/2.704/n%C3%BAmeros-de-pesquisas-divergem-sobre-poss%C3%ADvel-segundo-turno-em-bh-1.47026,MG,BELO HORIZONTE,1,p,1.0,,,Marcio Lacerda,46,Patrus Ananias,33,Maria da Consolação,3,,,,,,,,,,,,,,,,,,,,
MG-01181/2012,http://g1.globo.com/mg/sul-de-minas/eleicoes/2012/noticia/2012/10/antonio-silva-tem-37-dos-votos-validos-e-corujinha-31-diz-ibope.html,MG,VARGINHA,1,p,1.0,,,Antônio Silva,32,Eduardo Corujinha,26,Renato Paiva,22,Kiko,6.0,,,,,,,,,,,,,,,,,,
