obs,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,PI-00037/2014,https://portalcostanorte.com/wilson-martins-lidera-disputa-ao-senado-com-417/,PI,PIAUÍ,1,S,1.0,,,Wilson Martins,41.78,João Vicente Claudino,31.93,José Maia Filho (Mainha),6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00037/2014,https://portalcostanorte.com/wilson-martins-lidera-disputa-ao-senado-com-417/,PI,PIAUÍ,1,S,0.0,,,Wilson Martins,7.3,João Vicente Claudino,5.01,Wellington Dias,1.93,Mão Santa,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00040/2012,https://www.meionorte.com/blogs/efremribeiro/adriane-prado-lidera-a-disputa-pela-prefeitura-de-luis-correia-com-27-33-das-in-209594,PI,LUIS CORREIA,1,P,1.0,,,Adriane Prado,27.33,Kim do Caranguejo,24.0,Maninha,14.0,Zé Nelson,4.67,Daniel Cabrinha,4.0,Suzane Lima,2.33,Mirialdo,1.33,Marcos Kildare,1.33,Zequinha Machado,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texto confuso. Checar.,PI-00040/2012,https://www.meionorte.com/blogs/efremribeiro/adriane-prado-lidera-a-disputa-pela-prefeitura-de-luis-correia-com-27-33-das-in-209594,PI,LUIS CORREIA,1,P,0.0,,,Kim do Caranguejo,15.67,Adriane Prado,12.67,Toinzinho,3.67,Maninha,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texto confuso. Checar.,PI-00051/2014,https://portalcostanorte.com/wilson-martins-lidera-disputa-ao-senado-com-4987/,PI,PIAUÍ,1,S,1.0,,,Wilson Martins,49.87,Elmano Férrer,28.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00051/2014,https://portaldobikanca.blogspot.com/2014/06/wellington-dias-lidera-disputa-para.html,PI,PIAUÍ,1,G,1.0,,,Wellington Dias,46.17,Sílvio Mendes,17.94,Zé Filho,11.79,Mão Santa,10.99,Neto Sambaíba,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00051/2014,https://portaldobikanca.blogspot.com/2014/06/wellington-dias-lidera-disputa-para.html,PI,PIAUÍ,1,G,0.0,,,Wellington Dias,18.29,Sílvio Mendes,5.01,Zé Filho,4.22,Mão Santa,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00063/2014,https://www.meionorte.com/blogs/efremribeiro/amostragem-aponta-os-12-campeoes-de-voto-em-teresina-para-deputado-federais-300306,PI,PIAUÍ,1,DF,1.0,,,Silas Freire,18.25,Rejane Dias,14.75,Cap. Fábio Abreu,11.25,Hugo Napoleão,7.0,Átila Lira,5.25,Marllos Sampaio,4.75,Marcelo Castro,3.5,Iracema Portella,3.0,Heráclito Fortes,2.75,Júlio César Lima,2.5,Assis Carvalho,2.0,Flávio Nogueira,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00070/2014,https://cidadesnanet.com/news/politica/justica-determina-que-instituto-jales-libere-dados-de-pesquisa-denunciada-por-wellington-dias/,PI,PIAUÍ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00073/2014,https://180graus.com/eleicoes-2014/atila-lira-fica-em-primeiro-lugar-em-pesquisa-eleitoral,PI,PIAUÍ,1,DF,0.0,,,Átila Lira,1.93,Marllos Sampaio,1.58,Silas Freire,1.41,Marcelo Castro,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
