obs,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,RO-00221/2012,https://marcelinhoonline.blogspot.com/2012/10/,RO,PORTO VELHO,1,P,1.0,,,LINDOMAR GARÇON,32.0,DR. MAURO NAZIF,16.0,MARIANA CARVALHO,16.0,MARIO PORTUGUES DA COIMBRA,15.0,FATIMA CLEIDE,12.0,DR. JOSE AUGUSTO,3.0,ALUIZIO VIDAL,1.0,MARIO SERGIO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RO-03930/2018,https://edinho-soares.blogspot.com/2018/10/jair-bolsonaro-manteve-lideranca-em-15.html,RO,RONDÔNIA,1,PR,,,,JAIR BOLSONARO,52.0,FERNANDO HADDAD,18.0,CIRO GOMES,6.0,GERALDO ALCKMIN,6.0,MARINA SILVA,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RO-03930/2018,"https://www.terra.com.br/noticias/brasil/politica/ibopero-expedito-junior-tem-43-dos-votos-maurao-18-acir-gurgacz-15,cf7e0d448e728c3ce28d171d1356e1995oq3ikes.html",RO,RONDÔNIA,1,G,,,,EXPEDITO JUNIOR,38.0,MAURAO DE CARVALHO,17.0,ACIR GURGACZ,13.0,CORONEL MARCOS ROCHA,7.0,PIMENTA DE RONDONIA,5.0,VINICIUS MIGUEL,5.0,CORONEL CHARLON,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pesquisa incompleta.,RO-03930/2018,https://www.ocombatente.com/2018/10/07/primeiramao-ibope-surpreende-e-da-grande-vantagem-a-expedito-alem-de-mexer-muito-na-disputa-do-senado/,RO,RONDÔNIA,1,S,,,1.0,CONFUCIO MOURA,23.0,MARCOS ROGERIO,16.0,FATIMA,13.0,VALDIR RAUPP,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RS-01841/2018,https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/ibope/boca-de-urna-aponta-disputa-embolada-para-duas-vagas-ao-senado-pelo-rs/,RS,RIO GRANDE DO SUL,1,S,1.0,,1.0,LUIS CARLOS HEINZE,22.0,PAULO PAIM,19.0,BETO ALBUQUERQUE,14.0,CARMEN FLORES,14.0,JOSE FOGAÇA,14.0,ABGAIL PEREIRA,10.0,MARIO BERND,3.0,"DRA, SANDRA WEBER",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RS-01841/2018,https://amaralinforma.blogspot.com/2018/10/boca-de-urna-rs-simulacao-confirma.html,RS,RIO GRANDE DO SUL,1,G,,,1.0,EDUARDO LEITE,33.0,JOSE IVO SARTORI,32.0,MIGUEL ROSETTO,20.0,JAIRO JORGE,11.0,MATEUS BANDEIRA,4.0,ROBERTO ROBAINA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RS-01858/2016,http://g1.globo.com/rs/rio-grande-do-sul/eleicoes/2016/noticia/2016/10/boca-de-urna-ibope-porto-alegre-marchezan-56-sebastiao-melo-44.html,RS,PORTO ALEGRE,1,P,,,1.0,NELSON MARCHEZAN JUNIOR,56.0,SEBASTIAO MELO,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RS-09432/2018,https://www.todapolitica.com/eleicoes-2018/pesquisa-eleitoral-rio-grande-do-sul/,RS,RIO GRANDE DO SUL,1,G,,,1.0,EDUARDO LEITE,52.0,JOSE IVO SARTORI,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SC-00200/2012,https://karinamanarin.com.br/artigo/justica-suspende-pesquisa-ibope-em-ararangua,SC,ARARANGUÁ,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SE-00128/2012,https://sergipeagora.blogspot.com/2012/10/pesquisa-ibope-agora-joao-vence-no-1.html,SE,ARACAJU,1,P,,,,JOAO ALVES FILHO,49.0,VALADARES FILHO,31.0,VERA LUCIA,8.0,REYNALDO NUNES,2.0,ALMEIDA LIMA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SP-00228/2012,https://banduforrueiro.blogspot.com/2012/08/suzano-tem-3-candidatos-na-lideranca-da.html,SP,SUZANO,1,P,0.0,,,TOKUZUMI,8.0,LACERDA,6.0,ZE CARDOSO,5.0,STUANI,3.0,CARMINHA,2.0,JORGINHO,2.0,RAFA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
