obs,tse_id,url,estado,cidade,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,BR-06509/2018,http://www.politicanarede.com/2018/10/em-pesquisa-xpipespe-bolsonaro-chega-41.html,BR,BRASIL,1.0,PR,1.0,,,JAIR BOLSONARO,36,FERNANDO HADDAD,22.0,CIRO GOMES,11.0,GERALDO ALCKMIN,7.0,MARINA SILVA,4.0,JOAO AMOEDO,3.0,ALVARO DIAS,2.0,HENRIQUE MEIRELLES,1.0,CABO DACIOLO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06558/2018,https://cidadesnanet.com/news/politica/wellington-dias-com-4075-e-luciano-nunes-6-em-floriano-diz-data-az/,BR,BRASIL,1.0,G,1.0,,,WELLINGTON DIAS,40.75,LUCIANO NUNES,6.0,DR. PESSOA,2.5,ELMANO FERRER,2.0,VALTER ALENCAR,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06558/2018,https://www.portalaz.com.br/publicacao/1619/,BR,BRASIL,1.0,DE,0.0,,,DR. FRANCISCO COSTA,6,GUSTAVO NEIVA,6.75,BILU,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06558/2018,https://www.portalaz.com.br/publicacao/1619/,BR,BRASIL,1.0,DF,0.0,,,SILAS FREIRE,4,ASSIS CARVALHO,1.5,MAINHA,1.25,REJANE DIAS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06571/2018,https://teclemidia.com/2018/10/13/bolsonaro-tem-696-e-haddad-304-dos-votos-validos-em-minas/,BR,BRASIL,1.0,PR,,,,JAIR BOLSONARO,58.9,FERNANDO HADDAD,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06571/2018,https://www.tudoemdia.com/2018/10/12/zema-lidera-em-minas-com-736-dos-votos-validos-e-bolsonaro-com-696/,BR,BRASIL,1.0,G,,,,ZEMA,64.7,ANASTASIA,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06627/2018,https://carlsonpessoa.blogspot.com/2018/09/data-az-fernando-haddad-ja-lidera-no.html,BR,BRASIL,1.0,PR,1.0,,,FERNANDO HADDAD,41.12,JAIR BOLSONARO,18.48,CIRO GOMES,11.68,GERALDO ALCKMIN,3.44,MARINA SILVA,3.28,HENRIQUE MEIRELLES,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06627/2018,https://carlsonpessoa.blogspot.com/2018/09/data-az-fernando-haddad-ja-lidera-no.html,BR,BRASIL,1.0,PR,0.0,,,FERNANDO HADDAD,31.68,JAIR BOLSONARO,16.24,CIRO GOMES,9.2,LULA,7.76,GERALDO ALCKMIN,2.4,MARINA SILVA,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06627/2018,https://carlsonpessoa.blogspot.com/2018/09/data-az-wilson-e-ciro-se-isolam-nos.html,BR,BRASIL,1.0,S,1.0,,,WILSON MARTINS,26.4,CIRO NOGUEIRA,22.64,MARCELO CASTRO,15.52,ROBERT RIOS,14.88,FRANK AGUIAR,10.64,ELIZEU AGUIAR,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-06627/2018,https://carlsonpessoa.blogspot.com/2018/09/data-az-wilson-e-ciro-se-isolam-nos.html,BR,BRASIL,1.0,S,0.0,,,WILSON MARTINS,13.2,CIRO NOGUEIRA,12.32,MARCELO CASTRO,7.12,ROBERT RIOS,5.44,FRANK AGUIAR,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
