tse_id,url,estado,cidade,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
BA-00009/2014,https://blogdojoelfernando.blogspot.com/2014/08/ipespe-aponta-souto-com-47-e-rui-14.html,BA,BAHIA,1.0,G,1.0,,,PAULO SOUTO,47.0,RUI COSTA,14.0,LIDICE DA MATA,14.0,DA LUZ,2.0,MARCOS MENDES,1.0,RENATA MALLET,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00250/2018,"https://www.bnews.com.br/noticias/politica/eleicoes-2018/216893,coronel-empata-com-irmao-lazaro-e-embola-briga-por-segunda-vaga-no-senado-wagner-lidera.html",BA,BAHIA,1.0,S,,,,JAQUES WAGNER,45.0,IRMAO LAZARO,18.0,ANGELO CORONEL,18.0,JUTAHY MAGALHAES JUNIOR,11.0,JORGE VIANA,4.0,COMANDANTE RANGEL,2.0,FABIO NOGUEIRA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00250/2018,https://www.carlosbritto.com/rui-costa-lidera-corrida-ao-governo-da-bahia-com-56-ze-ronaldo-tem-16/,BA,BAHIA,1.0,G,,,,RUI COSTA,56.0,JOSE RONALDO,16.0,JOAO HENRIQUE,1.0,CELIA SACRAMENTO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01122/2018,http://acaopopular.net/jornal/coronel-ultrapassa-lazaro-e-assume-vice-para-senado-wagner-lidera/,BA,BAHIA,1.0,S,,,,JAQUES WAGNER,42.0,ANGELO CORONEL,26.0,IRMAO LAZARO,23.0,JUTAHY MAGALHAES JUNIOR,18.0,COMANDANTE RANGEL,6.0,JORGE VIANNA,3.0,FABIO NOGUEIRA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01122/2018,https://www.alagoinhashoje.com/big-data-rui-costa-marca-57-e-jose-ronaldo-16-na-corrida-ao-palacio-de-ondina/,BA,BAHIA,1.0,G,,,,RUI COSTA,57.0,JOSE RONALDO,16.0,MARCOS MENDES,3.0,JOAO SANTANA,1.0,JOAO HENRIQUE,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01860/2016,http://horadobico.com/tags/politica-em-camacari/,BA,CAMAÇARI,1.0,P,1.0,,,ANTONIO ELINALDO,48.9,LUIZ CAETANO,28.0,JAILCE ANDRADE,2.0,FRANCISCO IRMAO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01860/2016,http://horadobico.com/tags/politica-em-camacari/,BA,CAMAÇARI,1.0,P,0.0,,,ANTONIO ELINALDO,26.2,LUIZ CAETANO,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-04713/2016,https://www.carlosbritto.com/pesquisa-aponta-paulo-bomfim-com-11-pontos-a-frente-de-joseph-bandeira/,BA,JUAZEIRO,1.0,P,,,,PAULO BOMFIM,39.0,JOSEPH BANDEIRA,28.0,CHARLES LEAO,21.0,DR. MARCIO FEITOSA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05201/2018,http://acaopopular.net/jornal/rui-lidera-com-51-o-resto-e-pirao-perdido/,BA,BAHIA,1.0,G,1.0,,,RUI COSTA,51.0,ZE RONALDO,18.0,JOAO HENRIQUE,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05201/2018,http://www.itapetingaagora.net/2018/08/pesquisa-aponta-vitoria-de-rui-costa-no.html,BA,BAHIA,1.0,G,0.0,,,RUI COSTA,34.0,ZE RONALDO,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05201/2018,https://jornalanossavozregional.blogspot.com/2018/08/wagner-lidera-disputa-pelo-senado.html,BA,BAHIA,1.0,S,,,,JAQUES WAGNER,36.0,IRMAO LAZARO,15.0,JUTAHY MAGALHAES,10.0,ANGELO CORONEL,10.0,COMANDANTE RANGEL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05744/2016,https://jornalgazetadooeste.com.br/noticias/sao-desiderio-pesquisa-aponta-vitoria-de-ze-carlos-para-prefeito/,BA,SÃO DESIDÉRIO,1.0,P,1.0,,,ZE CARLOS,58.0,GRACA GOBBI,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-06918/2016,https://noticias.r7.com/eleicoes-2016/pesquisa-aponta-moema-gramacho-pt-na-lideranca-dasintencoes-de-voto-em-lauro-de-freitas-05092016,BA,LAURO DE FREITAS,1.0,P,1.0,,,MOEMA GRAMACHO,50.7,MATEUS REIS,15.3,CHICO FRANCO,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
