feito_por,tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
FABRICIO,GO-02994/2016,http://www.jornaldiariodonorte.com.br/noticias/cristiano-lidera-de-ponta-a-ponta-e-tem-48-19-30091556,14538940000143,GO,94455,1,P,0.0,,,Cristiano Teixeira,0.471,Agostinho,0.3514,Branco,0.1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,GO-06824/2016,https://alovalparaiso.com/marcelo-melo-lidera-corrida-pela-prefeitura-de-luziania/,14538940000143,GO,94455,1,P,1.0,,,Marcelo Melo,0.4033,Cristovão Tormin,0.2495,Augustinho,0.0478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,GO-09146/2016,https://diariodegoias.com.br/quem-lidera-para-prefeito-em-aparecida-de-goiania/,14538940000143,GO,94455,1,P,1.0,,,Gustavo Mendanca,0.378,Marlucio,0.231,Alcides,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,GO-09146/2016,https://diariodegoias.com.br/quem-lidera-para-prefeito-em-aparecida-de-goiania/,14538940000143,GO,94455,1,P,0.0,,,Gustavo Mendanca,0.307,Marlucio,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,GO-09146/2016,https://diariodegoias.com.br/vantagem-de-gustavo-para-marlucio-e-de-14-7-indica-pesquisa-fortiori/,14538940000143,GO,94455,1,P,1.0,,,Gustavo Mendanca,0.378,Marlucio,0.231,Alcides,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,GO-09146/2016,https://diariodegoias.com.br/vantagem-de-gustavo-para-marlucio-e-de-14-7-indica-pesquisa-fortiori/,14538940000143,GO,94455,1,P,0.0,,,Gustavo Mendanca,0.307,Marlucio,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MA-00484/2016,https://luispablo.com.br/page/492/,14538940000143,MA,8214,0,P,1.0,1.0,,Neidinha,0.4949,Marfran Bringel,0.4512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MA-00484/2016,https://luispablo.com.br/politica/2016/10/pesquisa-e-cancelada-em-loreto-neidinha-segue-liderando-a-corrida-eleitoral/,14538940000143,MA,8214,0,P,1.0,1.0,,Neidinha,0.4949,Marfran Bringel,0.4512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MA-01741/2016,https://dalvanamendes.com/noticias/miltinho-aragao-lidera-pesquisa-em-sao-mateus-diz-escutec-2/,14538940000143,MA,7560,1,P,1.0,,,Miltinho,0.357,Rovélio,0.32,Iriomar,0.027,Rogerio Garcia,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MA-04958/2016,http://www.netoferreira.com.br/poder/2016/09/abigail-cunha-lidera-com-5279-em-jenipapo-dos-vieiras/,14538940000143,MA,7765,1,P,1.0,,,Abigail,0.5279,Moises Ventura,0.4036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,MA-04958/2016,https://luiscardoso.com.br/politica/2016/09/abigail-cunha-lidera-com-4133-dos-votos-e-sera-a-proxima-prefeita-de-jenipapo-dos-vieiras/,14538940000143,MA,7765,1,P,1.0,,,Abigail,0.5279,Moises Ventura,0.4036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
