tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MA-00038/2014,http://www.irmaoinaldo.com.br/2014_09_03_archive.html,63581458000100,BR,BR,1.0,G,1.0,,,FLAVIO DINO,55,LOBAO FILHO,25,ZE LUIS LAGO,2,PROF. JOSIVALDO,1,SAULO ARCAGELLI,1,ANTONIO PEDROSA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00038/2014,https://www.brasil247.com/regionais/nordeste/flavio-dino-lidera-com-55-dos-votos-no-ma,63581458000100,MA,MA,1.0,S,,,,ROBERTO ROCHA,29,GASTAO VIEIRA,27,HAROLDO SABOIA,7,MARCOS SILVA,6,GERSAO,2,EVAN DE ANDRADE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00041/2014,https://clodoaldocorrea.com.br/2014/09/nova-pesquisa-exata-flavio-lidera-com-57-e-flavio-dino-possui-27/,63581458000100,BR,BR,1.0,G,0.0,,,FLAVIO DINO,41,LOBAO FILHO,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00041/2014,https://clodoaldocorrea.com.br/2014/09/nova-pesquisa-exata-flavio-lidera-com-57-e-flavio-dino-possui-27/,63581458000100,BR,BR,1.0,G,1.0,,,FLAVIO DINO,56,LOBAO FILHO,27,ZE LUIS LAGO,2,PROF. JOSIVALDO,1,SAULO ARCAGELLI,1,ANTONIO PEDROSA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00041/2014,https://clodoaldocorrea.com.br/2014/09/nova-pesquisa-exata-flavio-lidera-com-57-e-flavio-dino-possui-27/,63581458000100,BR,BR,1.0,S,1.0,,,ROBERTO ROCHA,32,GASTAO VIEIRA,28,HAROLDO SABOIA,11,MARCOS SILVA,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00045/2014,https://lagoverde10.blogspot.com/2014/09/flavio-dino-56-e-lobao-filho-28.html,63581458000100,BR,BR,1.0,G,1.0,,,FLAVIO DINO,56,LOBAO FILHO,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00045/2014,http://www.blogdosaba.com.br/2014/09/flavio-dino-tem-o-dobro-de-intencoes-de.html,63581458000100,MA,MA,1.0,G,0.0,,,FLAVIO DINO,42,LOBAO FILHO,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00045/2014,https://portalguara.com/resultado-da-6-pesquisa-exata-fiema-tvguara-para-senador/,63581458000100,BR,BR,1.0,S,,,,GASTAO VIEIRA,33,ROBERTO ROCHA,29,MARCOS SILVA,5,HAROLDO SABOIA,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00049/2014,https://portalguara.com/resultado-da-7-pesquisa-exata-fiema-tvguara-para-presidente/,63581458000100,MA,MA,1.0,PR,1.0,,,DILMA ROUSSEFF,58,MARINA SILVA,27,AECIO NEVES,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00049/2014,https://clodoaldocorrea.com.br/tag/fiema/,63581458000100,BR,BR,1.0,G,0.0,,,FLAVIO DINO,44,LOBAO FILHO,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
