url,tse_id,cidade,estado,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
https://noticias.r7.com/eleicoes-2014/minas-gerais/governo-de-mg-pimentel-tem-19-pontos-de-vantagem-sobre-pimenta-aponta-vox-brasil-09092014,BR-00569/2014,MINAS GERAIS,MG,1,G,1.0,,,PIMENTEL,38.0,PIMENTA DA VEIGA,19.0,TARCISIO,3.0,,,,,,,,,,,,,,,,,,,,,,,,
https://noticias.r7.com/eleicoes-2014/minas-gerais/governo-de-mg-pimentel-tem-19-pontos-de-vantagem-sobre-pimenta-aponta-vox-brasil-09092014,BR-00569/2014,MINAS GERAIS,MG,1,G,0.0,,,PIMENTEL,18.0,PIMENTA DA VEIGA,9.0,TARCISIO,1.0,,,,,,,,,,,,,,,,,,,,,,,,
https://noticias.r7.com/eleicoes-2014/minas-gerais/governo-de-mg-pimentel-tem-19-pontos-de-vantagem-sobre-pimenta-aponta-vox-brasil-09092014,BR-00569/2014,MINAS GERAIS,MG,1,S,,,,ANTONIO ANASTASIA,41.0,JOSUE ALENCAR,14.0,EDILSON NASCIMENTO,2.0,MARGARIDA VIEIRA,1.0,TARCICIO,1.0,GERALDO BATATA,1.0,PABLO LIIMA,0.0,GRAÇA,0.0,,,,,,,,,,,,,,
https://portalcostanorte.com/wellington-dias-vence-no-1o-turno-com-52-aponta-vox-populi/,BR-00586/2014,PIAUÍ,PI,1,PR,1.0,,,DILMA ROUSSEFF,63.0,MARINA SILVA,21.0,AECIO NEVES,8.0,PASTOR EVERALDO,1.0,,,,,,,,,,,,,,,,,,,,,,
https://portalcostanorte.com/wellington-dias-vence-no-1o-turno-com-52-aponta-vox-populi/,BR-00586/2014,PIAUÍ,PI,1,PR,0.0,,,DILMA ROUSSEFF,59.0,MARINA SILVA,19.0,AECIO NEVES,8.0,,,,,,,,,,,,,,,,,,,,,,,,
https://portalcostanorte.com/wellington-dias-vence-no-1o-turno-com-52-aponta-vox-populi/,BR-00586/2014,PIAUÍ,PI,1,G,0.0,,,WLLINGTON DIAS,37.0,ZE FILHO,17.0,MAO SANTA,3.0,DANIEL SOLON,1.0,,,,,,,,,,,,,,,,,,,,,,
https://portalcostanorte.com/wellington-dias-vence-no-1o-turno-com-52-aponta-vox-populi/,BR-00586/2014,PIAUÍ,PI,1,S,0.0,,,WILSON MARTINS,24.0,ELMANO FERRER,23.0,PROFESSOR CLAUDIONOR,1.0,GUSTAVO HENRIQUE,1.0,,,,,,,,,,,,,,,,,,,,,,
https://portalcostanorte.com/wellington-dias-vence-no-1o-turno-com-52-aponta-vox-populi/,BR-00586/2014,PIAUÍ,PI,1,G,1.0,,,WLLINGTON DIAS,52.0,ZE FILHO,24.0,MAO SANTA,6.0,DANIEL SOLON,1.0,,,,,,,,,,,,,,,,,,,,,,
https://portalcostanorte.com/wellington-dias-vence-no-1o-turno-com-52-aponta-vox-populi/,BR-00586/2014,PIAUÍ,PI,1,S,1.0,,,WILSON MARTINS,37.0,ELMANO FERRER,32.0,PROFESSOR CLAUDIONOR,1.0,GUSTAVO HENRIQUE,1.0,GERALDO CARVALHO,1.0,,,,,,,,,,,,,,,,,,,,
https://www.huffpostbrasil.com/2014/09/10/dilma-lidera-disputa-presidencial-no-1-turno-e-empata-com-marin_n_5797430.html,BR-00588/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,36.0,MARINA SILVA,28.0,AECIO NEVES,15.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.huffpostbrasil.com/2014/09/15/vox-populi-dilma-lidera-no-primeiro-turno-e-esta-empatada-com-m_n_5826196.html,BR-00632/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,36.0,MARINA SILVA,27.0,AECIO NEVES,15.0,PASTOR EVERALDO,1.0,LUCIANA GENRO,1.0,,,,,,,,,,,,,,,,,,,,
https://inga-cidadao.com/politica/bolsonaro-tem-53-dos-votos-validos-e-haddad-47-diz-vox-populi,BR-00709/2018,BRASIL,BR,1,PR,0.0,,,JAIR BOLSONARO,44.0,FERNANDO HADDAD,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://inga-cidadao.com/politica/bolsonaro-tem-53-dos-votos-validos-e-haddad-47-diz-vox-populi,BR-00709/2018,BRASIL,BR,1,PR,1.0,,,JAIR BOLSONARO,53.0,FERNANDO HADDAD,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cidadeverde.com/noticias/174144/vox-populi-dilma-tem-40-das-intencoes-de-voto-marina-22-e-aecio-17,BR-00733/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,40.0,MARINA SILVA,22.0,AECIO NEVES,17.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.huffpostbrasil.com/2014/09/25/nova-pesquisa-vox-populi-mostra-dilma-rousseff-com-38-marina-s_n_5885030.html,BR-00757/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,38.0,MARINA SILVA,25.0,AECIO NEVES,17.0,PASTOR EVERALDO,1.0,,,,,,,,,,,,,,,,,,,,,,
https://www.folhamax.com/politica/vox-populi-folhamax-aponta-bolsonaro-com-34-em-mt-haddad-tem-24/180801,BR-00793/2018,MATO GROSSO,MT,1,PR,0.0,,,JAIR BOLSONARO,33.0,FERNANDO HADDAD,23.0,GERALDO ALCKMIN,4.0,CIRO GOMES,4.0,MARINA SILVA,3.0,HENRIQUE MEIRELLES,1.0,JOAO AMOEDO,1.0,ALVARO DIAS,1.0,,,,,,,,,,,,,,
https://www.folhamax.com/politica/vox-populi-folhamax-aponta-bolsonaro-com-34-em-mt-haddad-tem-24/180801,BR-00793/2018,MATO GROSSO,MT,1,PR,1.0,,,JAIR BOLSONARO,34.0,FERNANDO HADDAD,24.0,GERALDO ALCKMIN,6.0,CIRO GOMES,6.0,MARINA SILVA,4.0,HENRIQUE MEIRELLES,2.0,JOAO AMOEDO,1.0,ALVARO DIAS,1.0,,,,,,,,,,,,,,
https://www.huffpostbrasil.com/2014/09/29/pesquisa-vox-populi-diz-que-dilma-e-marina-irao-ao-segundo-turno_n_5904112.html,BR-00888/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,40.0,MARINA SILVA,24.0,AECIO NEVES,18.0,PASTOR EVERALDO,1.0,LUCIANA GENRO,1.0,,,,,,,,,,,,,,,,,,,,
https://noticias.r7.com/eleicoes-2014/minas-gerais/pimentel-chega-a-41-e-pode-vencer-no-primeiro-turno-segundo-vox-brasil-30092014,BR-00894/2014,MINAS GERAIS,MG,1,G,1.0,,,PIMENTEL,41.0,PIMENTA DA VEIGA,18.0,TARCISIO,3.0,EDUARDO FERREIRA,1.0,PPROFESSOR TULIO,1.0,FIDELIS ALCANTARA,1.0,CLEIDE DONARIA,1.0,,,,,,,,,,,,,,,,
https://noticias.r7.com/eleicoes-2014/minas-gerais/pimentel-chega-a-41-e-pode-vencer-no-primeiro-turno-segundo-vox-brasil-30092014,BR-00894/2014,MINAS GERAIS,MG,1,G,0.0,,,PIMENTEL,23.0,PIMENTA DA VEIGA,10.0,TARCISIO,1.0,,,,,,,,,,,,,,,,,,,,,,,,
https://noticias.r7.com/eleicoes-2014/minas-gerais/pimentel-chega-a-41-e-pode-vencer-no-primeiro-turno-segundo-vox-brasil-30092014,BR-00894/2014,MINAS GERAIS,MG,1,S,,,,ANTONIO ANASTASIA,39.0,JOSUE ALENCAR,20.0,TARCISIO,1.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.meionorte.com/blogs/ananiasribeiro/vox-populi-elmano-tem-42-e-wilson-34-306674,BR-00895/2014,PIAUÍ,PI,1,S,1.0,,,ELMANO FERRER,42.0,WILSON MARTINS,34.0,GERALDO CARVALHO,1.0,GUSTAVO HENRIQUE,1.0,PROFESSOR CLAUDIONOR,1.0,,,,,,,,,,,,,,,,,,,,
https://www.meionorte.com/blogs/ananiasribeiro/wellington-tem-52-e-ze-filho-27-diz-vox-populi-306673,BR-00895/2014,PIAUÍ,PI,1,G,1.0,,,WELLINGTON DIAS,52.0,ZE FILHO,27.0,MAO SANTA,4.0,MAKLANDEL,1.0,,,,,,,,,,,,,,,,,,,,,,
https://noticias.r7.com/eleicoes-2014/vox-populi-mostra-dilma-na-lideranca-e-aecio-a-frente-de-marina-04102014,BR-01016/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,41.0,AECIO NEVES,23.0,MARINA SILVA,20.0,LUCIANA GENRO,2.0,EVERALDO PEREIRA,1.0,,,,,,,,,,,,,,,,,,,,
https://www.huffpostbrasil.com/2014/10/13/vox-populi-dilma-rousseff-e-aecio-neves-aparecem-tecnicamente-e_n_5980036.html,BR-01079/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,45.0,AECIO NEVES,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.bahianoticias.com.br/noticia/161728-petistas-antecipam-supostos-numeros-do-vox-populi-em-rede-social-dilma-47-e-aecio-43.html,BR-01117/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,47.0,AECIO NEVES,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.huffpostbrasil.com/2014/10/20/apesar-de-empate-tecnico-dilma-rousseff-abre-sobre-aecio-neves_n_6018234.html,BR-01136/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,46.0,AECIO NEVES,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.onacional.com.br/politica,8/2020/04/23/pesquisa-vox-populi-divulga-leva,54969",BR-01185/2014,BRASIL,BR,1,PR,,,,DILMA ROUSSEFF,54.0,AECIO NEVES,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://br.sputniknews.com/brasil/2018091312204259-haddad-ultrapassa-bolsonaro-associado-lula-eleicoes-2018/,BR-01669/2018,BRASIL,BR,1,PR,,,,FERNANDO HADDAD,22.0,JAIR BOLSONARO,18.0,CIRO GOMES,10.0,MARINA SILVA,5.0,GERALDO ALCKIMIN,4.0,,,,,,,,,,,,,,,,,,,,
http://tijolaco.net/blog/wp-content/uploads/2018/04/Novo-Relatorio-VOX-.pdf,BR-02039/2018,BRASIL,BR,1,PR,0.0,,,LULA,39.0,JAIR BOLSONARO,9.0,JOAQUIM BARBOSA,2.0,MARINA SILVA,2.0,GERALDO ALCKIMIN,1.0,CIRO GOMES,1.0,ALVARO DIAS,1.0,,,,,,,,,,,,,,,,
http://tijolaco.net/blog/wp-content/uploads/2018/04/Novo-Relatorio-VOX-.pdf,BR-02039/2018,BRASIL,BR,1,PR,1.0,,,LULA,47.0,JAIR BOLSONARO,11.0,JOAQUIM BARBOSA,9.0,MARINA SILVA,7.0,GERALDO ALCKIMIN,3.0,CIRO GOMES,2.0,ALVARO DIAS,2.0,HENRIQUE MEIRELLES,1.0,,,,,,,,,,,,,,
http://tijolaco.net/blog/wp-content/uploads/2018/07/VOX_POPULI_ELEICOES_PRESIDENCIAIS_DIVULGACAO_26_07_1.pdf,BR-02205/2018,BRASIL,BR,1,PR,0.0,,,LULA,37.0,JAIR BOLSONARO,10.0,CIRO GOMES,3.0,GERALDO ALCKMIN,2.0,MARINA SILVA,2.0,FERNANDO HENRIQUE,2.0,JOAQUIM BARBOSA,1.0,SERGIO MORO,1.0,AECIO NEVES,1.0,EDUARDO JORGE,1.0,ALVARO DIAS,1.0,,,,,,,,
