tse_id,instituto,estado,cidade,estimulada,vv,position,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
RJ-08324/2016,DATAFOLHA,RJ,RIO DE JANEIRO,0.0,,P,CRIVELLA,17,MARCELO FREIXO,7,PEDRO PAULO,6,FLAVIO BOLSONARO,4,OSORIO,4,JANDIRA FEGHALI,3,INDIO DA COSTA,2,ALESSANDRO MOLON,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-08324/2016,DATAFOLHA,RJ,RIO DE JANEIRO,1.0,,P,CRIVELLA,29,PEDRO PAULO,11,MARCELO FREIXO,10,JANDIRA FEGHALI,7,FLAVIO BOLSONARO,7,OSORIO,6,INDIO DA COSTA,5,ALESSANDRO MOLON,1,CYRO GARCIA,1,CARMEN MIGUELES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05632/2016,DATAFOLHA,SP,SÃO PAULO,0.0,,P,JOAO DORIA,23,CELSO RUSSOMANO,14,MARTA,9,FERNANDO HADDAD,9,LUIZA ERUNDINA,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05632/2016,DATAFOLHA,SP,SÃO PAULO,1.0,,P,JOAO DORIA,30,CELSO RUSSOMANO,22,MARTA,15,FERNANDO HADDAD,11,LUIZA ERUNDINA,5,MAJOR OLIMPIO,1,LEVY FIDELIX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-05110/2018,DATAFOLHA,BR,BRASIL,0.0,,PR,JAIR BOLSONARO,12,LULA,10,CIRO GOMES,2,MARINA SILVA,1,GERALDO ALCKMIN,1,ALVARO DIAS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-05110/2018,DATAFOLHA,BR,BRASIL,1.0,,PR,JAIR BOLSONARO,19,MARINA SILVA,15,CIRO GOMES,10,GERALDO ALCKMIN,7,ALVARO DIAS,4,MANUELA D'AVILA,2,RODRIGO MAIA,2,FERNANDO COLLOR DE MELLO,1,FERNANDO HADDAD,1,FLAVIO ROCHA,1,GUILHERME BOULOS,1,HENRIQUE MEIRELLES,1,JOSUE ALENCAR,1,LEVY FIDELIX,1.0,JOAO AMOEDO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-05110/2018,DATAFOLHA,BR,BRASIL,1.0,,PR,JAIR BOLSONARO,19,MARINA SILVA,14,CIRO GOMES,10,GERALDO ALCKMIN,7,ALVARO DIAS,4,MANUELA D'AVILA,2,RODRIGO MAIA,2,FERNANDO COLLOR DE MELLO,1,HENRIQUE MEIRELLES,1,FLAVIO ROCHA,1,GUILHERME BOULOS,1,JOSUE ALENCAR,1,JAQUES WAGNER,1,JOAO GOULART FILHO,1.0,LEVY FIDELIX,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-05351/2018,DATAFOLHA,BR,BRASIL,0.0,,PR,LULA,17,JAIR BOLSONARO,10,CIRO GOMES,2,GERALDO ALCKMIN,1,ALVARO DIAS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-05351/2018,DATAFOLHA,BR,BRASIL,1.0,,PR,LULA,34,JAIR BOLSONARO,15,MARINA SILVA,7,GERALDO ALCKMIN,6,CIRO GOMES,6,LUCIANO HUCK,5,ALVARO DIAS,3,JOAQUIM BARBOSA,3,MANUELA D'ÁVILA,1,HENRIQUE MEIRELLES,1,MICHEL TEMER,1,RODRIGO MAIA,1,FERNANDO COLLOR DE MELLO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-02376/2018,DATAFOLHA,BR,BRASIL,1.0,,PR,BOLSONARO,24,CIRO GOMES,13,MARINA SILVA,11,GERALDO ALCKMIN,9,FERNANDO HADDAD,9,ALVARO DIAS,3,JOAO AMOEDO,3,HENRIQUE MEIRELLES,3,GUILHERME BOULOS,1,VERA,1,CABO DACIOLO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
