outro_id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,ES-02705/2016,https://www.novanoticia.com.br/hilario-roepke-lidera-pesquisa-com-805-dos-votos-em-santa-maria-de-jetiba/,ES,SANTA MARIA DE JETIBÁ,1.0,P,1.0,,,Hilário Roepke,63.9,Hans Dettmann,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00040/2014,https://www.brasil247.com/geral/marconi-lidera-corrida-para-o-governo-de-goias,GO,GOIÁS,1.0,S,,,,RONALDO CAIADO,"34,3",MARIA SANT'ANNA,"26,5",VILMAR ROCHA,"13,1",AGUIMAR JESUINO,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00040/2014,https://www.brasil247.com/geral/marconi-lidera-corrida-para-o-governo-de-goias,GO,GOIÁS,1.0,G,0.0,,,MARCONI PERILLO,"17,5",IRIS REZENDE,"7,8",VANDERLAN CARDOSO,"1,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00040/2014,https://www.brasil247.com/geral/marconi-lidera-corrida-para-o-governo-de-goias,GO,GOIÁS,1.0,G,1.0,,,MARCONI PERILLO,"41,3",IRIS REZENDE,"33,2",VANDERLAN CARDOSO,"11,3",ANTONIO GOMIDE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00125/2014,https://www.brasil247.com/geral/verita-247-marconi-lidera-com-44-1-e-iris-tem-24-8,GO,GOIÁS,1.0,G,,,,MARCONI PERILLO,"44,1",IRIS REZENDE,"24,8",VANDERLAN CARDOSO,"8,7",ANTONIO GOMIDE,"5,3",ALEXANDRE MAGALHAES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00142/2014,https://www.blogdomamede.com.br/?p=13169,GO,GOIÁS,1.0,G,0.0,,,MARCONI PERILLO,"37,8",IRIS REZENDE,"19,1",VANDERLAN CARDOSO,"8,4",ANTONIO GOMIDE,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00142/2014,https://www.blogdomamede.com.br/?p=13169,GO,GOIÁS,1.0,G,1.0,,,MARCONI PERILLO,"45,3",IRIS REZENDE,"24,5",VANDERLAN CARDOSO,"9,7",ANTONIO GOMIDE,"4,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00174/2014,https://www.brasil247.com/geral/verita-marconi-vence-com-53-7-dos-votos-validos,GO,GOIÁS,1.0,G,1.0,,,Marconi,45.7,Iris,24.8,Vanderlan Cardoso,10.2,Antonio Gomide ,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-00018/2014,https://blogdobanu.blogspot.com/2014/05/pesquisa-aponta-fernando-pimentel-como.html,MG,MINAS GERAIS,1.0,G,1.0,,,Pimentel ,35.5,Pimenta da Veiga,17.8,Julio Delgado ,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00242/2014,MG-00056/2014,http://www.leonardobarros.com/2013/06/eleicao-2014-candidatos-governador-de.html,MG,MINAS GERAIS,1.0,Pr,1.0,,,Aecio,41.3,Dilma,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-00091/2014,http://gazetadotriangulo.com.br/tmp/noticias/pesquisa-eleitoral-araguari-para-candidatos-a-deputado-estadual-e-federal/,MG,MINAS GERAIS,1.0,DF,1.0,,,MARCOS ALVIM,"46,1",BONIFACIO ANDRADA,"10,6",ODELMO LEAO,"5,1",WELITON PRADO,"3,7",CARLOS DO MG,"2,4",CEZINHA,"2,2",LOURIVAL,2.0,MAURO IMOVEIS,"1,2",MARCOS MONTES,1.0,ZE VITOR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-00091/2014,http://gazetadotriangulo.com.br/tmp/noticias/pesquisa-eleitoral-araguari-para-candidatos-a-deputado-estadual-e-federal/,MG,MINAS GERAIS,1.0,DE,1.0,,,TIAOZINHO DO SINDICATO,"37,5",MARLOS FERNANDES,"14,9",LUIZ LOPES PORCAO,"13,3",DR. IDSON,"5,5",ELISMAR PRADO,"4,3",LUIZ HUMBERTO CARNEIRO,"4,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-00139/2012,http://www.folhapatense.com.br/FP%201004%20(210712).pdf,MG,PATOS DE MINAS,1.0,P,1.0,,,Pedro Lucas Rodrigues,43.6,Beia Savassi,28.2,Amarildo,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-00149/2012,https://www.observatoriodearaguari.com/2012/07/1-pesquisa-eleitoral-em-araguari_20.html,MG,ARAGUARI,1.0,P,1.0,,,Raul Belém ,41.1,Marcos Coelho,29.4,Serginho de Jesus,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-00228/2012,http://www.folhapatense.com.br/FP%201009%20(250812).pdf,MG,PATOS DE MINAS,1.0,P,1.0,,,Pedro Lucas Rodrigues,38.4,Beia Savassi,34.7,Amarildo,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-00303/2012,https://hebi.5ch.net/test/read.cgi/news4vip/1520055356/281,MG,BELO HORIZONTE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
