obs,outro id,tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,,DF-00023/2014,http://www.jornalaguaslindas.com.br/2014/07/pesquisa-gim-argello-lidera-no-segmento.html,15484760000199,DF,DISTRITO FEDERAL,1,S,1.0,,,GIM ARGELLO,"22,9",REGUFFE,"12,9",MAGELA,"12,4",SANDRA QUEZADO,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DF-00023/2014,http://www.nossogama.com.br/2014/07/?m=0,15484760000199,DF,DISTRITO FEDERAL,1,G,1.0,,,JOSE ROBERTO ARRUDA,"19,5",RODRIGO ROLLEMBERG,"15,5",TONINHO DO PSOL,"8,7",AGNELO QUEIROZ,"8,3",LUIZ PITIMAN,"4,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DF-00023/2014,http://www.nossogama.com.br/2014/07/?m=0,15484760000199,DF,DISTRITO FEDERAL,1,G,0.0,,,JOSE ROBERTO ARRUDA,6,AGNELO QUEIROZ,"3,6",JOAQUIM RORIZ,"2,3",RODRIGO ROLLEMBERG,"2,5",LUIZ PITIMAN,"1,2",TONINHO DO PSOL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DF-00023/2014,https://solnascentehoje.blogspot.com/2014/07/pesquisa-distrital.html,15484760000199,DF,DISTRITO FEDERAL,1,DE,1.0,,,LILIANE RORIZ,"7,9",PASTOR EGMAR,"6,4",BISPO RENATO,6,MISSIONARIA DENISIA MARIA,6,JULIO CESAR,"3,2",AGACIEL MAIA,3,CLAUDIO ABRANTES,"2,8",RODRIGO DELMASSO,"2,8",RISOMAR CARVALHO,"2,7",CHICO VIGILANTE,"1,7",LEILA DO VOLEI,"1,6",CHICO LEITE,"1,4",PAULO RORIZ,"1,3",MARCOS ARRUDA,"1,2",CELINA LEAO,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DF-00023/2014,https://solnascentehoje.blogspot.com/2014/07/pesquisa-distrital.html,15484760000199,DF,DISTRITO FEDERAL,1,DE,0.0,,,LILIANE RORIZ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DF-00028/2014,http://declaraciones.seniat.gob.ve/portal/page/portal/MANEJADOR_CONTENIDO_SENIAT/05MENU_HORIZONTAL/5.3ANUNCIOS_CARTELES/5.3.2CARTELES_NOTIFICACION/CARTELES/INCATCA.pdf,15484760000199,DF,DISTRITO FEDERAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DF-00036/2014,http://www.saopaulonasentrelinhas.com.br/2014/08/pesquisa-aponta-marina-silva-com-521-em.html,20252668000133,DF,DISTRITO FEDERAL,1,DE,,,,LILIANE RORIZ,"1,9",AGACIEL MAIA,"1,6",DOUTOR MICHEL,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DF-00036/2014,http://www.saopaulonasentrelinhas.com.br/2014/08/pesquisa-aponta-marina-silva-com-521-em.html,20252668000133,DF,DISTRITO FEDERAL,1,DF,,,,JAQUELINE RORIZ,"6,2",ERIKA KOKAY,"3,4",ALIRIO NETO,"2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DF-00036/2014,http://www.saopaulonasentrelinhas.com.br/2014/08/pesquisa-aponta-marina-silva-com-521-em.html,20252668000133,DF,DISTRITO FEDERAL,1,S,,,,ANTONIO REGUFFE,"26,8",GIM ARGELLO,"16,1",GERALDO MAGELA,"15,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DF-00036/2014,http://www.saopaulonasentrelinhas.com.br/2014/08/pesquisa-aponta-marina-silva-com-521-em.html,20252668000133,DF,DISTRITO FEDERAL,1,G,,,,JOSE ROBERTO ARRUA,"39,2",RODRIGO ROLLEMBERG,"17,2",AGNELO,"15,5",LUIZ PITIMAN,"5,9",TONINHO DO PSOL,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
