candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,wrong
CARMELINA,MARIA CARMELINA CASTRO MOREIRA,CARMELINA O,
DJAMIN FERREIRA,DJAMIM FERREIRA SOUZA,DJAMIM FERREIRA,
MAJOR GLAUCO,GLAUCO JOSE BAZZO,MAJOR GLAUGO,
ELEISANGELA,ELISANGELA ALVES CARVALHO SOUSA,ELISANGELA,
GUTIERRES TORQUADO,GUTIERRES BORGES TORQUATO,GUTIERRES TORQUATO,
RAFA ZILMBALDI,RAFAEL FERNANDO ZIMBALDI,RAFA ZIMBALDI,
LUIZ NOVAES,LUIZ CARLOS ROCHA NOVAES,LUIZ NOVAIS,
CORONEL RINALDO FLORES,MAURO RONALDO FLORES CORREIA,CORONEL RONALDO FLORES,
LEONEL BEROTOLIN,JOAO LEONEL BERTOLIN,LEONEL BERTOLIN,
ZEQUINA LIMA,JOSE SOUZA LIMA,ZEQUINHA LIMA,
ANDERSON CAVALCANTE,ANDRESON ADRIANO OLIVEIRA CAVALCANTE,ANDRESON CAVALCANTE,
EVERALDO CAIRES,EVERARDO NEVES CAIRES,EVERARDO CAIRES,
MARIA HELENA1,MARIA HELENA NETTO,MARIA HELENA,
THIAGO PISOS,TIAGO GOMES ASSIS,TIAGO PISO,
DR ATILA,ATILA RUBIA DEUS,DRA ATILA,
ALEX MEIRELLES,ALISSON MEIRELES OLIVEIRA,ALEX MEIRELES,
NEM,ELENIR VIEIRA SILVA,NEN,
TIAGO CAMINHA,THIAGO OLEGARIO CAMINHA,THIAGO CAMINHA,
WELINTON MARCOS,WELITON MARCOS RODRIGUES OLIVEIRA,WELLINGTON MARCOS,
EMANUEL PINHERIO,EMANUEL PINHEIRO,EMANUEL PINHEIRO,
FLAVIO FRIACAL,FLAVIO ALBERTO VARGAS,FLAVIO FRICAL,
TINEN,ALAILDO ABREU SANTOS,TINEM,
EDMISON RODRIGUES,EDMILSON BRITO RODRIGUES,EDMILSON RODRIGUES,
PAULO BARRUBADA,PAULO ROBERTO FRANCISCO SILVA,PAULO BARRUDADA,
VALDEIR UNIIAO,VALDEIR JESUS SILVA,VALDEIR UNIAO,
GILDAZIO,GILDASIO MENDES BORGES,GILDASIO,
ALEEXANDRE SIQUEIRA,ALEXANDRE FRANCA SIQUEIRA,ALEXANDRE SIQUEIRA,
WASHINGTON REISW,WASHINGTON REIS OLIVEIRA,WASHINGTON REIS,
ANDREA ZITO,ANDREIA ALMEIDA ZITO SANTOS,ANDREIA ZITO,
ANTANA,SEBASTIAO FERREIRA SANTANA,SANTANA,
MARCOS FORES,MARCOS FROES PEREIRA,MARCOS FROES,
GENDALVA UMBAUA,MARIA GEDALVA SOBRAL ROSA,GEDALVA UMBAUBA,
CHICO SARDELI,FRANCISCO ANTONIO SARDELLI,CHICO SARDELLI,
TALITHA DENADAI,TALITHA NADAI LAHR,TALITHA NADAI,
CAPITO ATALIBA,ATALIBA URBANO FIRMINO BARBOSA,CAPITAO ATALIBA,
DANTE MONTOVANI,DANTE HENRIQUE MANTOVANI,DANTE MANTOVANI,
FABICIO VIANA,FABRICIO VIANA CAMELO CONCEICAO,FABRICIO VIANA,
ALEXANDRE BRASIL,ALEXANDER ALVES PEREIRA,ALEXANDER BRASIL,
RARISSOM AMORIM,RARISSON ARIEL AMORIM MORAES,RARISSON AMORIM,
NOEMY LYRA,NOEMI MARIA FONSECA LYRA,NOEMI LYRA,
PAULO ANJOGS,PAULO SERGIO ANJOS,PAULO ANJOS,
ELIAS DALCOL,ELIAS DAL COL,ELIAS DAL COL,
JEFINHO SONDAGEM,JEFSON FERREIRA ALMEIDA,JEFIN SONDAGEM,
RODRIGO ACHACAR,RODRIGO TOLEDO ACHCAR,RODRIGO ACHCAR,
SINDOLEY MORAES,SINDOLEY LUIZ SOUZA MORAIS,SINDOLEY MORAIS,
ENFERMEIRO MARRONE,MARDONE ROBERTO OLIVEIRA CASTRO,ENFERMEIRO MARDONE,
RAFAEL GODOY,RAFAEL MAIO GODOI,RAFAEL GODOI,
ALESSANDRO OSTA,ALESSANDRO STRAMBECK COSTA,ALESSANDRO COSTA,
DANY FLORESTY,DANY WILIAN FLORESTI,DANY FLORESTI,
MARIO BOHN,MARIO CAMILO BOHM,MARIO BOHM,
JUNIOR FEITOZA,RIBAMAR SOUSA FEITOSA JUNIOR,JUNIOR FEITOSA,
DR ERNESTINA,ERNESTINA BATISTA LUZ,DRA ERNESTINA,
JURACY SAUDE,JURACI DIAS JESUS,JURACI SAUDE,
LUCIANO FARMACI,LUCIANO OLIVEIRA E SILVA,LUCIANO FARMACIA,
