candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,wrong
COLBERT MARTINS FILHO,COLBERT MARTINS SILVA FILHO,COLBERT MARTINS,
COLBERT FILHO,COLBERT MARTINS SILVA FILHO,COLBERT MARTINS,
GEILSON,CARLOS GEILSON SANTOS SILVA,CARLOS GEILSON,
MARCELA,MARCELA PREST,MARCELA PREST,
DAYANE,DAYANE JAMILLE CARNEIRO SANTOS PIMENTEL,PROFESSORA DAYANE PIMENTEL,
ARIMATEIA,JOSE ARIMATEIA CORIOLANO PAIVA,JOSE ARIMATEIA,
DJALMA,DJALMA SANTOS GALVAO,DJALMA GALVAO,
EDGAR HENRIQUE,EDGAR HENRIQUE OLIVEIRA E OLIVEIRA,DR EDGAR HENRIQUE,
JE ASSUNCAO,JEAN PEREIRA ASSUNCAO,JE,
ANA,ANA CLEIA SANTOS LEAL,ANA CLEIA,
EURIDES NUNES,EURIDES NUNES BRANDAO,EURIDES,
AFONSO,AFONSO FERREIRA MENDONCA,AFONSO MENDONCA,
BERNADETE,BERNADETE SOUZA FERREIRA,BERNADETE SOUZA,
MARIA GRACAS,MARIA GRACAS CESAR MENDONCA,MARIA,
ALIPIO OLIVEIRA,ALIPIO ALVES OLIVEIRA JUNIOR,ALIPINHO,
BRANDAO,MARCELO ANTONIO SANTOS BRANDAO,MARCELO BRANDAO,
DERIVALDO,DERIVALDO PINTO CERQUEIRA,DERIVALDO PINTO,
ELMO,ELMO VAZ BASTOS MATOS,ELMO VAZ,
SOBRAL,LUIZ PIMENTEL SOBRAL,LUIZINHO SOBRAL,
FRANCISQUETO,LUCIANO FRANCISQUETO,LUCIANO FRANCISQUETO,
LUCIANO,LUCIANO FRANCISQUETO,LUCIANO FRANCISQUETO,
JOAO MASCARENHAS,JOAO ALMEIDA MASCARENHAS FILHO,JOAO FILHO,
LEONARDO MOSCOSO,LEONARDO MATTA PIRES MOSCOSO,LEONARDO,
ISAAC,ISAAC JOSE NETO NERY SANTOS,DR ISAAC NERY,
CHARLIANE,CHARLIANE SOUSA SILVA,CHARLIANE SOUSA,
ISAAC NERY,ISAAC JOSE NETO NERY SANTOS,DR ISAAC NERY,
ANTONIO MANGABEIRA,ANTONIO MANGABEIRA FRANCA,DR MANGABEIRA,
MARCONE,MARCONE AMARAL COSTA JUNIOR,MARCONE AMARAL,
HUMBERTO,HUMBERTO AUGUSTO FERNANDES MATTOS,DR HUMBERTO,
HIBERLON,HIBERLON GUIMARAES SANTOS,HIBERLON GUIMARAES,
CECILIA,CECILIA PETRINA CARVALHO,DRA CECILIA,
JOSE HUMBERTO,JOSE HUMBERTO PEREIRA CAMPOS,PROFESSOR JOSE HUMBERTO,
ANTONIO NASCIMENTO,ANTONIO FERREIRA NASCIMENTO,SEU ANTONIO,
SUZANA,SUZANA ALEXANDRE CARVALHO RAMOS,SUZANA RAMOS,
RAFFANI,RAFFANI STEFANI FONSECA SOUZA,RAFFANI SOUZA,
BRENO RAINAN,BRENO RAINAN BRAGA SILVA,BRENO,
TEOBALDO COSTA,TEOBALDO LUIS COSTA,TEOBALDO,
RICARDO RIBEIRO,JOSE RICARDO ASSUNCAO RIBEIRO,RICARDINHO,
JOSE RICARDO,JOSE RICARDO ASSUNCAO RIBEIRO,RICARDINHO,
CARLOS ROBERTO,CARLOS ROBERTO SOUTO BATISTA,CARLAO,
SILVANIA,SILVANIA SILVA MATOS,SILVANIA MATOS,
CLAUDIO,FRANCISCO CLAUDIO FIGUEIREDO,DR CLAUDIO,
SHEILA,SHEILA CRISTINA DUQUE SILVA,PRO SHEILA,
MANOEL,CLAUDIO MANOEL LUZ SILVA,MANOEL LUZ,
ACACIO TELES,ACACIO TELES SANTOS,ACACIO,
VALNEY,MICHEL VALNEY GOMES PAIXAO,MICHEL VALNEY,
GILBERTO BRITO,GILBERTO MARTINS BRITO,BETO,
JULIO,JULIO BERNARDO BRITO VIEIRA BITTENCOURT,DR JULIO,
RAIMUNDO,RAIMUNDO CAIRES ROCHA,RAIMUNDO CAIRES,
ULDURICO,ULDURICO ALENCAR PINTO,ULDURICO JUNIOR,
PEDRO ROCHA,PEDRO ROCHA SOBRINHO,PROFESSOR PEDRO ROCHA,
ANDRE ANDRADE,ANDRE LUIZ ANDRADE,DR ANDRE,
OLIVIA SANTANA,MARIA OLIVIA SANTANA,OLIVIA,
JOAO CARLOS BACELAR,JOAO CARLOS BACELAR BATISTA,BACELAR,
DENICE SANTIAGO,DENICE SANTIAGO SANTOS ROSARIO,MAJOR DENICE,
HILTON,HILTON BARROS COELHO,HILTON COELHO,
REIS,BRUNO SOARES REIS,BRUNO REIS,
DENICE,DENICE SANTIAGO SANTOS ROSARIO,MAJOR DENICE,
ISIDORIO,MANOEL ISIDORIO SANTANA JUNIOR,PASTOR SARGENTO ISIDORIO,
AGNELO,AGNELO SILVA SANTOS JUNIOR,AGNELO SANTOS,
ROGERIO COSTA,ROGERIO SANTOS COSTA,ROGERIO,
ERALDO,JOSE ERALDO SANTOS SANTANA,JOSE ERALDO,
NILZA,MARIA NILZA MATA SANTANA,NILZA MATA,
ANGELO,ANGELO MARIO SACRAMENTO SANTOS,ANGELO SANTANA,
EVALDO,EVALDO BARBOSA FIRES,EVALDO FIRES,
AUCI,AUCICLEI COSTA RODRIGUES,AUCI HARAS,
FRANKLIN,FRANKLIN LEITE SILVA,FRANKLIN LEITE,
ADRIANO,ADRIANO SILVA LIMA,ADRIANO LIMA,
LUCIO,LUCIO PASSOS MONTEIRO,LUCIO MONTEIRO,
ADONIAS,ADONIAS ROBERTO OLIVEIRA NOVAES,IRMAO ADONIAS,
DR ALBERT,ALBERTT HENDRIOS CORREA OLIVEIRA,DOUTOR ALBERTT,
FERNANDA,FERNANDA SANTOS SILVA,FERNANDA SILVA,
MOACYR LEITE,MOACYR BATISTA SOUZA LEITE JUNIOR,MOACYR,
HERZEM,HERZEM GUSMAO PEREIRA,HERZEM GUSMAO,
REINALDO BRAGA FILHO,REINALDO TEIXEIRA BRAGA FILHO,REINALDINHO,
EDUARDO,EDUARDO PESSOA SILVA,EDUARDO PESSOA,
DIOGO MENDONCA,DIOGO MATOS MENDONCA,DR DIOGO MENDONCA,
DOURENILSON,DOURENILSON FIRME PEREIRA SILVA,DOURENILSON FIRME,
REGINALDO SAMPAIO,REGINALDO SAMPAIO SILVA,REGINALDO,
MARCELO BELITARDO,MARCELO GUSMAO PONTES BELITARDO,DOUTOR MARCELO BELITARDO,
OBERDAN ROCHA,OBERDAN MOREIRA ROCHA,OBERDAN MOREIRA ROCHA,
WALDEMILSON,WALDEMILSON GUSTAVO BASSOTO,PADRE WALDEMILSON,
MARCELO,MARCELO NUNES SOUZA,MARCELO NUNES,
BRUNO MORATO,BRUNO CAMPOS MORATO,DELEGADO BRUNO MORATO,
EDSON REZENDE,EDSON REZENDE MORAIS,DR EDSON REZENDE,
PEDRO VALE,PEDRO FRANCISCO PEREIRA VALE,PEDRINHO VALE,
MARTIM,MARTIM FRANCISCO BORGES ANDRADA,MARTIM ANDRADA,
MARILIA GARCIA,MARILIA GARCIA DOMINGUES,MARILIA DOMINGUES,
WENDEL MESQUITA,WENDEL CRISTIANO SOARES MESQUITA,PROFESSOR WENDEL MESQUITA,
MARIA CARMO LARA,MARIA CARMO LARA PERPETUO,MARIA CARMO,
VINICIUS BRAGA,VINICIUS BRAGA SARAIVA REZENDE,DR VINICIUS,
EDMILSON,EDMILSON ANDRADE,EDMILSON TIAO ROQUE,
DELMO,EDELMO MARCONDES COSTA,DELMO LUIZ SIMAO,
CAMILA,CAMILA SILVA ALMEIDA,CAMILA ALMEIDA,
ALES TADEU,TALES TADEU TAVARES,TALES TADEU TAVARES,
REYTON,REYTON CLEY FREITAS LEAL,REYTON LEAL,
JOAO PAULO CASTRO,JOAO PAULO MENNA BARRETO CASTRO FERREIRA,JOAO PAULO CASTRO FERREIRA,
MARILIA CAMPOS,MARILIA APARECIDA CAMPOS,MARILIA,
MARIA LUCIA,MARIA LUCIA GUEDES VIEIRA,MARIA LUCIA GUEDES,
MARCOS VINICIUS,MARCOS VINICIUS SILVA BIZARRO,DR MARCOS VINICIUS,
GALILEU MACHADO,GALILEU TEIXEIRA MACHADO,GALILEU,
TOLENTINO,FABIANO GALLETTI TOLENTINO,FABIANO TOLENTINO,
MARIA HELENA,MARIA HELENA ARAUJO,PROFESSORA MARIA HELENA,
MARIA ELIZABETH,MARIA ELIZABETH VALIAS SODRE SANTOS,BEBETH,
DOUGLAS FERREIRA,DOUGLAS FERREIRA FREITAS,DOUGLAS,
RUI SILVA,RUI ANTONIO SILVA,DELEGADO FEDERAL RUI SILVA,
ENOS PONTES,ENOS VAGNER PONTES,PROFESSOR ENOS PONTES,
NARDYELLO,NARDYELLO ROCHA OLIVEIRA,NARDYELLO ROCHA,
NUNES,GUSTAVO MORAIS NUNES,GUSTAVO NUNES,
SARA,SARA LETICIA BATISTA OLIVEIRA,SARA BORATTI,
RICARDO,RICARDO GARCIA SILVA,RICARDO GARCIA,
ADELCIO,ADELCIO ROSA MORAIS,ADELCIO FARMACIA,
RENATA,RENATA VILACA PEREIRA,RENATA VILACA,
LEANDRA,LEANDRA GUEDES FERREIRA,LEANDRA GUEDES,
GILMAR,GILMAR FIRMO PRADO,DR GILMAR,
SHEILA OLIVEIRA,SHEILA APARECIDA PEDROSA MELLO OLIVEIRA,DELEGADA SHEILA,
WILSON REZENDE,WILSON REZENDE FRANCO,WILSON REZATO,
IONE BARBOSA,IONE MARIA MOREIRA DIAS BARBOSA,IONE,
MARGARIDA,MARIA MARGARIDA MARTINS SALOMAO,MARGARIDA SALOMAO,
MARCO FELICIO,MARCO ANTONIO FELICIO SILVA,GENERAL MARCO FELICIO,
GIANNE,DI GIANNE OLIVEIRA NUNES,DI GIANNE PROFESSORESSOR,
CARLA ANDRADE,CARLA SOARES ANDRADE PACHECO,CARLA ANDRADE DIREITA MINAS,
FABRIZIO,FABRIZIO FURTADO SOUSA,FABRIZIO FURTADO,
NARCIZIO,NARCIZIO CRUZ FERREIRA,NARCIZIO NAZA,
LINDOMAR SOUSA,CARLOS LINDOMAR SOUSA,LINDOMAR,
FLAVIO MACEDO,GERALDO FLAVIO MACEDO SOARES,DR FLAVIO MACEDO,
HUMBERTO,HUMBERTO GUIMARAES SOUTO,HUMBERTO SOUTO,
RUY,RUY ADRIANO BORGES MUNIZ,RUY MUNIZ,
JOAO MARCELO DIEGUEZ,JOAO MARCELO DIEGUEZ PEREIRA,JOAO MARCELO,
SERGIO AMERICANO,SERGIO AMERICANO MENDES,SERGIO AMERICANO MENDES,
ARQUIMEDES BORGES,ANTONIO ARQUIMEDES BORGES OLIVEIRA,ARQUIMEDES,
LARA LUISA,LARA LUISA SILVA GOMES FRANCO,PROF LARA LUISA,
GREIK OLIVEIRA,GREIK JOSE OLIVEIRA SILVA,GREIK,
SOYLA RACHEL,SOYLA RACHEL SANTOS PEREIRA,SOYLA,
GUSTAVO,GUSTAVO TAMBELINI BRASILEIRO,GUSTAVO BRASILEIRO,
ERASMO,ERASMO DOUGLAS DUARTE,ERASMO HORTA,
ELOISIO CARMO,ELOISIO CARMO LOURENCO,DR ELOISIO,
FLAVIO FARIA,FLAVIO HENRIQUE FARIA,PROFESSOR FLAVIO,
ELOISIO LOURENCO,ELOISIO CARMO LOURENCO,DR ELOISIO,
EDUARDO JUNQUEIRA,EDUARDO JUNQUEIRA DIAS,EDUARDO JUNQUEIRA DIAS,
ERCULES,ERCULES BERLINI TASSINARI,ERCULES TASSINARI,
OZEAS,OZEAS SILVA CAMPOS,OZEAS DIRETOR,
WILSON,WILSON MARCOS SOARES,WILSON MARCOS,
HERMINIO,HERMINIO MARTINS NETO,HERMINIO MARTINS,
LUIZ CARLOS,LUIZ CARLOS SILVA CUNHA,PROFESSOR LUIZ CARLOS,
DENISE,DENISE ALVES SOUZA NEVES,DENISE NEVES,
WASHINGTON MODESTO,WASHINGTON MODESTO GONTIJO JUNIOR,WASHINGTON MODESTO FILHO,
CARLOS EUGENIO,CARLOS EUGENIO DEMETRIO,PROF CARLOS EUGENIO,
CHRISTIANO XAVIER,CHRISTIANO AUGUSTO XAVIER FERREIRA,DELEGADO CHRISTIANO XAVIER,
ABRAAO SOARES DIAS,ABRAAO SOARES DIAS SANTOS GRACCO,ABRAAO,
VALDECIR,VALDECIR SANTOS BRAGA,VALDECIR ASAPAC,
LEVON,LEVON NASCIMENTO,PROFESSOR LEVON,
HELI,HELI GERALDO ANDRADE,DELEGADO HELI GRILO,
ELISA,ELISA GONCALVES ARAUJO,ELISA ARAUJO,
PATRICIA,PATRICIA CARLA MELO,PATRICIA MELO,
MARIA SANDRA,MARIA SANDRA BASTOS SIQUEIRA,MARIA SANDRA TAPAJOS,
MARISCAL,THIAGO MARISCAL SANTOS,THIAGO MARISCAL,
JOAO REIS,JOAO REIS SOUZA,JOAO CHOCOLATE,
GILBERTO ADENIE,GILBERTO ADENIE CUNHA,GILBERTO CUNHA,
VERDI LUCIO,VERDI LUCIO MELO,VERDI,
ZACARIAS,ZACARIAS ABRAO PIVA,ZACARIAS PIVA,
ILCE,ILCE ALVES ROCHA PERDIGAO,ILCE ROCHA,
GERALDO MAGELA,GERALDO MAGELA CHAVES,DR GERALDO MAGELA,
NORIVAL,NORIVAL FRANCISCO LIMA,NORIVAL LIMA,
WALLACE,WALLACE FABIANO ALVES,WALLACE CLEZINHO,
ARLEI BARBOSA,ARLEI SILVA BARBOSA,ARLEI,
PAULO PALEARI,JOSE PAULO PALEARI,PALEARI,
JOSE PALEARI,JOSE PAULO PALEARI,PALEARI,
RENILSON CESAR,RENILSON CESAR SILVA,RENILSON,
GEOVANE,GEOVANE MENEGUELLE LOUZADA SANTOS,GEOVANE MENEGUELLE,
NICOLAU,NICOLAU CARONE ASSAD,NICOLAU CARONE,
WALLACE VIEIRA,WALLACE RIBEIRO VIEIRA,MAJOR WALLACE VIEIRA,
ENIVALDO,ENIVALDO EUZEBIO ANJOS,ENIVALDO ANJOS,
DENILSON,DENILSON FERREIRA VANDERLEI,DENILSON FEIRANTE,
JUVENAL,JUVENAL CALIXTO FILHO,JUVENAL CALIXTO,
CLAUDIO RODRIGUES,CLAUDIO RODRIGUES SILVA,CLAUDIO BOA FRUTA,
IZAIAS JUNIOR,IZAIAS CORREA BARBOZA JUNIOR,DR IZAIAS JUNIOR,
PAULO SERGIO,PAULO SERGIO CASTRO ALEMAES,SUBTENENTE PAULO SERGIO,
JOANA,JOANA D ARCK CAETANO,JOANA D ARCK,
HERALDO LEMOS,HERALDO LEMOS GONCALVES,DOUTOR HERALDO LEMOS,
GENIVALDO,GENIVALDO JOSE LIEVORE,GENIVALDO LIEVORE,
ELODILSON,ELODILSON SABADINI,ELODILSON SABADINI,
GOTARDO,JOSE GOTARDO SPADETTO,DR GOTARDO,
WANZETE,WANZETE KRUGER,WANZETE KRUGER,
RIKELME,RIKELME KRUGER SALES,RIKELME KRUGER,
CLAUDIA,CLAUDIA MARTINS BASTOS,CLAUDIA BASTOS,
EDSON FOSSE,EDSON FOSSE FILHO,EDSON FOSSE BODINHO,
IGOR BELLUCIO,IGOR BELLUCIO SANTOS,PROFESSOR IGOR BELLUCIO,
GUERINO,GUERINO LUIZ ZANON,GUERINO ZANON,
GLEYCIARIA,GLEYCIARIA BERGAMIM ARAUJO,GLEYCIARIA BERGAMIM ARAUJO,
CLAUMIR,CLAUMIR ANTONIO ZAMPROGNO,CLAUMIR ZAMPROGNO,
EDIMAR,EDIMAR HERMOGENES,EDIMAR CAVALOS,
CARMEM,CARMEM BARCELLOS,CARMEM BARCELLOS,
GRACIMERI,GRACIMERI VIEIRA SOEIRO CASTRO GAVIORNO,GRACIMERI GAVIORNO,
VIDIGAL,ANTONIO SERGIO ALVES VIDIGAL,SERGIO VIDIGAL,
FABIO DUARTE,FABIO DUARTE ALMEIDA,FABIO,
PAZOLINI,LORENZO SILVA PAZOLINI,DELEGADO PAZOLINI,
ASSUMCAO,LUCINIO CASTELO ASSUMCAO,CAPITAO ASSUMCAO,
LORENZO PAZOLINI,LORENZO SILVA PAZOLINI,DELEGADO PAZOLINI,
ARMANDO,ARMANDO CUNHA CARNEIRO SILVA,ARMANDO CARNEIRO,
GEANE VINCLER,GEANE CORDEIRO VINCLER,GEANE,
ADRIANO,ADRIANO GUILHERME TEVES MORENO,DR ADRIANO,
JONAS CRUZ,JONAS AGUIAR CRUZ,JONAS AGUIAR CRUZ,
AGUIAR,JONAS AGUIAR CRUZ,JONAS AGUIAR CRUZ,
ALEXANDRE TADEU,ALEXANDRE TADEU BARROS ESTEVES ARAUJO,TADEU TO CONTIGO,
ODISSEIA CARVALHO,ODISSEIA PINTO CARVALHO,ODISSEIA,
BRUNO CALIL,BRUNO RIOS CALIL,DR BRUNO CALIL,
NATALIA SOARES,NATALIA SOARES RIBEIRO,PROFESSORA NATALIA,
CLAUDIO RANGEL,CLAUDIO RANGEL SOUZA,CLAUDIO RANGEL BOA VIAGEM,
ROBERTO,ROBERTO SALES HENRIQUES SILVEIRA,ROBERTO HENRIQUES,
BRUN,BRUNO RIOS CALIL,DR BRUNO CALIL,
JOSE EUGENIO,JOSE EUGENIO BARBOSA SAYEGH,JOSE EUGENIO SAYEGH,
RAMON GIDALTE,RAMON DIAS GIDALTE,RAMON,
ALUIZIO SILVA,ALUIZIO FIRMIANO SILVA JUNIOR,ALUIZIO JUNIOR,
DELAROLI,MARCELO JANDRE DELAROLI,MARCELO DELAROLI MARICA,
SADINOEL,SADINOEL OLIVEIRA GOMES SOUZA,DR SADINOEL,
MARCELO DELAROLI,MARCELO JANDRE DELAROLI,MARCELO DELAROLI MARICA,
RUBEM VIEIRA,RUBEM VIEIRA SOUZA,DR RUBAO,
WALDEMAR AVILA,WALDEMAR JOSE AVILA NETO,WALDEMAR,
ALEXANDRE,ALEXANDRE OLIVEIRA MARTINS,ALEXANDRE MARTINS,
TOLENTINO,ANTONIO CARLOS REIS TOLENTINO,TOLENTINO REIS,
CARLOS AUGUSTO,CARLOS AUGUSTO NOGUEIRA PINTO,DELEGADO CARLOS AUGUSTO,
DIMAS GADELHA,DIMAS PAIVA GADELHA JUNIOR,DR DIMAS GADELHA,
MARCELO,MARCELO MAGNO FELIX SANTOS,MARCELO MAGNO,
MELMAN,HENRIQUE SERGIO MELMAN,HENRIQUE MELMAN,
WILLIAN,WILLIAN CESAR LUZ SILVA,WILLIAN LUZ,
MARCOS HENRIQUE,MARCOS HENRIQUE NUSS ALMEIDA,MARCOS MENSALAO,
MARCELO CRIVELLA,MARCELO BEZERRA CRIVELLA,CRIVELLA,
EDUARDO BANDEIRA MELLO,EDUARDO CARVALHO BANDEIRA MELLO,BANDEIRA MELLO,
GLORIA HELOIZA LIMA,GLORIA HELOIZA LIMA SILVA,GLORIA HELOIZA,
MARTHA ROCHA,MARTHA MESQUITA ROCHA,DELEGADA MARTHA ROCHA,
SUED HAIDAR,SUED HAIDAR NOGUEIRA,SUED,
EDUARDO BANDEIRA,EDUARDO CARVALHO BANDEIRA MELLO,BANDEIRA MELLO,
PAES,EDUARDO COSTA PAES,EDUARDO PAES,
MAURO ORLANDINI,JOSE MAURO DEDEMO ORLANDINI,ORLANDINI,
KALED ALI,KALED ALI EL MALAT,KALED,
TALITHA,TALITHA NADAI LAHR,TALITHA NADAI,
DIRLEI SALAS,DIRLEI SALAS ORTEGA,DIRLEI,
GLAUCIA,GLAUCIA REGIA MOLAZ MARTINS SIMOES,DRA GLAUCIA DELEGADA,
DUTRA,RAPHAEL GONCALVES DUTRA,RAPHAEL DUTRA,
MUNIR DAHER,MUNIR JORGE DAHER,DR MUNIR,
SIDNEI,SIDNEI SANTOS,SIDNEI BALBO,
LUIZ C VALLE,LUIZ CARLOS COSTA VALLE,VALLE,
MITS CASSIA,MITS CASSIA SILVA,PROFESSORA MITS CASSIA,
JUAREZ DIAS,JUAREZ PEREIRA DIAS,ENGENHEIRO JUAREZ DIAS,
ZIMBALDI,RAFAEL FERNANDO ZIMBALDI,RAFA ZIMBALDI,
ANDRE VON,ANDRE LUIZ CAMARGO VON ZUBEN,ANDRE VON ZUBEN,
AHMED TARIQUE,AHMED TARIQUE TOMBOUCTOU AGIO,PROF AHMED TARIQUE AGIO,
ALEXANDRE BANDIERA,ALEXANDRE NOGUEIRA RODRIGUES BANDIERA,DR ALEXANDRE BANDIERA,
EDER,EDER ROBERTO ANTONELLI,EDER ANTONELLI,
MATEUS VENEZIANI,MATEUS VENEZIANI SILVA,MATEUS SILVA,
ANDERSON GUEIROS,ANDERSON GUEIROS MIRANDA,PROFESSOR ANDERSON GUEIROS,
MATEUS,MATEUS VENEZIANI SILVA,MATEUS SILVA,
SILVIO CABRAL,SILVIO ROBERTO BUENO CABRAL MEDEIROS FILHO,DR SILVIO CABRAL,
ADEMARIO OLIVEIRA,ADEMARIO SILVA OLIVEIRA,ADEMARIO,
REVELINO ALMEIDA,REVELINO TEIXEIRA ALMEIDA,REVELINO ALMEIDA PRETINHO,
TAKA,TAKAHARU YAMAUCHI,TAKA YAMAUCHI,
PESSUTO,ANDRE GIOVANNI PESSUTO CANDIDO,ANDRE PESSUTO,
HENRI,HENRI DIAS,HENRI DIAS,
COLOMBANO,RENATO SABINO COLOMBANO,RENATO COLOMBANO,
JEAN VETORASSO,JEAN CARLOS VETORASSO,JEAN VETORASSO FILHO IVANETE,
VALTER BATISTA,VALTER BATISTA SOUZA,PROF VALTER BATISTA,
NEFI TALES,NEFI ANTONIO CASTRO TALES,NEFI TALES FILHO,
FRANCISLENE ASSIS CORREA,FRANCISLENE ASSIS ALMEIDA CORREA,FRAN CORREA,
AURIEL BRITO,AURIEL BRITO LEAL,PROFESSOR AURIEL,
PIETA,ELOI ALFREDO PIETA,ELOI PIETA,
ELOI ALFREDO,ELOI ALFREDO PIETA,ELOI PIETA,
SANDRA SANTOS,SANDRA MARIA SANTOS,PROFESSORA SANDRA SANTOS,
ULISSES MOREIRA,ULISSES MOREIRA SANTOS NETO,ULISSES MOREIRA NETO,
GABRIEL,GABRIEL SILVA GOMES,GABRIEL PROTECHTOR,
TIAGO CERVANTES,TIAGO RODRIGUES CERVANTES,TIAGO RODRIGUES CERVANTES,
TIAGO RODRIGUES,TIAGO RODRIGUES CERVANTES,TIAGO RODRIGUES CERVANTES,
DANIELA CAMARA,DANIELA CAMARA SUTTI,DANIELA,
RAFAEL PURGATO,RAFAEL TURRINI PURGATO,PROFESSOR RAFAEL PURGATO,
IVETE MIGLIANI,IVETE APARECIDA MIGLIANI,IVETE,
RAFAEL CAMARGO,RAFAEL LUIZ PAVARINI CAMARGO,DR RAFAEL CAMARGO,
PAULO MORAIS,PAULO ROBERTO BENEGAS MORAIS,PROF PAULO MORAIS,
PANDOLFI,JOAO LUIS LOPES PANDOLFI,DR JOAO PANDOLFI,
MANOELINO,MANOELINO CORDEIRO SANTOS,MANOELINO CORDEIRO,
MAURO ROMAN,MAURO ROMAN MELO,POLICIAL FEDERAL MAURO ROMAN,
DONISETE,DONISETE PEREIRA BRAGA,DONISETE BRAGA,
VANESSA,VANESSA DORATIOTO DAMO,VANESSA DAMO,
AMANDA,AMANDA OLIVEIRA BISPO,AMANDA BISPO,
MICHAEL DELLA,MICHAEL DELLA TORRE NETO,MICHAEL DELLA TORRE,
ELIAS AJUB,ELIAS REZEK AJUB,DR ELIAS AJUB,
TIMOTEO,ANTONIO TIMOTEO ANDRADE,ANTONIO TIMOTEO,
MARCO SOUZA,MARCO AURELIO SOUZA,MARCO SOUZA DATENINHA,
ROBSON SANCHES,ROBSON SANCHES SILVA,PROFESSOR ROBSON SANCHES,
EDSON RIBEIRO,JOSE EDSON RIBEIRO,DR EDSON RIBEIRO,
GUSTAVO YATECOLA,GUSTAVO YATECOLA BOMFIM,DR GUSTAVO YATECOLA,
HAROLDO FELIPE,HAROLDO ORTEGA BRITO FELIPE,HAROLDO,
MARCIA TEIXEIRA,MARCIA TEIXEIRA BIN SOUZA,MARCIA BIN ESPOSA TESTINHA,
AZUIR CAVALCANTE,AZUIR MARCOLINO CAVALCANTE,AZUIR,
ELINALDO PEREIRA,ELINALDO PEREIRA SANTOS,NACO,
ALEXANDRE COMIN,ALEXANDRE CORREA COMIN,DELEGADO COMIN,
CUNHA,ALEXANDRE EVARISTO CUNHA,ALEXANDRE CUNHA,
MORGADO,DANILO MARCO MORGADO SILVA,DANILO MORGADO,
JANAINA,JANAINA BALLARIS SILVA,JANAINA BALLARIS,
RIGATO,RICARDO BARBOSA RIGATO,RICARDO RIGATO,
MARISA,MARISA REINOSO ABREU,MARISA CASAS PROPRIAS,
FELIPE MAGALHAES,FELIPE AUGUSTO CINTRA MAGALHAES,PROF FELIPE MAGALHAES,
CARLOS SACOMANI,CARLOS ALBERTO SACOMANI,CARLOS SACOMANI BANANA,
MARIA CARMO,MARIA CARMO GUILHERME,MARIA CARMO GUILHERME,
MARIA ALDENIR,MARIA ALDENIR MARQUES CARDOSO,PROFESSORA ALDENIR CARDOSO,
NIVALDO MOURA,NIVALDO MOURA SILVA,DELEGADO NIVALDO,
AFFONSO SALATI,AFFONSO SALATI FILHO,DR AFFONSO,
ALDENIR CARDOSO,MARIA ALDENIR MARQUES CARDOSO,PROFESSORA ALDENIR CARDOSO,
BETE SIRAQUE,ELISABETE TONOBOHN SIRAQUE,PROFESSORA BETE SIRAQUE,
MARCELO COELHO,MARCELO GOMES COELHO,MARCELO GOMES,
ANTONIO CARLOS BANHA,ANTONIO CARLOS BANHA JOAQUIM,BANHA,
BAYARD UMBUZEIRO,BAYARD FREITAS UMBUZEIRO FILHO,BAYARD,
SARTORI,IVAN RICARDO GARISIO SARTORI,IVAN SARTORI,
CASCIONE,VICENTE FERNANDES CASCIONE,VICENTE CASCIONE,
MARCIO AURELIO,MARCIO AURELIO SOARES,DR MARCIO AURELIO,
LEANDRO ALTRAO,LEANDRO ALTRAO MARTINES,DR LEANDRO ALTRAO,
LOURDES,MARIA LOURDES SOUZA,LOURDES CHAPA COLETIVA,
JOSE JUNIOR,JOSE AURICCHIO JUNIOR,AURICCHIO,
EDUARDO CASONATO,EDUARDO CASONATO AVILA,CASONATO,
AIRTON,AIRTON GARCIA FERREIRA,AIRTON GARCIA,
MARINA,MARINA JAYME MELO CARDINALI,MARINA MELO,
NETTO,ANTONIO DONATO NETTO,NETTO DONATO,
LEANDRO,LEANDRO AUGUSTO AMARAL,LEANDRO GUERREIRO,
ERICK,ERICK PEREIRA SILVA,ERICK SILVA,
SERGIO,SERGIO SAMUEL FERRAO JUNIOR,SERGIO FERRAO,
HELENA REIS,HELENA SANTOS REIS,CORONEL HELENA,
MARCO CASALE,MARCO ANTONIO CASALE,CASALE,
MARINA SASSI,MARINA ARANTES LEITE SASSI,MARINA PSOL,
AGLIBERTO,AGLIBERTO SOCORRO CHAGAS,PROFESSOR AGLIBERTO,
ELIANE NIKOLUK,ELIANE NIKOLUK SCACHETTI,CORONEL ELIANE NIKOLUK,
CURY,CONSTANTINO CURY NETO,DR CURY,
FILIPE SABARA,FILIPE TOMAZELLI SABARA,SABARA,
VERA LUCIA,VERA LUCIA PEREIRA SILVA SALGADO,VERA,
GLEIVISON GASPAR,GLEIVISON HENRIQUE COSTA GASPAR,PROFESSOR GLEIVISON,
GLEIVISON,GLEIVISON HENRIQUE COSTA GASPAR,PROFESSOR GLEIVISON,
ERNANE,ERNANE BILOTTE PRIMAZZI,ERNANE PRIMAZZI,
CLAUDE ABREU,CLAUDE BERNARD ABREU NICACIO,ENGENHEIRO CLAUDE ABREU,
LUIS CLAUDIO BILI,LUIS CLAUDIO BILI LINS SILVA,BILI,
BUENO,MARCO ANTONIO ZANONI BUENO,MARCO BUENO,
