NM_UE,candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,bad,empty
PARAÍBA,VENEZIANO VITAL REGO,VENEZIANO VITAL REGO SEGUNDO NETO,VENEZIANO,,
PERNAMBUCO,DANIELLE PORTELA,DANIELLE GONDIM PORTELA,DANI PORTELA,,
PERNAMBUCO,JARBAS VASCONCELOS,JARBAS ANDRADE VASCONCELOS,JARBAS,,
PERNAMBUCO,ALBANISE PIRES,ALBANISE PIRES FERREIRA AZEVEDO,ALBANISE,,
PERNAMBUCO,EUGENIA LIMA,MARIA EUGENIA WANDERLEY LIMA,EUGENIA,,
PIAUÍ,LUCIANO NUNES,LUCIANO NUNES SANTOS FILHO,LUCIANO,,
PIAUÍ,SUELI RODRIGUES,MARIA SUELI RODRIGUES SOUSA,PROFESSORA SUELI,,
PIAUÍ,VALTER REBELO,VALTER FERREIRA ALENCAR PIRES REBELO,VALTER ALENCAR,,
PIAUÍ,ALBETIZA MOREIRA,ALBETIZA MOREIRA ARAUJO,ALBETIZA,,
PIAUÍ,ANTONIO J LIRA,ANTONIO JOSE FREITAS LIRA,ANTONIO JOSE LIRA,,
PIAUÍ,MARCOS VINICIUS,MARCOS VINICIUS CUNHA DIAS,DR MARCOS,,
PIAUÍ,FAUSTO RIPARDO,FAUSTO LUIZ DUARTE RIPARDO,PROFESSOR FAUSTO RIPARDO,,
PIAUÍ,MAIA FILHO,JOSE ANDRADE MAIA FILHO,MAINHA,,
PIAUÍ,LUCY SOARES,LUCY FARIAS CARVALHO SOARES,LUCY,,
PIAUÍ,FRANCISCO COSTA,FRANCISCO ASSIS OLIVEIRA COSTA,DR FRANCISCO COSTA,,
PIAUÍ,JOVE OLIVEIRA,JOVENILIA ALVES OLIVEIRA MONTEIRO,JOVE,,
PIAUÍ,FRANCISCO LIMMA,FRANCISCO CHAGAS LIMMA,LIMMA,,
PARANÁ,ARRUDA,JOAO JOSE ARRUDA JUNIOR,JOAO ARRUDA,,
PARANÁ,BUCHI,OGIER ALBERGE BUCHI,OGIER BUCHI,,
PARANÁ,BERNARDO,IVAN RAMOS BERNARDO,PROFESSOR IVAN BERNARDO,,
PARANÁ,EBARA,PRISCILA CRISTINA PAULA EBARA GUIMARAES,PRISCILA EBARA,,
PARANÁ,BERNARDI,JORGE LUIZ BERNARDI,PROFESSOR JORGE BERNARDI,,
PARANÁ,CANZIANI,ALEX CANZIANI SILVEIRA,ALEX CANZIANI,,
PARANÁ,GONCALVES,MIRIAN APARECIDA GONCALVES,MIRIAN GONCALVES,,
PARANÁ,PARMIGIANI,JACQUELINE PARMIGIANI,JACQUE PARMIGIANI,,
PARANÁ,BONI,JOSE MARIA BONI,ZE BONI,,
PARANÁ,TOMAZINI,RODRIGO TOMAZINI DIAS,RODRIGO TOMAZINI,,
PARANÁ,ADAO,LUIZ ADAO MARQUES,COMPADRE LUIZ ADAO,,
PARANÁ,MEZAROBBA,GILSON MEZAROBBA,GILSON MEZAROBBA,,
PARANÁ,FLAVIO,FLAVIO JOSE ARNS,FLAVIO ARNS,,
PARANÁ,ALEX,ALEX CANZIANI SILVEIRA,ALEX CANZIANI,,
PARANÁ,NELTON FRIEDRICH,NELTON MIGUEL FRIEDRICH,NELTON,,
RIO GRANDE DO NORTE,CARLOS EDUARDO ALVES,CARLOS EDUARDO NUNES ALVES,CARLOS EDUARDO,,
RIO GRANDE DO NORTE,CARLOS ALBERTO MEDEIROS,CARLOS ALBERTO FREIRE MEDEIROS,PROFESSOR CARLOS ALBERTO,,
RIO GRANDE DO NORTE,QUEIROGA,BRENNO OLIVEIRA QUEIROGA MORAIS,BRENNO QUEIROGA,,
RIO GRANDE DO NORTE,GARIBALDI ALVES,GARIBALDI ALVES FILHO,GARIBALDI FILHO,,
RIO GRANDE DO NORTE,STYVENSON,EANN STYVENSON VALENTIM MENDES,CAPITAO STYVENSON,,
RIO GRANDE DO NORTE,GARIBALDI,GARIBALDI ALVES FILHO,GARIBALDI FILHO,,
RIO GRANDE DO NORTE,GALENO,JOSE GALENO DIOGENES TORQUATO,GALENO TORQUATO,,
RIO GRANDE DO NORTE,NELTER,NELTER LULA QUEIROZ SANTOS,NELTER QUEIROZ,,
RIO GRANDE DO NORTE,EZEQUIEL FERREIRA,EZEQUIEL GALVAO FERREIRA SOUZA,EZEQUIEL,,
RONDÔNIA,VALCLEI QUEIROZ,VALCLEI QUEIROZ SILVA,COMENDADOR VALCLEI QUEIROZ,,
RONDÔNIA,VINICIUS RADUAN,VINICIUS VALENTIN RADUAN MIGUEL,VINICIUS MIGUEL,,
RONDÔNIA,MARCOS ROCHA,MARCOS JOSE ROCHA SANTOS,CORONEL MARCOS ROCHA,,
RONDÔNIA,EDESIO FERNANDES,EDESIO FERNANDES SILVA,PASTOR EDESIO FERNANDES,,
RONDÔNIA,FATIMA,FATIMA CLEIDE RODRIGUES SILVA,FATIMA CLEIDE,,
RONDÔNIA,LUIZ CLAUDIO,LUIZ CLAUDIO PEREIRA ALVES,LUIZ CLAUDIO AGRICULTURA,,
RONDÔNIA,MAURO NAZIF,MAURO NAZIF RASUL,DR MAURO NAZIF,,
RONDÔNIA,PADOVANI,EVANDRO CESAR PADOVANI,PADOVANI AGRICULTURA,,
RONDÔNIA,ADA DANTAS,ADA CLEIA SICHINEL DANTAS BOABAID,ADA DANTAS BOABAID,,
RONDÔNIA,AELCIO,AELCIO JOSE COSTA,AELCIO TV,,
RONDÔNIA,LUIZ FERRARI,LUIZ CARLOS FERRARI,DR LUIZ FERRARI,,
RONDÔNIA,FATIMA GAVIOLI,APARECIDA FATIMA GAVIOLI SOARES PEREIRA,PROFESSORA FATIMA GAVIOLI,,
RONDÔNIA,EVERALDO FOGACA,EVERALDO ALVES FOGACA,FOGACA SITE OOBSERVADOR,,
RONDÔNIA,CIRONE,ELCIRONE MOREIRA DEIRO,CIRONE TOZZO,,
RONDÔNIA,PIMENTEL,WILLIAMES PIMENTEL OLIVEIRA,WILLIAMES PIMENTEL,,
RORAIMA,ANTONIO,ANTONIO OLIVERIO GARCIA ALMEIDA,ANTONIO DENARIUM,,
RORAIMA,SUELY,MARIA SUELY SILVA CAMPOS,SUELY CAMPOS,,
RORAIMA,TELMARIO,TELMARIO MOTA OLIVEIRA,TELMARIO MOTA,,
RORAIMA,ROMERO,ROMERO JUCA FILHO,ROMERO JUCA,,
RORAIMA,ISAMAR,ISAMAR PESSOA RAMALHO,PR ISAMAR RAMALHO,,
RORAIMA,ANGELA,ANGELA MARIA GOMES PORTELA,ANGELA PORTELA,,
RORAIMA,MECIAS,ANTONIO MECIAS PEREIRA JESUS,MECIAS JESUS,,
RORAIMA,LUCIANO,LUCIANO SOUZA CASTRO,LUCIANO CASTRO,,
RORAIMA,JULIO,JULIO AUGUSTO MAGALHAES MARTINS,JULIO MARTINS,,
RORAIMA,TELMA,TELMA MARQUES SILVA,TELMA TAUREPANG,,
RIO GRANDE DO SUL,SANDRA WEBER,SANDRA REGINA MARCOLLA WEBER,DRA SANDRA WEBER,,
SANTA CATARINA,MARIANI,MAURO MARIANI,MAURO MARIANI,,
SANTA CATARINA,MERISIO,GELSON LUIZ MERISIO,GELSON MERISIO,,
SANTA CATARINA,MOISES SILVA,CARLOS MOISES SILVA,COMANDANTE MOISES,,
SANTA CATARINA,DECIO,DECIO NERY LIMA,DECIO LIMA,,
SANTA CATARINA,MOISES,CARLOS MOISES SILVA,COMANDANTE MOISES,,
SANTA CATARINA,ESMERALDINO,LUCAS SOUZA ESMERALDINO,LUCAS ESMERALDINO,,
SANTA CATARINA,CABRAL,PEDRO CABRAL FILHO,PROFESSOR PEDRO CABRAL,,
SANTA CATARINA,ROSA,LEDIO ROSA ANDRADE,LEDIO ROSA,,
SANTA CATARINA,IDELI,IDELI SALVATTI,IDELI SALVATTI,,
SERGIPE,BELIVALDO CHAGAS,BELIVALDO CHAGAS SILVA,BELIVALDO,,
SERGIPE,EMERSON,EMERSON FERREIRA COSTA,DR EMERSON,,
SERGIPE,ROGERIO CARVALHO,ROGERIO CARVALHO SANTOS,ROGERIO CARVALHO SANTOS,,
SERGIPE,HENRI CLAY ANDRADE,HENRI CLAY SANTOS ANDRADE,HENRI CLAY,,
SERGIPE,SONIA MEIRE,SONIA MEIRE SANTOS AZEVEDO JESUS,PROFESSORA SONIA MEIRE,,
SERGIPE,HELENO,JOSE HELENO SILVA,PASTOR HELENO,,
SERGIPE,TALYSSON,TALYSSON BARBOSA COSTA,TALYSSON VALMIR,,
SÃO PAULO,DORIA,JOAO AGRIPINO COSTA DORIA JUNIOR,JOAO DORIA,,
SÃO PAULO,SKAF,PAULO ANTONIO SKAF,PAULO SKAF,,
SÃO PAULO,COSTA E SILVA,ADRIANO COSTA E SILVA,MAJOR COSTA E SILVA,,
SÃO PAULO,CHEQUER,ROGERIO CHEQUER RAMALHO MACHADO,ROGERIO CHEQUER,,
SÃO PAULO,CANDIDO,MARCELO SOUZA CANDIDO,MARCELO CANDIDO,,
SÃO PAULO,LISETE ARELARO,LISETE REGINA GOMES ARELARO,PROFESSORA LISETE,,
SÃO PAULO,GABRILLI,MARA CRISTINA GABRILLI,MARA GABRILLI,,
SÃO PAULO,MAGGI,MAURREN HIGA MAGGI,MAURREN MAGGI,,
SÃO PAULO,FERREIRA,ELIANA LUCIA FERREIRA,DRA ELIANA FERREIRA,,
SÃO PAULO,ANDREONI,JAIR ANDREONI,JAIR ANDREONI,,
SÃO PAULO,DANIEL CARA,DANIEL TOJEIRA CARA,EDUCADOR DANIEL CARA,,
SÃO PAULO,TATTO,JILMAR AUGUSTINHO TATTO,JILMAR TATTO,,
SÃO PAULO,CARA,DANIEL TOJEIRA CARA,EDUCADOR DANIEL CARA,,
SÃO PAULO,FERRARO,SILVIA ANDREA FERRARO,PROFESSORA SILVIA FERRARO,,
SÃO PAULO,BARBIERI,MARCELO FORTES BARBIERI,MARCELO BARBIERI,,
SÃO PAULO,AIDAN RAVIN,AIDAN ANTONIO RAVIN,DR AIDAN RAVIN,,
SÃO PAULO,ALMIR CICOTE,ALMIR ROBERTO CICOTE,CICOTE,,
TOCANTINS,BERNADETE,BERNADETE APARECIDA FERREIRA,BERNADETE APARECIDA,,
TOCANTINS,MELQUE AIRES,MELQUESEDEC MAGALHAES AIRES,MELK AIRES,,
AMAPÁ,CAPI,JOAO ALBERTO RODRIGUES CAPIBERIBE,CAPI 40,,
PARÁ,MIRANDA,MARCIO DESIDERIO TEIXEIRA MIRANDA,MARCIO MIRANDA,,
RIO DE JANEIRO,WITZEL,WILSON JOSE WITZEL,WILSON WITZEL,,
RIO DE JANEIRO,PAES,EDUARDO COSTA PAES,EDUARDO PAES,,
RORAIMA,ANCHIETA JUNIOR,JOSE ANCHIETA JUNIOR,ANCHIETA,,
RIO GRANDE DO SUL,SARTORI,JOSE IVO SARTORI,JOSE IVO SARTORI,,
SÃO PAULO,FRANCA,MARCIO LUIZ FRANCA GOMES,MARCIO FRANCA,,
ROLIM DE MOURA,OLIMPIO CENTRAL,OLIMPIO CALDEIRA SILVA,OLIMPIO CENTRAL MODAS,,
CANDEIAS DO JAMARI,DINHO,OSVALDO SOUSA,DINHO SOUSA,,
MANAUS,ARTUR,ARTHUR VIRGILIO CARMO RIBEIRO NETO,ARTUR NETO,,
ANANINDEUA,PIONEIRO,MANOEL CARLOS ANTUNES,MANOEL PIONEIRO,,
ANANINDEUA,PROF EDIVALDO,EDIVALDO MONTEIRO ANDRADE,PROFESSOR EDIVALDO,,
ANANINDEUA,RAY TAVARES,RAIMUNDA NONATA ROCHA TEIXEIRA,PASTORA RAY TAVARES,,
ANANINDEUA,GATO,LUIS FERNANDO CARVALHO LIMA,FERNANDO GATO,,
ANANINDEUA,GORDO,DEIVITE WENER ARAUJO GALVAO,GORDO AURA,,
BEQUIMÃO,MAGAL,SIDNEY COSTA NOGUEIRA,MAGAL PT,,
JOAO LISBOA,VIEIRA,ANTONIO VIEIRA SILVA,ANTONIO VIEIRA,,
JOAO LISBOA,DOMINGOS,DOMINGOS FERNANDES DAMASCENO,DOMINGOS ASSOCIACAO,,
JOAO LISBOA,RAIMUNDO,RAIMUNDO SILVA BARBOSA,RAIMUNDO BARBOSA,,
RAPOSA,LACI,THALYTA MEDEIROS OLIVEIRA,TALITA LACI,,
SÃO LUÍS,PAULO CESAR,PAULO CESAR RODRIGUES ALMEIDA,PAULO CESAR MERC BEIRA MAR,,
DEMERVAL LOBÃO,CARLIM,CARLOS ALBERTO LOPES,DR CARLIM,,
PARNAIBA,JOAOZINHO,JOAO BATISTA GONCALVES SOUSA,JOAOZINHO UNIMAGEM,,
PARNAIBA,JOAO UNIMAGEM,JOAO BATISTA GONCALVES SOUSA,JOAOZINHO UNIMAGEM,,
PICOS,DR GLEUTON,GLEUTON ARAUJO PORTELA,DR GLEUTON PORTELA,,
URUÇUÍ,PROF RITA,RITA CASSIA COUTINHO MELO E SILVA,PROFESSORA RITA,,
SUSSUAPARA,DR EDVARDO PE TROCADO,EDVARDO ANTONIO ROCHA,DR EDVARDO ( PE TROCADO ),,
VARZEA ALEGRE,CAUBI,ANTONIO BEZERRA LIMA,CAUBI BEZERRA,,
TENENTE LAURENTINO CRUZ,TITICO,FRANCISCO DANTAS ARAUJO,TITICO ZE VICENTE,,
CAICÓ,ALEX,ALEX SANDRO DANTAS MEDEIROS,ALEX DANTAS,,
CAICÓ,RUBAO,RUBENS MEDEIROS GERMANO,RUBAO GERMANO,,
ITAÚ,ZE FILHO,JOSE MELO FILHO,ZE FILHO MELO,,
LAJES,LOURDINHA ARRUDA,MARIA LOURDES SILVA ARRUDA MORAIS,DRA LOURDINHA ARRUDA,,
MACAÍBA,SOCORRO NOGUEIRA,MARIA SOCORRO ARAUJO CARVALHO,PROF SOCORRO NOGUEIRA,,
MOSSORO,CHICO PREFEITURA,JOAO BATISTA DANTAS ROCHA,DAO CHICO PREFEITURA,,
PARNAMIRIM,TITA HOLANDA,JOAO BATISTA TERTO HOLANDA,PROFESSOR TITA HOLANDA,,
TANGARA,GIJA,ALCIMAR GERMANO BENTO PINHEIRO E ALVES,ALCIMAR GIJA,,
OLINDA,RIQUINHO,RICARDO SERGIO CONTENTE PIMENTEL,RIQUINHO AGUA E GAS,,
SURUBIM,JOAO POVO,JONAS BARBOSA REIS,"JOAO POVO, JOAO ELETRICISTA",,
IPIAU,PROF ALBIONE,ALBIONE SOUZA SILVA,PROFESSOR ALBIONE,,
POUSO ALEGRE,DOUGLAS VASCONCELOS,DOUGLAS HENRIQUE BERNARDES,DOUGLAS VASCONCELOS BERNARDES,,
VARGINHA,EDUARDO CORUJINHA,EDUARDO ANTONIO CARVALHO,DR EDUARDO CORUJINHA,,
LINHARES,PROFESSOR JOAO LUIZ,JOAO LUIZ CUNHA TEIXEIRA,PROFESSOR JOAO LUIZ TEIXEIRA,,
ARARUAMA,RUSSO,CARLOS ALBERTO SIQUEIRA SILVA,RUSSO FERRO VELHO,,
ARMAÇÃO DOS BÚZIOS,MIRINHO,DELMIRES OLIVEIRA BRAGA,MIRINHO BRAGA,,
ARMACAO DOS BUZIOS,MIRINHO,DELMIRES OLIVEIRA BRAGA,MIRINHO BRAGA,,
CUBATAO,TONINHO,JOSE ANTONIO ARAUJO PEREIRA,TONINHO ELETRICA,,
DIADEMA,BUIU,EDVAN RODRIGUES SOUZA,BUIU PRACA,,
ITAPECERICA DA SERRA,ZE MARIA,JOSE MARIA ROSA,ZE MARIA PT,,
MAUA,JOSE SILVA,JOSE SILVA SOUZA,PROF JOSE SILVA,,
RIO GRANDE DA SERRA,MARANHAO,LUIS GABRIEL FERNANDES SILVEIRA,GABRIEL MARANHAO,,
RIO GRANDE DA SERRA,CLAUDINHO,CLAUDIO MANOEL MELO,CLAUDINHO GELADEIRA,,
SANTOS,FABIAO,FABIO ALEXANDRE ARAUJO NUNES,PROF FABIAO,,
SÃO MANUEL,FLAVINHO,FLAVIO ROBERTO MASSARELLI SILVA,FLAVINHO SILVA,,
SUZANO,JORGINHO,JORGE ABISSAMRA FILHO,JORGINHO ABISSAMRA,,
FLÓRIDA,GOIABA,MARCELO CICERO RAYMUNDO,MARCELO GOIABA,,
FLÓRIDA,CARLAO,CARLOS BATISTA SANTOS,CARLAO PEDREIRO,,
CAMBORIÚ,ALDINHO,ALDO MARIO BASTOS,ALDINHO BASTOS,,
CRUZEIRO DO SUL,DINGOLA,CESAR LEANDRO MARMITT,DINGOLA CESAR LEANDRO MARMITT,,
NOVA PETROPOLIS,LELO,REGIS LUIZ HAHN,LELO HAHN,,
CAMPO VERDE,CESINHA,ANTONIO CESAR SANTOS,CESAR (CESINHA AGROSAFRAS),,
CUIABÁ,JUCA GUARANA,LIDIO BARBOSA,JUCA GUARANA FILHO,,
ROSARIO OESTE,KIKO,JANDIR ANTONIO MRACSANSKI,KIKO GEOTERRA,,
TRÊS LAGOAS,TIDICO,LUIZ ANTONIO SILVA MARTINS,DR TIDICO,,
TRES LAGOAS,TIDICO,LUIZ ANTONIO SILVA MARTINS,DR TIDICO,,
CANARANA,PAULINHO,PAULO JOSE GONCALVES,PAULINHO ENFERMEIRO,,
CANARANA,CHICO,FRANCISCO CAVALCANTE,CHICO REDEIRO,,
BURITI ALEGRE,TIAOZINHO,SEBASTIAO CAETANO SILVA JUNIOR,TIAOZINHO OTICA,,
NOVO GAMA,PROF SONIA CHAVES,SONIA CHAVES FREITAS CARVALHO NASCIMENTO,PROFESSORA SONIA CHAVES,,
ALAGOAS,BIU LIRA,BENEDITO LIRA,BIU BENEDITO LIRA,,
DISTRITO FEDERAL,PITIMAN,LUIZ CARLOS PIETSCHMANN,LUIZ PITIMAN,,
DISTRITO FEDERAL,TONINHO,ANTONIO CARLOS ANDRADE,TONINHO PSOL,,
DISTRITO FEDERAL,GIM,JORGE AFONSO ARGELLO,GIM ARGELLO,,
MARANHÃO,DR TALVANE,TALVANE RIBEIRO HORTEGAL,DR TALVANE HORTEGAL,,
MATO GROSSO DO SUL,SIDNEY MELO,SIDELVAR APARECIDO MELO,PROFESSOR SIDNEY MELO,,
MATO GROSSO DO SUL,NELSINHO,NELSON TRAD FILHO,NELSINHO TRAD,,
MATO GROSSO,ZE PATIO,JOSE CARLOS JUNQUEIRA ARAUJO,ZE CARLOS PATIO,,
PARÁ,ZE CARLOS,JOSE CARLOS LIMA COSTA,ZE CARLOS PV,,
PARÁ,ENF MARCELA TOLENTINO,MARCELA GIOVANA GUSMAO TOLENTINO MATOS,ENFERMEIRA MARCELA TOLENTINO,,
PIAUÍ,NOGUEIRA,FLAVIO RODRIGUES NOGUEIRA,FLAVIO NOGUEIRA,,
PIAUÍ,CAP FABIO ABREU,FABIO ABREU COSTA,CAPITAO FABIO ABREU,,
RIO DE JANEIRO,PEZAO,LUIZ FERNANDO SOUZA,LUIZ FERNANDO PEZAO,,
RIO GRANDE DO NORTE,VILMA FARIA,WILMA MARIA FARIA,VILMA MARIA FARIA,,
RIO GRANDE DO NORTE,DRA ZENAIDE,ZENAIDE MAIA CALADO PEREIRA SANTOS,DRA ZENAIDE MAIA,,
RIO GRANDE DO NORTE,BETINHO ROSADO,CARLOS ALBERTO SOUSA ROSADO SEGUNDO,BETINHO ROSADO SEGUNDO,,
RIO GRANDE DO NORTE,DISON,RUDSON RAIMUNDO HONORIO LISBOA,DISON LISBOA,,
RONDÔNIA,PIMENTA,NASCIMENTO ANTONIO SILVA,PIMENTA RONDONIA,,
RONDÔNIA,ZEQUINHA,JOSE FRANCISCO ARAUJO,ZEQUINHA ARAUJO,,
RONDÔNIA,TUCURA,VALDIVINO RODRIGUES ALMEIDA,VALDIVINO TUCURA,,
RONDÔNIA,ILZA ENFERMAGEM,MARILZA ROQUE SERAFIM,MARILZA ENFERMAGEM,,
PIMENTA BUENO,SERJAO,SERGIO APARECIDO TOBIAS,SERGIO TOBIAS SERJAO,,
VILHENA,PASTOR FRANCIS,FRANCIS JONES MENEZES GODOY,PASTOR FRANCIS GODOY,,
VILHENA,FRANCA SILVA,FRANCISLEI INACIO SILVA,FRANCA SILVA RADIO,,
VILHENA,NATAL,NATALINO ERTE,NATAL MECANICA,,
VILHENA,PROF MAURO,MAURO SANDRO PEREIRA CORREA,PROFESSOR MAURO,,
ALVORADA DO OESTE,BIRIBA,UELINTON OLIVEIRA ROSA,BIRIBA 44,,
CANDEIAS DO JAMARI,PROF RAIMUNDO,RAIMUNDO CHAGAS TEIXEIRA,PROFESSOR RAIMUNDO,,
ITAPUA DO OESTE,CEARAZINHO,ANTONIO EGUIVANDO AGUIAR,CEARAZINHO PREFEITO,,
CHUPINGUAIA,PROF VERA LIMA,VERA LUCIA ALVES LIMA,PROFESSORA VERA LIMA,,
TAILANDIA,ALEMAO,ANDERSON CAMPOREZ,ALEMAO CERAMICA,,
ALTAMIRA,JOSY,JOSEILDA SILVA AMARAL,JOSY AMARAL,,
ANANINDEUA,PROF BETO,ALBERTO FERREIRA ANDRADE JUNIOR,PROFESSOR BETO ANDRADE,,
ANANINDEUA,BETO ANDRADE,ALBERTO FERREIRA ANDRADE JUNIOR,PROFESSOR BETO ANDRADE,,
MARITUBA,PROF FRANCISCO,FRANCISCO ALCIDES GOULART CRUZ,PROFESSOR FRANCISCO,,
SOURE,PASTORA REGINA,ANTONIA REGINA RODRIGUES OLIVEIRA SANTOS,PASTORA REGINA XERFAN,,
SOURE,CORONEL ROGERIO,ROGERIO GUILHERME SILVA MAGALHAES,CORONEL OU CORONEL ROGERIO,,
TUCURUI,DELEY,WANDERLEY SILVA SANTOS,DELEY SANTOS,,
PARAUAPEBAS,CATALAO,MARCELO AIRES MARQUES,MARCELO CATALAO,,
BOM LUGAR,PROF MARILENE,MARILENE MOURA MIRANDA,PROFESSORA MARILENE,,
CENTRO DO GUILHERME,JUNIOR CHICO,FRANCISCO PEDRO MONROE CONCEICAO JUNIOR,JUNIOR CHICO PEDRO,,
CODÓ,PROF RAFAEL,RAFAEL CARLOS ARAUJO SILVA,PROFESSOR RAFAEL,,
CURURUPU,ROSINHA,ROSARIA FATIMA CHAVES,PROFESSORA ROSINHA,,
SANTO ANTÔNIO DOS LOPES,BIGU,EMANUEL LIMA OLIVEIRA,BIGU OLIVEIRA,,
SÃO LUÍS,PROF LISBOA,ANTONIO LISBOA MACHADO FILHO,PROFESSOR LISBOA,,
SÃO MATEUS DO MARANHÃO,MILTINHO,HAMILTON NOGUEIRA ARAGAO,MILTINHO ARAGAO,,
ZÉ DOCA,JOSINHA,MARIA JOSENILDA CUNHA RODRIGUES,JOSINHA CUNHA,,
COIVARAS,BOBO,FRANCISCO INACIO OLIVEIRA,DR BOBO,,
CAMPO MAIOR,RIBINHA,JOSE RIBAMAR CARVALHO,PROFESSOR RIBINHA,,
CAMPO MAIOR,JOAOZINHO,JOAO FELIX ANDRADE FILHO,JOAOZINHO FELIX,,
CAMPO MAIOR,GAROTA LEITOA,MARIA LOURDES SOUSA SILVA,LOURDES SILVA GAROTA LEITOA,,
ESPERANTINA,ZE CLAUDIO,JOSE CLAUDIO PEREIRA SILVA,ZE CLAUDIO BORRACHARIA,,
FLORIANO,DIDI,GEORGE EVERSON NUNES SILVA,DIDI LOTERICA,,
LUIS CORREIA,JOAOZINHO,JOAO BATISTA LIMA ARAUJO,JOAOZINHO SALGADA,,
PARNAIBA,JOAOZINHO UNIMAGEM,JOAO BATISTA GONCALVES SOUSA,JOAOZINHO UNIMAGEM PARNAIBA,,
PICOS,PATURI,EVANDRO LIMA MORAIS,EVANDO PATURI,,
PIMENTEIRAS,PLINIO,IVONEIDE OLIVEIRA SILVA,IVONEIDE PLINIO,,
PIRIPIRI,ANTONIO CARLOS,ANTONIO CARLOS ARAUJO SOUSA,DR ANTONIO CARLOS,,
PIRIPIRI,GONZAGUINHA,LUIS GONZAGA COELHO SOUSA,GONZAGUINHA BINGO,,
SIMOES,ZE PEDRO,JOSE PEDRO SERIO,ZE PEDRO SINDICATO,,
CARIDADE DO PIAUÍ,TONINHO,ANTONIEL SOUSA SILVA,TONINHO CARIDADE,,
CARIDADE DO PIAUI,TONINHO,ANTONIEL SOUSA SILVA,TONINHO CARIDADE,,
DOUTOR SEVERIANO,IVONETE,MARIA LOBO CUNHA GONCALVES,IVONETE LOBO,,
DOUTOR SEVERIANO,WELITON,RAIMUNDO ELITON MONTEIRO MELO,WELITON MONTEIRO,,
DOUTOR SEVERIANO,DECA,JOSE JACOME NETO,DECA GENTIL,,
SAO JOSE DE MIPIBU,RODA,LENILSON FERNANDES TRIGUEIRO,RODA TRIGUEIRO,,
JABOATAO DOS GUARARAPES,CLEITON COLLINS,CLEITON GONCALVES SILVA,PASTOR CLEITON COLLINS,,
SERTÂNIA,VANDO,CICERO EDVANDRO MELO,VANDO CAROA,,
SERTÂNIA,ZE FRANCISCO,JOSE FRANCISCO AMARAL,ZE FRANCISCO ENFERMEIRO,,
SERTÂNIA,FABIANO ZE,JOSE FABIANO TARCISIO,FABIANO ZE ONIBUS,,
TABIRA,NICINHA,MARIA CLAUDENICE PEREIRA MELO CRISTOVAO,NICINHA DINCA,,
BARRA DOS COQUEIROS,CADUCHA,JOSE CLAUDIO SILVA BARRETO,CLAUDIO CADUCHA,,
ITAPORANGA D AJUDA,GRACINHA,MARIA GRACAS SOUZA GARCEZ,GRACINHA GARCEZ,,
LAGARTO,TENENTE WILLIANS,WILLIANS CARDOSO SANTOS,TENENTE WILLIANS CARDOSO,,
CATU,PROF ADILSON,ADILSON MOTA ARAUJO,PROFESSOR ADILSON,,
RIBEIRÃO DAS NEVES,JUNYNHO,MOACIR MARTINS COSTA JUNIOR,JUNYNHO MARTINS,,
SAO JOAO DEL REI,LOPES,MARIA CRISTINA ALVES PEREIRA,CRISTINA LOPES,,
FIGUEIRAO,PROF JUVENAL,JUVENAL CONSOLARO,PROF JUVENAL CONSOLARO,,
MIMOSO DO SUL,BEREDINHA,JOSIAS BEREDAS CARDOZO,JOSIAS BEREDAS (BEREDINHA),,
CAMPOS DOS GOYTACAZES,CHICAO,FRANCISCO ARTHUR SOUZA OLIVEIRA,DR CHICAO,,
MARICÁ,CHIQUINHO,VALDEVINO COSTA SILVA,CHIQUINHO TRAILER,,
SAQUAREMA,PERES,MANOELA RAMOS SOUZA GOMES ALVES,MANOELA PERES,,
ARAÇARIGUAMA,DR MARIO,MARIO LUIZ MARCO,DR MARIO LUIZ,,
ARACARIGUAMA,DR MARIO,MARIO LUIZ MARCO,DR MARIO LUIZ,,
ARARAQUARA,BOI,ALUISIO AUGUSTO BRAZ,ALUISIO BOI,,
ARARAQUARA,NINO,ORLANDO MENGATTI FILHO,NINO MENGATTI,,
ARUJA,ZE LUIZ MONTEIRO,JOSE LUIZ MONTEIRO,DR ZE LUIZ MONTEIRO,,
CABREUVA,DRA FATIMA,FATIMA BARBOSA,DRA FATIMA BARBOSA,,
COTIA,FORMIGA,WELINGTON APARECIDO ALFREDO,WELINGTON FORMIGA,,
CUBATÃO,QUEIXAO,RICARDO OLIVEIRA,RICARDO QUEIXAO,,
CUBATÃO,PASTOR VALDECI,VALDECI PEREIRA SANTOS,PASTOR VALDECI SANTOS,,
CUBATAO,IRMAO XIMENES,AMARO XIMENES MELO,IRMAO XIMENES O POPULAR,,
FERRAZ DE VASCONCELOS,ALEGRETE,AURELIO COSTA OLIVEIRA,AURELIO ALEGRETE,,
FERRAZ DE VASCONCELOS,PASTOR RONALDO,RONALDO RESENDE SILVA,PASTOR RONALDO RESEND,,
IBIÚNA,PROF EDUARDO,EDUARDO ANSELMO DOMINGUES NETO,PROFESSOR EDUARDO,,
IBIÚNA,CARLINHOS,CARLOS ROBERTO MARQUES JUNIOR,CARLINHOS MARQUES,,
ITANHAÉM,PASTOR RAIMUNDO,RAIMUNDO BELMIRO ROSARIO,PASTOR RAIMUNDO BELMIRO,,
