NM_UE,candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,bad,empty
PARÁ,NILTON PINTO,NILSON PINTO OLIVEIRA,NILSON PINTO,,
PARÁ,OSORIO JUVENIL,OZORIO ADOLFO GOES NUNES SOUSA,OZORIO JUVENIL,,
PARÁ,MARIO MIRANDA,MARCIO DESIDERIO TEIXEIRA MIRANDA,MARCIO MIRANDA,,
ACRE,TIAO VIENA,SEBASTIAO AFONSO VIANA MACEDO NEVES,TIAO VIANA,,
MINAS GERAIS,PIMENTO VEIGA,JOAO PIMENTA VEIGA FILHO,PIMENTA VEIGA,,
BRASIL,HENRIQUE MEIRELES,HENRIQUE CAMPOS MEIRELLES,HENRIQUE MEIRELLES,,
MATO GROSSO DO SUL,GERALDO REZENDE,GERALDO RESENDE PEREIRA,GERALDO RESENDE,,
MATO GROSSO DO SUL,VICTOR EUGENIO TATAO,VICTOR CABRERA EUGENIO FILHO,VICTOR EUGENIO / TATAO,,
MATO GROSSO DO SUL,ANIZIO GUATO,ANISIO GUILHERME FONSECA,ANISIO GUATO,,
MATO GROSSO DO SUL,CARLA STHEPANINI,CARLA CHARBEL STEPHANINI,CARLA STEPHANINI,,
MATO GROSSO DO SUL,SORATA THRONICKE,SORAYA VIEIRA THRONICKE,SORAYA THRONICKE,,
GOIÁS,WILDER MORAES,WILDER PEDRO MORAIS,WILDER MORAIS,,
MATO GROSSO DO SUL,JAMILSON NME,JAMILSON LOPES NAME,JAMILSON NAME,,
MATO GROSSO DO SUL,ELIZEU DIONISIO,ELIZEU DIONIZIO SOUZA SILVA,ELIZEU DIONIZIO,,
PARÁ,MARCIO COUTO,MARIO COUTO FILHO,MARIO COUTO,,
BRASIL,JAIRO BOLSONARO,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,,
SANTA CATARINA,ROBERT SALUM,ROBERTO LUIZ SALUM,ROBERTO SALUM,,
TOCANTINS,SAANDOVAL CARDOSO,SANDOVAL LOBO CARDOSO,SANDOVAL CARDOSO,,
TOCANTINS,PAULO MORAO,PAULO SARDINHA MOURAO,PAULO MOURAO,,
TOCANTINS,CESAR HAUM,CESAR HANNA HALUN,CESAR HALUM,,
TOCANTINS,MELK AYRES,MELQUESEDEC MAGALHAES AIRES,MELK AIRES,,
IPATINGA,DANIEL CHRISTIANO,DANIEL CRISTIANO SOUZA,DANIEL CRISTIANO,,
GOIÁS,PROFESSOR WESLEY,WESLEI GARCIA PAULO,PROFESSOR WESLEI,,
PIAUÍ,JULIANA MORAES SOUSA,JULIANA MELO FALCAO MORAES SOUZA,JULIANA MORAES SOUZA,,
PIAUÍ,JOAO MADSON,JOAO MADISON NOGUEIRA,JOAO MADISON,,
PIAUÍ,TERESA BRITO,TERESA SANTOS SOUSA BRITTO,TERESA BRITTO,,
AMAZONAS,JONAS ALMEIDA,JONATAS ALMEIDA OLIVEIRA,JONATAS ALMEIDA,,
AMAZONAS,GADEAO AMORIM,GEDEAO TIMOTEO AMORIM,GEDEAO AMORIM,,
SERGIPE,LAERCIOO OLIVEIRA,LAERCIO JOSE OLIVEIRA,LAERCIO OLIVEIRA,,
BRASIL,GERALDO ALCKIMIN,GERALDO JOSE RODRIGUES ALCKMIN FILHO,GERALDO ALCKMIN,,
MARANHÃO,BINE FIGUEIRERO,BENEDITO FRANCISCO SILVEIRA FIGUEIREDO,BINE FIGUEIREDO,,
MARANHÃO,ANDRE ARAUJO,ANDREH GERUDE ARAUJO,ANDREH ARAUJO,,
