"NR_CNPJ_EMPRESA","NM_EMPRESA"
"01503056000121","DATACERTO LTDA ME"
"11716486000185","INSTITUTO CAPTAVOX LTDA."
"08811188000160","TEMPUS CONSULTORIA E EMPREENDIMENTOS LTDA"
"16603571000150","RUAN RIBEIRO FEITOSA CIPRIANO BORGES 02484851308"
"15293191000102","W J MENDES PESQUISAS - EIRELI"
"09339033000135","SDS SERVICOS DE PESQUISA LTDA - ME"
"04914964000104","REAL PESQUISAS LTDA"
"10171274000105","PHD COMUNICAÇÃO S/S LTDA."
"10340949000194","OPINIAO PESQUISA E ASSESSORIA LTDA"
"11114729000105","DNA Pesquisa e Marketing Ltda-ME"
"07871966000143","AP PESQUISAS LTDA - ME"
"13456969000113","E.C. Evidência Comunicação Ltda"
"11077892000145","ZAJ SOCIAL ENGINEERING LTDA ME"
"00481961000165","Radar Inteligência Ltda."
"05751811000148","bela bartok escola de musica assessoria, treinamento e pesquisa ltda"
"00359184000180","E. M. DOS SANTOS JUNGES & CIA LTDA"
"04453641000152","DataSonda Pesquisas"
"07278993000107","glauco vital da silva - instituto de pesquisa visão"
"11371501000109","INSTITUTO PORTINARI MULTICULTURAL LTDA"
"03989764000140","DATACENSO PESQUISAS E TENDENCIAS MERCADOLOGICAS LTDA"
"07331137000178","Visão Pesquisas de Opinião S/S LTDA"
"01408365000112","Dataconsulte Pesquisas, Consultoria e Planejamento Ltda."
"09304509000100","INCAPEL - INSTITUTO DE CADASTRO E PESQUISAS S/S LTDA"
"10175063000132","IRG  CONSULTORIA E PRESTAÇÃO DE SERVIÇO LTDA"
"02364672000101","GRÁFICA E EDITORA VALENTE FARTURA LTDA - ME"
"81273419000119","INSTITUTO EXATTA PESQUISAS S/S LTDA"
"04982801000150","A.R. DE MOURA & CIA LTDA."
"00115187000179","IMAGEM PESQUISA E CONSULTORIA LTDA"
"84782101000151","INSTITUTO BRASIL DE PESQUISAS S/S LTDA."
"15644394000198","BRASLOPES PESQUISAS LTDA"
"06956108000139","Maria Aparecida dos Santos Bertol"
"10213851000176","L DAMAS BOBERG PESQUISAS, CONSULTORIA E PLANEJAMENTO"
"09256171000150","IPC - Instituto de Pesquisa Catarinense"
"13641227000168","Gomes e Lima Consultoria e Pesquisa LTDA"
"09185766000162","Alô-Brasil Pesquisas Consultoria e Marketing LTDA"
"06195852000168","Data Vox Brasil Assessoria e Pesquisa Ltda - ME"
"09249695000114","VALOR PESQUISAS E CONSULTORIA LTDA."
"05266474000101","SOUZA LOPES CONSULTORIA E PESQUISA LTDA"
"06859792000130","ROBERTO LORENZZON"
"02295493000160","CENTRAL DE PESQUISAS E MARKETING LTDA"
"11167150000100","Mapear Instituto de Pesquisa LTDA"
"08956501000158","SLH CONSULTORIA E PESQUISA LTDA-ME"
"13320517000100","AGENCIA MIND PESQUISAS SS LTDA"
"04967411000101","IBPS CONSULTORIA E PESQUISA LTDA"
"03480760000131","ONG ORGANIZAÇÃO NÃO GOVERNAMENTAL VIDA BRASIL"
"05939922000263","GERP SERVIÇOS DE MARKETING SÃO PAULO LTDA"
"02486450000161","Jose Marcos dos Santos M.E. (IGUAPE)"
"07177197000188","R M MARIATH - SERVIÇOS DE PROPAGANDA E MARKETING"
"06116089000132","Jornal do Grande Rio e Serviços Ltda"
