info_muni,candidate,correction
CHAPECÓ,LUCIANE CARMINATTI,
CHAPECÓ,LUCIANO JOSE BULIGON,
CHAPECÓ,MARCIO SANDER,
CHUPINGUAIA,CARLITO ALVES,
CHUPINGUAIA,CLOVIS LOPES,
CHUPINGUAIA,SHEILA ANSELMO MOSSO,
CHUPINGUAIA,VALDECIR BAGATOLLI,
COARI,ADAIL PINHEIRO,
COARI,ARNALDO MITOUSO,
COARI,BITA TORRES,
COARI,LUIZ VASQUES,
COARI,MESSIAS LOJAO,
COARI,ORLANDO NASCIMENTO,
COARI,ROBSON TIRADENTES,
COCAL,DR CRISTIANO,
COCAL,GILSON SERRARIA,
COCAL,NONATIM SINDICATO,
CODÓ,CAMILO FIGUEIREDO,
CODÓ,CESAR PIRES,
CODÓ,CHIQUINHO SAAE,
CODÓ,EXPEDITO CARNEIRO,
CODÓ,FRANCISCO NAGIB,
CODÓ,MARCELO COELHO,
CODÓ,PEDRO BELO,
CODÓ,RICARDO ACHER,RICARDO ARCHER
CODÓ,RICARDO ARCHER,
CODÓ,RODRIGO FIGUEIREDO,
CODÓ,ZE FRANCISCO,
CODÓ,ZITO,ZITO ROLIM
CODÓ,ZITO ROLIM,
COELHO NETO,ALBINO,
COELHO NETO,AMERICO,AMERICO SOUSA
COELHO NETO,AMERICO SOUSA,
COELHO NETO,ANTONIO BACELAR,
COELHO NETO,ANTONIO PIRES,
COELHO NETO,BRUNO SILVA,
COELHO NETO,DR RICARDO,
COELHO NETO,DR SAMPAIO,
COELHO NETO,ILSON BAIANO,
COELHO NETO,LUIS SERRA,
COELHO NETO,MARCIA BACELAR,
COELHO NETO,MILTON VIEIRA,
COELHO NETO,SOLINEY SILVA,
COELHO NETO,VAL,
COITÉ DO NÓIA,BUENINHO,
COITÉ DO NÓIA,DR AURELINO,
COITÉ DO NÓIA,DRA KATIA,
CONCEIÇÃO DO ARAGUAIA,ALVARO BRITO,
CONCEIÇÃO DO ARAGUAIA,EDUARDO QUEIROZ,
CONCEIÇÃO DO ARAGUAIA,EVERALDO NUNES,
CONCEIÇÃO DO ARAGUAIA,JAIR MARTINS,
CORIBE,DR MURILO,
CORIBE,VAZIM,
CORRENTES,DAVI VITOR,
CORRENTES,DR ROMAO,
CORRENTES,EDMILSON BAHIA,
CORRENTES,HUGO CESAR,
CORRENTES,JULIO CESAR,
CORRENTES,JUNIOR LUCIO,
CORUMBÁ,BIA CAVASSA,
CORUMBÁ,DR GABRIEL,
CORUMBÁ,DUARTE,PAULO DUARTE
CORUMBÁ,ELANO,ELANO HOLANDA
CORUMBÁ,ELANO HOLANDA,
CORUMBÁ,EVANDER VENDRAMINI,
CORUMBÁ,GABRIEL,DR GABRIEL
CORUMBÁ,IUNES,MARCELO IUNES
CORUMBÁ,LIGIA BARUKI,
CORUMBÁ,LUCIANO COSTA PT,
CORUMBÁ,MARCELO IUNES,
CORUMBÁ,PAULO DUARTE,
COSTA RICA,CLEVERSON,
COSTA RICA,LEANDRO BORTOLAZZI,
CRICIÚMA,ANIBAL DARIO,
CRICIÚMA,CHICO BALTHAZAR,
CRICIÚMA,CLESIO SALVARO,
CRICIÚMA,JULIA ZANATTA,
CRICIÚMA,RODRIGO MINOTTO,
