norm_est,est_id
LUIS VALBER RIOS ARCANJO,282
LUISE JULIANI MATHIAS,283
LUIZ CARLOS ALVES FERREIRA,284
LUIZ CARLOS FEITOSA,285
LUIZ CARLOS FERREIRA FEIROSA,285
LUIZ CARLOS FERREIRA FEITOSA,285
LUIZ CARLOS FERREIRA FETOSA,285
LUIZ EDUARDO SILVA BRAGA,286
LUIZ GONZAGA SOUZA,287
LUIZ GONZAGA SOUZA DUTRA,287
LUUIZ CARLOS FERREIRA FEITOSA,288
LUZIA MARIA TARCITANO ARAUJO,289
M,NA
MAGNO SANTOS NETO,290
MAIRCON BATISTA RIBEIRO,291
MANOEL FLAVIO DATRINO SIMPLICIO,292
MANOEL JOAQUIM SANTANA NETO,293
MARCEL PAREDES VALIN,294
MARCEL VALIN,295
MARCELO A SCARDOVELLI FERNANDES,296
MARCELO ADRIANO SCARDOVELLI FERNANDES,296
MARCELO BISPO NASCIMENTO,297
MARCELO COSTA SJOUZA,298
MARCELO COSTA SOUZA,298
MARCELO H UEMURA,299
MARCELO HENRIQUE BREGUNCI MENDONCA,300
MARCELO HIDEMI UEMURA,299
MARCELO HIDEMI UERAMA,299
MARCELO HIODEMI UEMURA,299
MARCELO RICCI UVINHA,301
MARCELO TAVARES LIMA,302
MARCIA CAVALLARI NUNES,303
MARCIA CAVALLARII NUNES,303
MARCIA MARQUES CARVALHO,304
MARCIO BARTOLOMEU AZEVEDO COSTA,305
MARCIO CAVALLARI NUNES,303
MARCIO CORREA MELO,306
MARCIO COSTA,307
MARCIO RODRIGUES SANTOS,308
MARCOS FLAVIANO MATOS SOARES,309
MARCOS HUBER MENDES,310
MARCOS LIMA REINA,311
MARCOS ROBERTO GONZAGA,312
MARCOS RUBEN OLIVEIRA,313
MARCOS SANTOS OLIVEIRA,314
MARCUS VINICIUS ESTANISLAU,315
MARDONE CAVALCANTE FRANCA,316
MARDONE CAVALCNTE FRANCA,316
MARGARIDA MARIA MENDONCA,317
MARIA CECILIA SACRAMENTO SOUZA,318
MARIA CECILIA SACRAMENTO SOUZA CARNEIRO,318
MARIA CECILIA SACRAMENTO SOUZA5,318
MARIA CRISTINA BRANDAO KFURI,319
MARIA JESUS FERREIRA OLIVEIRA,320
MARIA JESUS FERREIRA OLIVERIRA,320
MARIA JOSE OLIVEIRA NAVARRO,321
MARIA LUCIA LEITE,322
MARIANA FREITAS PINTAR,323
MARIANA MATOS BICALHO,324
MARIANA MATTOS BICALHO,324
MARIANA OLIVEIRA CEDRAZ,325
MARIANNE DAMASCENO MEDINA,326
MARIO LIMA NOBRE,327
MARIO NOBRE,327
MARIO SERGIO MATHEUS SANTOS,328
MARIO WILLIAM PESSOA LIMA,329
MARQUINANE MOURA BARROS,330
MARTA MARIA ALVES,331
MASANAO OHIRA,332
MATHEUS LAINI LEAO,333
MAURILIO CAMPELO,334
MAXIMILANO HERLINGER,335
MAXIMILIANO HERLINGER,335
MAXMILIANO HERLINGER,335
MAYARA PIANI LUNA SILVA SICCHIERI,336
MEONARD MENDONCA ASSIS,337
MESSIAS FERNANDES SANTOS,338
MICHEL CHARLES PIPER,339
MILTON GOMES SILVA,340
MIRIAM APARECIDA IGNACIO ALMEIDA,341
MIRIAM IGNACIO ALMEIDA,341
MIRIAN APARECIDA IGNACIO ALMEIDA,341
N ILSON LOPES SANTOS,342
NANDER FERREIRA ALMEIDA,343
NARIO APARECIDO CARDOSO,344
NAYANE CAROLINE JORGE CARDOSO SILVA,345
NEALE AHMED EL DASH,346
NEANDER FERREIRA ALMEIDA,347
NERIO APARCIDO CARDOSO,348
NERIO APARECIDO CARDOS,348
NERIO APARECIDO CARDOSO,348
NERIO APARECIDOD CARDOSO,348
NERIS APARECIDO CARDOSO,348
NICASTRO PESQUISA,NA
NILSON JOSE BATISTA,349
NILSON LOPES SANTOS,350
NORMELIA MARIA SILVA LIMA,351
NUNO RICARDO NUNES AFONSO ROCHA,352
OMAR AZIZ,353
OOOOOOOOO,NA
OSCAR FELIPE FALCAO RAPOSO,354
OTACILIO FERNANDO BARRETO SOUZA,355
PAOLA TAME TORRES ROCHA SILVA,356
PAULO ELIEZER AMITAY,357
PAULO GERMANO SOUSA,358
PAULO JALES,359
PAULO RICARDO COSME BEZERRA,360
PAULO RUBENS OLIVEIRA JALES CARVALHO,359
PAULO RUBENS OLIVERIA JALES CARVALHO,359
PAULO RUBES OLIVEIRA JALES CARVALHO,359
PAULO RUENS OLIVEIRA JALES CARVALHO,359
PAULO SERGIO BELCHIOR MESQUITA,361
PAULO TADEU MEIRA SILVA OLIVEIRA,362
PAULO TARSO CAVALCANTE PEQUENO,363
PAULO TARSO TEISEIRA FERREIRA,364
PAULO TARSO TEIXEIRA FEREIRA,364
PAULO TARSO TEIXEIRA FERREIRA,364
PAULO TARSO TEIXEIRA FREEREIRA,364
PAULO TARSO TEIXIERA FERREIRA,364
PEDRO MARCOS OLIVEIRA BELLO,365
PEDRO PELACANI BERGER,366
PESQUISAS MERCADO E OPNIAO PUBLICA,NA
PRISCILA GILBERTO BERNARDO,367
PROF DR JOSE TIACCI KIRSTEN,368
PROFESSOR JOAQUIM ANDRE HERMES FIGUEIREDO,369
"PROFESSOR JOAQUIM ANDRE HERMES FIGUEIREDO, REGISTRADO NO CONSELHO REGIONAL ESTATISTICA 6ª REG",369
PROPRIOS,NA
RAFAEL GOMES AGUIAR,370
RAFAEL MILAGRES OLIVEIRA,371
RAFAELA CAMPOS EMIDIO MORAES,372
RAIMUNDO NONATO CASTRO,373
RAIMUNDO NONATO CASTRO SILVA,373
RALBERT ALMEIDA MENEZES,374
RAPAEL BOTELHO,375
RAPHAEL BOTELHO,375
REBECA ALMEIDA MORETE,376
REGIANE CORTTES,377
RENATA NUNES CESAR,378
RENATO MICHEL,379
RENI CHEHTER BEREZIN,380
RESPONSAVEL: ROSELI SOUZA MAIA,381
RICARDO COSTA SILVA,382
RICARDO TAVARES,383
RITA CASSIA SACRAMENTO LEAO,384
RITA CASSIA SACRAMENTO SOUSA LEAO,384
RITA CASSIA SACRAMENTO SOUZA,384
RITA CASSIA SACRAMENTO SOUZA LEAO,384
RITA CASSIA SACRAMENTO SOUZZA LEAO,384
ROBERIO REBOUCAS SILVA,385
ROBERTO GOMES FERREIRA,386
ROBSON FLORENCIO,387
ROBSON FLORENCIO CORREIA,387
RODRIGO DIAS RAMOS,388
RODRIGO PEREIRA SOUZA,389
ROGERIO SILVA SANTOS,390
ROSANA COELHO SILVA SALES,5
ROSANE COELHO S SALES,5
ROSANE COELHO SALES,5
ROSANE COELHO SILVA SALES,5
ROSANE COELHO SIVA SALES,5
ROSANE SALES,5
ROSE COELHO SLVA SALES,5
ROSELAINE BATISTA,391
"ROSELAINE BATISTA,",391
ROSELI SOUZA MAIA,381
RUI AKITO TAMARIBUCHI,392
RUI CONSTA ABRANTES,393
RUI COSTA ABRANTES,393
SABRINA LUISA CAETANO,394
SANCLAI VASCONCELOS SILVA,395
SANDRA DENISEN ROCIO MARCELINO,396
SANDRA OLIVEIRA CRUZ MAZZO,397
